,Pos,Titulo,Anio,Puntos
0,1,Encanto,2021,5
1,2,Shrek 2,2004,4
2,3,The SpongeBob SquarePants Movie,2004,4
3,4,The Truman Show,1998,4
4,5,Up,2009,3
5,6,Matilda,1996,3
6,7,The Lion King,1994,3
7,8,John Wick,2014,3
8,9,The Dark Knight,2008,3
9,10,Prisoners,2013,2
10,11,Whiplash,2014,2
11,12,The Dark Knight Rises,2012,2
12,13,Se7en,1995,2
13,14,The Batman,2022,2
14,15,Batman Begins,2005,2
15,16,The Shawshank Redemption,1994,2
16,17,The Hunt,2012,1
17,18,The Suicide Squad,2021,1
18,19,Django Unchained,2012,1
19,20,Full Metal Jacket,1987,1
20,1,Stand by Me,1986,5
21,2,Arrival,2016,4
22,3,The Social Network,2010,4
23,4,The Girl with the Dragon Tattoo,2011,4
24,5,Jurassic Park,1993,3
25,6,Singin' in the Rain,1952,3
26,7,Se7en,1995,3
27,8,Zodiac,2007,3
28,9,Inglourious Basterds,2009,3
29,10,Dunkirk,2017,2
30,11,Shaun of the Dead,2004,2
31,12,It,2017,2
32,13,The Grand Budapest Hotel,2014,2
33,14,Mamma Mia!,2008,2
34,15,Shutter Island,2010,2
35,16,Interstellar,2014,2
36,17,The Godfather,1972,1
37,18,The Help,2011,1
38,19,Inside Out,2015,1
39,20,Me and Earl and the Dying Girl,2015,1
40,21,Prisoners,2013,1
41,22,Dead Poets Society,1989,1
42,23,Brokeback Mountain,2005,1
43,24,Life Is Beautiful,1997,1
44,25,My Own Private Idaho,1991,1
45,26,The Shawshank Redemption,1994,0
46,27,Call Me by Your Name,2017,0
47,28,Bridesmaids,2011,0
48,29,Little Miss Sunshine,2006,0
49,30,The Devil Wears Prada,2006,0
50,1,American Beauty,1999,5
51,2,Brokeback Mountain,2005,4
52,3,Beginners,2010,4
53,4,American Psycho,2000,4
54,5,Boyhood,2014,3
55,6,Kill Bill: Vol. 1,2003,3
56,7,Kill Bill: Vol. 2,2004,3
57,8,Annie Hall,1977,3
58,9,Frances Ha,2012,3
59,10,El Angel,2018,2
60,11,Taxi Driver,1976,2
61,12,Lost in Translation,2003,2
62,13,A Clockwork Orange,1971,2
63,14,The Shining,1980,2
64,15,Her,2013,2
65,16,Christiane F.,1981,2
66,17,Prozac Nation,2001,1
67,18,The Virgin Suicides,1999,1
68,19,The Royal Tenenbaums,2001,1
69,20,Your Name.,2016,1
70,21,The Lobster,2015,1
71,22,Badlands,1973,1
72,23,Room,2015,1
73,24,Moonrise Kingdom,2012,1
74,25,Oldboy,2003,1
75,26,The House That Jack Built,2018,0
76,27,The Matrix,1999,0
77,28,Black Swan,2010,0
78,29,Ex Machina,2015,0
79,30,The Godfather,1972,0
80,31,Fight Club,1999,0
81,32,Trainspotting,1996,0
82,33,Wolf Children,2012,0
83,34,Revolutionary Road,2008,0
84,35,The Truman Show,1998,0
85,36,American History X,1998,0
86,37,Little Miss Sunshine,2006,0
87,38,The Hunt,2012,0
88,39,Control,2007,0
89,40,Léon: The Professional,1994,0
90,41,Milk,2008,0
91,42,Captain Fantastic,2016,0
92,43,Scarface,1983,0
93,44,Reservoir Dogs,1992,0
94,45,Gran Torino,2008,0
95,46,The Shawshank Redemption,1994,0
96,47,Chicago,2002,0
97,48,I Killed My Mother,2009,0
98,49,The Emperor's New Groove,2000,0
99,50,Eternal Sunshine of the Spotless Mind,2004,0
100,51,Into the Wild,2007,0
101,52,The Aviator,2004,0
102,53,The Chorus,2004,0
103,54,Call Me by Your Name,2017,0
104,55,Dancer in the Dark,2000,0
105,56,The Perks of Being a Wallflower,2012,0
106,57,Pulp Fiction,1994,0
107,58,Inglourious Basterds,2009,0
108,59,Forrest Gump,1994,0
109,60,Shutter Island,2010,0
110,61,Schindler's List,1993,0
111,62,The Florida Project,2017,0
112,63,Hannah and Her Sisters,1986,0
113,64,Cold War,2018,0
114,65,Sing Street,2016,0
115,66,Pain and Glory,2019,0
116,67,Once Upon a Time… in Hollywood,2019,0
117,68,Licorice Pizza,2021,0
