Titulo,Anio,Puntos
Se7en,1995,7
Brokeback Mountain,2005,5
American Beauty,1999,5
Stand by Me,1986,5
Encanto,2021,5
Arrival,2016,4
The Girl with the Dragon Tattoo,2011,4
Prisoners,2013,4
Matilda,1996,4
Shrek 2,2004,4
Singin' in the Rain,1952,4
American Psycho,2000,4
Kill Bill: Vol. 2,2004,4
The Truman Show,1998,4
Kill Bill: Vol. 1,2003,4
Jurassic Park,1993,4
Up,2009,4
The Lion King,1994,4
Boyhood,2014,4
The Social Network,2010,4
Beginners,2010,4
The SpongeBob SquarePants Movie,2004,4
Lost in Translation,2003,3
John Wick,2014,3
A Clockwork Orange,1971,3
The Dark Knight,2008,3
Shaun of the Dead,2004,3
Taxi Driver,1976,3
Inglourious Basterds,2009,3
The Dark Knight Rises,2012,3
The Grand Budapest Hotel,2014,3
Whiplash,2014,3
It,2017,3
Zodiac,2007,3
El Angel,2018,3
Dunkirk,2017,3
Frances Ha,2012,3
Annie Hall,1977,3
Prozac Nation,2001,2
The Royal Tenenbaums,2001,2
The Hunt,2012,2
The Shining,1980,2
Django Unchained,2012,2
Batman Begins,2005,2
Mamma Mia!,2008,2
The Suicide Squad,2021,2
The Shawshank Redemption,1994,2
Shutter Island,2010,2
Her,2013,2
The Help,2011,2
The Godfather,1972,2
The Batman,2022,2
Christiane F.,1981,2
Interstellar,2014,2
Inside Out,2015,2
The Virgin Suicides,1999,2
Dead Poets Society,1989,1
Room,2015,1
The Lobster,2015,1
Moonrise Kingdom,2012,1
Life Is Beautiful,1997,1
Full Metal Jacket,1987,1
Your Name.,2016,1
Oldboy,2003,1
My Own Private Idaho,1991,1
Me and Earl and the Dying Girl,2015,1
Badlands,1973,1
Captain Fantastic,2016,0
Wolf Children,2012,0
American History X,1998,0
Call Me by Your Name,2017,0
The Perks of Being a Wallflower,2012,0
The House That Jack Built,2018,0
Trainspotting,1996,0
The Matrix,1999,0
Black Swan,2010,0
Bridesmaids,2011,0
The Emperor's New Groove,2000,0
The Florida Project,2017,0
I Killed My Mother,2009,0
The Devil Wears Prada,2006,0
Chicago,2002,0
Into the Wild,2007,0
Hannah and Her Sisters,1986,0
Gran Torino,2008,0
Forrest Gump,1994,0
Licorice Pizza,2021,0
Little Miss Sunshine,2006,0
Fight Club,1999,0
Léon: The Professional,1994,0
Ex Machina,2015,0
Milk,2008,0
Eternal Sunshine of the Spotless Mind,2004,0
Once Upon a Time… in Hollywood,2019,0
Pain and Glory,2019,0
Pulp Fiction,1994,0
Reservoir Dogs,1992,0
Revolutionary Road,2008,0
Scarface,1983,0
Schindler's List,1993,0
Dancer in the Dark,2000,0
Control,2007,0
Cold War,2018,0
The Aviator,2004,0
The Chorus,2004,0
Sing Street,2016,0
