Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
116;/film/vertigo/;426;Vertigo;32.468;8.195;1958-05-28;128;United States of America;en;2479000.0;7797728.0;['Mystery', 'Romance', 'Thriller'];['Alfred Hitchcock'];[2];['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick', 'Bess Flowers', 'Alfred Hitchcock', 'David Ahdar', 'Sara Taft'];['Alec Coppel', 'Samuel A. Taylor'];['George Tomasini'];['Robert Burks'];A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.
102;/film/mulholland-drive/;1018;Mulholland Drive;27.365;7.835;2001-06-06;147;France;en;15000000.0;20271129.0;['Thriller', 'Drama', 'Mystery'];['David Lynch'];[2];['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Ann Miller', 'Mark Pellegrino', 'Robert Forster', 'Brent Briscoe', 'Dan Hedaya', 'Angelo Badalamenti', 'Monty Montgomery', 'Lee Grant', 'James Karen', 'Chad Everett', 'Richard Green', 'Rebekah Del Rio', 'Melissa George', 'Jeanne Bates', 'Dan Birnbaum', 'Lori Heuring', 'Marcus Graham', 'Michael J. Anderson', 'Patrick Fischler', 'Michael Cooke', 'Bonnie Aarons', 'Geno Silva', 'Billy Ray Cyrus', 'Vincent Castellanos', 'Wayne Grace', 'Rita Taggart', 'Michele Hicks', 'Lisa Lackey', 'Tad Horino', 'Missy Crider', 'Kate Forster', 'Tony Longo', 'Michael Fairman', 'Scott Coffey', 'Rena Riffel', 'Katharine Towne', 'Michael Des Barres', 'Robert Katims', 'Randall Wulff', 'Maya Bond', 'Joseph Kearney', 'Enrique Buelna', 'Richard Mead', 'Daniel Rey', 'David Schroeder', 'Tom Morris', 'Mo Gallini', 'Diane Nelson', 'Charles Croughwell', 'Lisa K. Ferguson', 'William Ostrander', 'Brian Beacock', 'Blake Lindsley', 'Adrien Curry', 'Tyrah M. Lindsey', 'Michael D. Weatherred', 'Johanna Stein', 'Conte Candoli', 'Cori Glazer', 'Lyssie Powell', 'Kimberly Clever', 'Joshua Collazo', 'David Frutos', 'Peter Loggins', 'Theresa Salazar', 'Thea Samuels', 'Christian Thompson', 'Sean Everett'];[];['Mary Sweeney'];['Peter Deming'];Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.
51;/film/ordet/;48035;Ordet;9.906;7.867000000000001;1955-01-09;125;Denmark;da;0.0;0.0;['Drama'];['Carl Theodor Dreyer'];[2];['Henrik Malberg', 'Birgitte Federspiel', 'Emil Hass Christensen', 'Preben Lerdorff Rye', 'Cay Kristiansen', 'Ejner Federspiel', 'Gerda Nielsen', 'Sylvia Eckhausen', 'Ann Elisabeth Groth', 'Susanne Rud', 'Ove Rud', 'Henry Skjær', 'Edith Trane', 'Hanne Agesen', 'Kirsten Andreasen'];['Carl Theodor Dreyer'];['Edith Schlüssel'];['Henning Bendtsen'];The three sons of devout Danish farmer Morten have widely disparate religious beliefs. Youngest son Anders shares his father's religion, but eldest son Mikkel has lost his faith, while middle child Johannes has become delusional and proclaims that he is Jesus Christ himself. When Mikkel's wife, Inger goes into a difficult childbirth, everyone's beliefs are put to the test.
47;/film/el-sur/;48139;El sur;6.89;7.7;1983-05-18;95;Spain;es;0.0;0.0;['Drama'];['Víctor Erice'];[2];"['Omero Antonutti', 'Sonsoles Aranguren', 'Icíar Bollaín', 'Lola Cardona', 'Rafaela Aparicio', 'Aurore Clément', 'Maria Caro', 'Francisco Merino', 'José Vivó', 'Germaine Montero', 'José García Morilla', 'María Massip', ""José Luis Fernández 'Pirri'"", 'Jesús Nieto']";['Víctor Erice'];['Pablo G. del Amo'];['José Luis Alcaine'];In the North of Spain, Estrella grows up captivated by her father, a doctor with mystical powers—and by the enigma of his youth in El Sur, a near-mythical region whose secrets haunt Estrella more and more as time goes on.
42;/film/johnny-guitar/;26596;Johnny Guitar;12.162;7.466;1954-05-26;110;United States of America;en;0.0;0.0;['Drama', 'Western', 'Romance'];['Nicholas Ray'];[2];['Joan Crawford', 'Mercedes McCambridge', 'Sterling Hayden', 'Ernest Borgnine', 'John Carradine', 'Scott Brady', 'Ward Bond', 'Royal Dano', 'Frank Ferguson', 'Paul Fix', 'Rhys Williams', 'Ian MacDonald', 'Ben Cooper', 'Denver Pyle', 'Will Wright'];['Philip Yordan'];['Richard L. Van Enger'];['Harry Stradling Sr.'];On the outskirts of town, the hard-nosed Vienna owns a saloon frequented by the undesirables of the region, including Dancin' Kid and his gang. Another patron of Vienna's establishment is Johnny Guitar, a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small, Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon – even without proof of her wrongdoing.
40;/film/sunrise-a-song-of-two-humans/;631;Sunrise: A Song of Two Humans;13.772;7.876;1927-11-04;94;United States of America;en;0.0;0.0;['Drama', 'Romance'];['F. W. Murnau'];[2];['George O’Brien', 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing', 'J. Farrell MacDonald', 'Ralph Sipperly', 'Jane Winton', 'Arthur Housman', 'Eddie Boland', 'Herman Bing', 'Sidney Bracey', 'Gino Corrado', 'Vondell Darr', 'Sally Eilers', 'Gibson Gowland', 'Thomas Jefferson', 'Bob Kortman', 'F. W. Murnau', 'Barry Norton', 'Robert Parrish', 'Sally Phipps', 'Harry Semels', 'Phillips Smalley', 'Leo White', 'Clarence Wilson'];['Carl Mayer'];['Harold D. Schuster'];['Charles Rosher', 'Karl Struss'];A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.
39;/film/the-passion-of-joan-of-arc/;780;The Passion of Joan of Arc;11.196;8.055;1928-04-21;82;France;fr;0.0;0.0;['Drama', 'History'];['Carl Theodor Dreyer'];[2];"['Maria Falconetti', 'Eugène Silvain', 'André Berley', 'Maurice Schutz', 'Antonin Artaud', 'Michel Simon', ""Jean d'Yd"", 'Louis Ravet', 'Armand Lurville', 'Jacques Arnna', 'Alexandre Mihalesco', 'Léon Larive', 'Jean Aymé', 'Gilbert Dacheux', 'Gilbert Dalleu', 'Paul Delauzac', 'Dimitri Dimitriev', 'Fournez-Goffard', 'Henri Gaultier', 'Paul Jorge', 'Marie Lacroix', 'Henri Maillard', 'Raymond Narlay']";['Carl Theodor Dreyer'];['Carl Theodor Dreyer', 'Marguerite Beaugé'];['Rudolph Maté'];A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.
36;/film/tokyo-story/;18148;Tokyo Story;14.032;8.23;1953-11-03;137;Japan;ja;0.0;0.0;['Drama'];['Yasujirō Ozu'];[2];['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'Sō Yamamura', 'Kuniko Miyake', 'Kyōko Kagawa', 'Eijirō Tōno', 'Nobuo Nakamura', 'Shirō Ōsaka', 'Hisao Toake', 'Teruko Nagaoka', 'Mutsuko Sakura', 'Toyo Takahashi', 'Tōru Abe', 'Sachiko Mitani', 'Ryōko Mizuki', 'Keijirô Morozumi', 'Shozo Suzuki', 'Haruko Chichibu', 'Takashi Miki', 'Toshinosuke Nagao', 'Zen Murase', 'Mitsuhiro Môri', 'Yoshiko Togawa', 'Fumio Tooyama'];['Yasujirō Ozu', 'Kōgo Noda'];['Yoshiyasu Hamamura'];['Yûharu Atsuta'];The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.
36;/film/pierrot-le-fou/;2786;Pierrot le Fou;12.688;7.447999999999999;1965-11-05;110;France;fr;300000.0;0.0;['Drama', 'Thriller'];['Jean-Luc Godard'];[2];['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani', 'Aicha Abadir', 'Henri Attal', 'Pascal Aubier', 'Maurice Auzel', 'Raymond Devos', 'Roger Dutoit', 'Samuel Fuller', 'Pierre Hanin', 'Jimmy Karoubi', 'Jean-Pierre Léaud', 'Hans Meyer', 'Krista Nell', 'Dirk Sanders', 'Georges Staquet', 'László Szabó', 'Dominique Zardi'];['Rémo Forlani'];['Françoise Collin'];['Raoul Coutard'];Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.
35;/film/celine-and-julie-go-boating/;27019;Céline and Julie Go Boating;8.622;6.721;1974-09-18;193;France;fr;0.0;0.0;['Comedy', 'Drama', 'Fantasy'];['Jacques Rivette'];[2];['Juliet Berto', 'Dominique Labourier', 'Bulle Ogier', 'Marie-France Pisier', 'Barbet Schroeder', 'Nathalie Asnar', 'Marie-Thérèse Saussure', 'Philippe Clévenot', 'Anne Zamire', 'Jean Douchet', 'Adèle Taffetas', 'Monique Clément', 'Jérôme Richard', 'Michael Graham', 'Jean-Marie Sénia'];[];['Nicole Lubtchansky'];[];A mysteriously linked pair of young women find their daily lives pre-empted by a strange boudoir melodrama that plays itself out in a hallucinatory parallel reality.
