Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
;/film/city-lights/;901.0;City Lights;2.603;8.259;1931-02-06;87;US;en;1500000;4250000;['Comedy', 'Drama', 'Romance'];['Charlie Chaplin'];[2];['Charlie Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann', 'Albert Austin', 'Eddie Baker', 'Henry Bergman', 'Buster Brodie', 'Jeanne Carpenter', 'Tom Dempsey', 'James Donnelly', 'Ray Erlenborn', 'Robert Graves', 'Charles Hammond', 'Joseph Herrick', 'Austen Jewell', 'Willie Keeler', 'Robert Parrish', 'John Rand', 'W.C. Robinson', 'Cy Slocum', 'Tony Stabenau', 'Mark Strong', 'Tiny Ward', 'Stanhope Wheatcroft', 'Florence Wix', 'Granville Redmond', 'Wyn Ritchie Evans', 'Joe Van Meter', 'Johnny Aber', 'Jack Alexander', 'T.S. Alexander', 'Victor Alexander', 'Harry Ayers', 'Edward Biby', 'Betty Blair', 'Marie Cooper', 'Peter Diego', 'Ruth Garcia', 'Milton Gowman', 'Ad Herman', 'A.B. Lane', 'Eddie McAuliffe', 'Leila McIntyre', 'George Nardelli', 'Margaret Oliver', 'Mrs. Pope', 'James Sheldon', 'Jack Sutherland', 'Emmett Wagner'];['Harry Crocker', 'Charlie Chaplin', 'Harry Carr'];['Willard Nico', 'Charlie Chaplin'];['Roland Totheroh', 'Gordon Pollock'];A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.
;/film/tabu-a-story-of-the-south-seas/;977.0;Tabu: A Story of the South Seas;2.3151;7.1;1931-07-30;86;US;en;0;0;['Romance', 'Drama', 'Adventure'];['F. W. Murnau'];[2];['Matahi', 'Anne Chevalier', 'Bill Bambridge', 'Hitu', 'Jules'];['F. W. Murnau', 'Edgar G. Ulmer', 'Robert Flaherty'];['Arthur A. Brooks'];['Floyd Crosby'];On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.
;/film/earth-1930/;46594.0;Earth;0.8469;6.7;1930-04-08;79;SU;uk;0;0;['Drama'];['Oleksandr Dovzhenko'];[2];['Stepan Shkurat', 'Semen Svashenko', 'Yuliya Solntseva', 'Yelena Maksimova', 'Vasyl Krasenko', 'Mykola Nademskyi', 'Ivan Franko', 'Petro Masokha', 'Volodymyr Mikhajlov', 'Pavlo Petryk', 'Umanets', 'Luka Liashenko', 'Ye. Bondina', 'O. Bondina', 'M. Matsiutsia', 'Sergey Borisov'];[];['Oleksandr Dovzhenko'];['Daniil Demutsky'];"The film tells about the creation of the first collective farm communes and class enmity. Vasyl, a member of the Komsomol, with the help of a local party organization, gets a tractor and plows private boundaries ""on kulak fields."" However, this enthusiasm will cost him dearly."
;/film/vampyr/;779.0;Vampyr;0.7031;7.278;1932-05-06;74;DE;de;0;0;['Horror', 'Fantasy', 'Mystery'];['Carl Theodor Dreyer'];[2];['Nicolas de Gunzburg', 'Maurice Schutz', 'Rena Mandel', 'Sybille Schmitz', 'Jan Hieronimko', 'Henriette Gérard', 'Albert Bras', 'N. Babanini', 'Jane Mora', 'Georges Boidin'];['Christen Jul', 'Carl Theodor Dreyer'];['Tonka Taldy'];['Rudolph Maté', 'Louis Née'];A superstitious drifter stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.
;/film/the-story-of-the-last-chrysanthemum/;46069.0;The Story of the Last Chrysanthemum;0.8263;7.8;1939-10-13;144;JP;ja;0;0;['Romance', 'Drama'];['Kenji Mizoguchi'];[2];"['Shōtarō Hanayagi', 'Kakuko Mori', 'Kōkichi Takada', 'Kinnosuke Takamatsu', 'Gonjurô Kawarazaki', 'Benkei Shiganoya', 'Kikuko Hanaoka', 'Nobuko Fushimi', 'Ichiro Yuki', 'Tokusaburo Arashi', 'Yōko Umemura', 'Ryôtarô Kawanami', ""Jun'nosuke Hayama"", 'Tamitaro Onoe', 'Yoshiaki Hanayagi', 'Yoshie Nakagawa', 'Yoneko Mogami', 'Sumao Ishihara', 'Kô Hirota', 'Eijirō Hose', 'Fujiko Shirakawa', 'Kōmei Minami', 'Jinichi Amano', 'Haruo Inoue', 'Minpei Tomimoto']";['Yoshikata Yoda', 'Matsutarō Kawaguchi'];['Koshi Kawahigashi'];['Shigeto Miki', 'Yozô Fuji'];In late 19th century Tokyo, Kikunosuke Onoue, the adopted son of a legendary actor, himself an actor specializing in female roles, discovers that he is only praised for his acting due to his status as his father's heir. Devastated by this, he turns to Otoku, a servant of his family, for comfort, and they fall in love. Kikunosuke becomes determined to leave home and develop as an actor on his own merits, and Otoku faithfully follows him.
;/film/only-angels-have-wings/;43832.0;Only Angels Have Wings;2.1352;7.263;1939-05-15;121;US;en;0;0;['Romance', 'Adventure', 'Drama'];['Howard Hawks'];[2];"['Cary Grant', 'Jean Arthur', 'Thomas Mitchell', 'Richard Barthelmess', 'Rita Hayworth', 'Allyn Joslyn', 'Sig Ruman', 'Victor Kilian', 'John Carroll', ""Don 'Red' Barry"", 'Noah Beery Jr.', 'Pat Flaherty', 'Stanley Brown', 'Cecilia Callejo', 'Candy Candido', 'Vernon Dent', 'Forbes Murray', 'Robert Sterling', 'Rafael Alcayde', 'Enrique Acosta', 'Dick Botiller', 'Curley Dresden', 'James Millican', 'Pedro Regas', 'Manuel Álvarez Maciste', 'Milisa Sierra', 'Lucio Villegas', 'Pat West', 'Wilson Benge', 'Lew Davis', 'Eddie Foster', 'Ed Randolph', 'Al Rhein', 'Ky Robinson', 'Harry A. Bailey', 'Raúl Lechuga', 'Tessie Murray', 'Aurora Navarro', 'Elena Durán', 'Budd Fine', 'Tex Higginson', 'Charles R. Moore', 'Inez Palange', 'Sammee Tong', 'Francisco Marán', 'Jack Low', 'Victor Travis']";['Jules Furthman'];['Viola Lawrence'];['Joseph Walker'];A traveling performer arrives at a remote South American port town where the head of an air freight service must risk his pilots' lives to earn a major contract.
;/film/latalante/;43904.0;L'Atalante;3.2516;7.5;1934-04-24;88;FR;fr;0;0;['Comedy', 'Drama', 'Romance'];['Jean Vigo'];[2];['Michel Simon', 'Dita Parlo', 'Jean Dasté', 'Gilles Margaritis', 'Louis Lefebvre', 'Maurice Gilles', 'Raphaël Diligent', 'Claude Aveline', 'René Blech', 'Lou Bonin', 'Charles Dorat', 'Genya Lozinska', 'Gen Paul', 'Jacques Prévert', 'Pierre Prévert', 'Albert Riéra', 'Jacques Brunius', 'Paul Grimault', 'Fanny Clair', 'Kani Kıpçak'];['Jean Guinée', 'Jean Vigo', 'Albert Riéra'];['Louis Chavance'];['Boris Kaufman'];Newly married couple Juliette and ship captain Jean struggle through marriage as they travel on the L'Atalante along with the captain's first mate and a cabin boy.
;/film/i-was-born-but/;28268.0;I Was Born, But...;2.6733;7.532;1932-06-03;91;JP;ja;0;0;['Comedy', 'Drama'];['Yasujirō Ozu'];[2];['Tatsuo Saitō', 'Tomio Aoki', 'Mitsuko Yoshikawa', 'Hideo Sugawara', 'Takeshi Sakamoto', 'Teruyo Hayami', 'Seiichi Katô', 'Shoichi Kofujita', 'Seiji Nishimura', 'Zentaro Iijima', 'Shôtarô Fujimatsu', 'Masao Hayama', 'Kuniyasu Hayashi', 'Akio Nomura', 'Teruaki Ishiwatari'];[];['Hideo Shigehara'];['Hideo Shigehara'];Two young brothers become the leaders of a gang of kids in their neighborhood. Ozu's charming film is a social satire that draws from the antics of childhood as well as the tragedy of maturity.
;/film/three-comrades/;109970.0;Three Comrades;4.2501;7.2;1938-06-02;98;US;en;0;0;['Drama', 'Romance'];['Frank Borzage'];[2];['Robert Taylor', 'Margaret Sullavan', 'Franchot Tone', 'Robert Young', 'Guy Kibbee', 'Lionel Atwill', 'Henry Hull', 'Charley Grapewin', 'Monty Woolley', 'Stanley Andrews', 'Jessie Arnold', 'George Chandler', 'Marjorie Main', 'Francis X. Bushman Jr.', 'Spencer Charters', 'Roger Converse', 'Mitchell Lewis', 'Esther Muir', 'Edward McWade', 'Claire McDowell'];['F. Scott Fitzgerald', 'Edward E. Paramore Jr.'];['Frank Sullivan'];['Karl Freund', 'Joseph Ruttenberg'];A love story centered on the lives of three young German soldiers in the years following World War I. Their close friendship is strengthened by their shared love for the same woman who is dying of tuberculosis.
;/film/by-the-bluest-of-seas/;110733.0;By the Bluest of Seas;1.5914;6.3;1936-04-20;69;SU;ru;0;0;['Romance', 'Drama', 'Comedy'];['Boris Barnet'];[2];['Yelena Kuzmina', 'Lev Sverdlin', 'Nikolay Kryuchkov', 'Boris Barnet', 'Ismail Afandiyev', 'Semen Svashenko', 'Aleksey Dolinin', 'Lyalya Sateyeva', 'Aleksandr Zhukov', 'Sergei Komarov', 'Nikolai Bogolyubov', 'Mirzaagha Aliyev'];[];[];['Mikhail Kirillov'];Two men shipwrecked on an island in the Caspian Sea are saved by members of a collective farm, where they work on its fishing boats and woo the young woman leading the fishermen.
