Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
;/film/meshes-of-the-afternoon/;27040.0;Meshes of the Afternoon;0.5045;7.6;1943-01-01;14;US;en;275.0;0.0;['Mystery', 'Fantasy'];['Maya Deren', 'Alexander Hammid'];[1, 2];['Maya Deren', 'Alexander Hammid'];[];['Maya Deren'];['Alexander Hammid'];A woman returning home falls asleep and has vivid dreams that may or may not be happening in reality. Through repetitive images and complete mismatching of the objective view of time and space, her dark inner desires play out on-screen.
;/film/triptico-elemental-de-espana/;795159.0;Tríptico elemental de España;0.0594;8.0;1996-12-11;64;ES;es;0.0;0.0;['Documentary'];['José Val del Omar'];[2];['Arturo Baltar', 'Teófilo Martínez', 'Ezequiel Méndez', 'José Val del Omar'];[];['José Val del Omar'];['José Val del Omar'];"The Spanish experimental filmmaker José Val de Omar turns three of his short films into a unitary work, full of meaning: Acariño Galaico; Fuego en Castilla; and Aguaespejo Granadino; creating a total journey through the world of the senses."
;/film/as-i-was-moving-ahead-occasionally-i-saw/;130824.0;As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty;0.5117;7.6;2000-11-05;288;US;en;0.0;0.0;['Documentary'];['Jonas Mekas'];[2];['Jonas Mekas', 'Stan Brakhage', 'Jane Wodening', 'Robert Breer', 'Hollis Frampton', 'Allen Ginsberg', 'Ken Jacobs', 'Peter Kubelka', 'Adolfas Mekas', 'Oona Mekas', 'Hollis Melton', 'Hermann Nitsch', 'Nam June Paik', 'P. Adams Sitney', 'Andy Warhol'];[];['Jonas Mekas'];[];"A compilation of over 30 years of private home movie footage shot by Lithuanian-American avant-garde director Jonas Mekas, assembled by Mekas ""purely by chance"", without concern for chronological order."
;/film/fire-in-castilla-tactilvision-from-the-moor-of-the-fright/;125154.0;Fire in Castilla (Tactilvision from the Moor of the Fright);0.0853;6.886;1961-04-30;20;ES;es;0.0;0.0;['Documentary', 'Animation'];['José Val del Omar'];[2];[];[];[];[];"A short, experimental documentary featuring sculptures by Alonso de Berruguete and Juan de Juni. Shot within the Valladolid National Museum, the film is an excercise in what Val de Omar called ""Tactile vision""."
;/film/anticipation-of-the-night/;149708.0;Anticipation of the Night;0.2041;6.241;1958-04-22;42;US;en;0.0;0.0;['Documentary'];['Stan Brakhage'];[2];[];[];[];[];First person view of a man, seen only in shadow, attempting to connect with the world around him. Preserved by the Academy Film Archive in 2013.
;/film/train-of-shadows/;32934.0;Train of Shadows;0.2073;6.8;1997-12-13;88;ES;es;0.0;0.0;['Drama'];['José Luis Guerín'];[2];['Jessica Andrieu', 'Anne Céline Auche', 'Juliette Gautier', 'Marc Montserrat', 'Ivon Orvain', 'Ivon Orvain'];['José Luis Guerín'];['Manel Almiñana'];['Tomàs Pladevall'];Experimental silent homage to the origins of cinema, recreating the apparent disappearance of a French photographer in the 1920s.
;/film/outer-space/;110650.0;Outer Space;0.2604;6.391;1999-01-01;10;AT;de;0.0;0.0;['Horror'];['Peter Tscherkassky'];[2];['Barbara Hershey'];[];['Peter Tscherkassky'];['Peter Tscherkassky'];A young woman move towards a house that holds a potentially dangerous spirit that has been tormenting her. The woman tries to fight against the film itself as it starts to cause the world to collapse.
;/film/before-my-eyes/;363506.0;Before My Eyes;0.1005;6.1;1989-01-01;26;IN;hi;0.0;0.0;['Documentary'];['Mani Kaul'];[2];[];[];['Lalitha Krishna'];[];A 'filmscape' on the Kashmir valley.
;/film/man-with-a-movie-camera/;26317.0;Man with a Movie Camera;2.3829;7.839;1929-05-12;68;SU;ru;0.0;0.0;['Documentary'];['Dziga Vertov'];[2];['Mikhail Kaufman', 'Elizaveta Svilova'];[];['Elizaveta Svilova'];['Mikhail Kaufman', 'Gleb Troyanski'];A cameraman wanders around with a camera slung over his shoulder, documenting urban life with dazzling inventiveness.
;/film/hours-for-jerome/;151223.0;Hours for Jerome;0.0796;7.8;1982-12-05;60;US;en;0.0;0.0;['Documentary'];['Nathaniel Dorsky'];[2];['Jerome Hiler', 'Nathaniel Dorsky'];[];[];[];The recording of the daily events of Dorsky and his partner, artist Jerome Hiler, around Lake Owassa in New Jersey and in Manhattan. The two parts of the films revolve around the four seasons with the first part revolving around spring through summer, while the second part revolves around fall through winter.
;/film/news-from-home/;86814.0;News from Home;0.4711;7.038;1977-05-20;89;FR;fr;0.0;0.0;['Documentary'];['Chantal Akerman'];[1];['Chantal Akerman'];[];['Francine Sandberg'];['Jim Asbell', 'Babette Mangolte'];Belgian filmmaker Chantal Akerman lives in New York. Filmed images of the City accompany texts of Akerman's loving mother back home in Brussels. The City comes more and more to the front while the words of the mother, read by Akerman herself, gradually fade away.
;/film/diaries-notes-and-sketches/;105583.0;Diaries, Notes, and Sketches;0.2734;7.5;2013-11-23;180;US;en;0.0;0.0;['Documentary'];['Jonas Mekas'];[2];['Timothy Leary', 'Ed Emshwiller', 'Franz Fuenstler', 'Jack Smith', 'Mario Montez', 'Nico', 'Edie Sedgwick', 'Andy Warhol', 'Judith Malina', 'Storm De Hirsch', 'Norman Mailer', 'Allen Ginsberg', 'John Lennon', 'Yoko Ono', 'Leo Adams', 'Jane Wodening', 'Neowyn Brakhage', 'Stan Brakhage', 'Louis Brigante', 'John Brockman', 'John Cale', 'John Cavenaugh', 'Shirley Clarke', 'Tony Conrad', 'Philip Corner', 'Ram Dass', 'Nick Dorsky', 'Carl Theodor Dreyer', 'Beverly Grant', 'Martin Greenbaum', 'Bibbe Hansen', 'Jerome Hill', 'Ken Jacobs', 'Mike Jacobsen', 'Peter Kubelka', 'Algirdas Landsbergis', 'Standish Lawder', 'Naomi Levine', 'Angus MacLise', 'Gregory J. Markopoulos', 'Adolfas Mekas', 'David Mekas', 'Elzbieta Mekas', 'Jonas Mekas', 'Polivas Mekas', 'Marie Menken', 'Sterling Morrison', 'John Palmer', 'Lou Reed', 'Hans Richter', 'Lionel Rogosin', 'Barbet Schroeder', 'Shep Sherbell', 'P. Adams Sitney', 'Harry Smith', 'Michael Snow', 'Amy Taubin', 'Gretchen Weinberg', 'Jud Yalkut', 'Richard Foreman', 'Jonas Mekas'];[];['Jonas Mekas'];[];An epic portrait of the New York avant-garde art scene of the 60s.
