Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
17;/film/pride-1955/;171553.0;Pride;1.005;6.308;1955-12-09;106.0;Spain;es;0.0;0.0;['Drama'];['Manuel Mur Oti'];[2];"['Marisa Prado', 'Alberto Ruschel', 'Enrique Diosdado', 'Cándida Losada', 'Fernando Nogueras', 'Félix Fernández', 'Beni Deus', 'María Francés', 'Alfonso Rojas', 'Vicente Ávila', 'Eduardo Calvo', 'Xan das Bolas', 'José Prada', 'Rufino Inglés', ""Arturo Castro 'Bigotón'"", 'Francisco de Cossío', 'Matilde Guarnerio', 'Julián Muñoz', 'Guillermo Méndez', 'Nicolás D. Perchicot', 'Domingo Rivas', 'Luisa Sala']";['Manuel Mur Oti', 'Jaime García Herranz'];['Juan Serra'];['Juan Mariné'];A tale of two families, the Mendozas and Alzagas, faced for generations by the water of a river separating their adjoining properties. Old grudges reappear when the two heirs fall in love.
11;/film/under-the-sun-of-rome/;82813.0;Under the Sun of Rome;0.735;6.9;1948-10-07;95.0;Italy;it;0.0;0.0;['Comedy', 'Drama'];['Renato Castellani'];[2];['Oscar Blando', 'Liliana Mancini', 'Francesco Golisano', 'Ennio Fabeni', 'Alfredo Locatelli', 'Gaetano Chiurazzi', 'Anselmo Di Biagio', 'Ferruccio Tozzi', 'Maria Tozzi', 'Giuseppina Fava', 'Raffaele Caporilli', 'Ilario Malaschini', 'Omero Paoloni', 'Gisella Monaldi', 'Alberto Sordi', 'Luigi Valentini', 'Angelo Giacometti', 'Lorenzo Di Marco'];['Sergio Amidei', 'Renato Castellani', 'Fausto Tozzi', 'Ettore Maria Margadonna', 'Emilio Cecchi'];['Giuliano Betti'];['Domenico Scala'];A lovely, incisive portrait of adolescents in the crowded San Giovanni quarter of Rome during the last years of WWII.
10;/film/nine-letters-to-berta/;166199.0;Nine Letters to Berta;0.937;7.2;1966-06-16;90.0;Spain;es;0.0;0.0;['Drama'];['Basilio Martín Patino'];[2];"['Emilio Gutiérrez Caba', 'Elsa Baeza', 'Montserrat Blanch', 'Mary Carrillo', 'Antonio Casas', 'José María Casaux', 'Manuel Domínguez Luna', 'María Elena Flores', 'Rosa Fúster', 'José María Resel', 'Nicolás D. Perchicot', ""José 'Lepe' Álvarez"", 'Miguel Palenzuela', 'Yelena Samarina', 'Concha Gómez Conde', 'Iván Tubau', 'Cecilia Villarreal', 'Coral Pellicer', 'Fernando Sánchez Polack', 'Antonio Jiménez Escribano', 'Josefina Serratosa', 'Mary France Tecourt', 'Isabel Pallarés']";[];['Pedro del Rey'];['Luis Enrique Torán'];Lorenzo is a young man who has just returned to Salamanca (Spain) from England, where he fell in love with Berta, a girl daughter of exiled parents who have never seen Spain. Lorenzo tries through some beautiful letters that she understands how is the world where her parents once lived.
9;/film/the-wishful-thinkers/;178601.0;The Wishful Thinkers;0.722;7.3;2013-04-13;94.0;Spain;es;0.0;0.0;['Drama'];['Jonás Trueba'];[2];['Francesco Carril', 'Aura Garrido', 'Mikele Urroz', 'Vito Sanz', 'Isabelle Stoffel', 'Luis Miguel Madrid'];[];['Marta Velasco'];['Santiago Racaj'];"What some filmmakers do when they are not making movies: they waste time; they eat and get drunk; they take a walk after watching a movie; they fall in love; they are alone or with friends, building future memories for a future movie."
7;/film/journal-de-septembre/;623228.0;Journal de septembre;0.6;6.0;2019-05-12;80.0;Belgium;fr;0.0;0.0;['Documentary'];['Eric Pauwels'];[2];['Anahit Simonian', 'Walter Conrads', 'Gilles Lechantre', 'Eugénie De Mey', 'Olivier Dekegel', 'Louve Fourneau', 'Laszlo Fourneau', 'Mohamed Ben Hamidou', 'Jacqueline Aubenas', 'Jérémy Lamblot', 'Carole Schils', 'Arthur Goldberg', 'Marie-Sixtine Grignard', 'Mélissa Diarra', 'Marie Van Puyvelde', 'Léopold Terlinden', 'Chloé Dermont', 'Daphné Liégeois', 'Lucie Boisserie', 'Mégane Danton', 'Céline Beutels', 'Anna Baillij', 'Agathe Barjaud', 'Paul Anrieu', 'Jules Drouven', 'Mélusine Delferière', 'Léo Pauwels', 'Gaspard Pauwels', 'Lola Pauwels', 'Reinhart Cosaert', 'Rudi Maerten', 'Eliza Smierzchalska'];[];['Rudi Maerten'];['Eric Pauwels', 'Gaspard Pauwels', 'Olivier Dekegel', 'Reinhart Cosaert', 'Stany Defise', 'Eliza Smierzchalska', 'Léo Pauwels'];"A film made of objects, faces and texts; of lost cats, of found pictures, cut-outs, recreations; a poetic subversion in diary form, one that breaks the calendar into a novel, driving relentlessly as a journey to the end of the world."
7;/film/middle-class-train/;117569.0;Middle-Class Train;1.791;6.273;1933-11-01;63.0;Italy;it;0.0;0.0;['Comedy'];['Raffaello Matarazzo'];[2];['Marcello Spada', 'Lina Gennari', 'Carlo Petrangeli', 'Jone Frigerio', 'Cesare Zoppetti', 'Maria Denis', 'Giuseppe Pierozzi', 'Gino Viotti', 'Aldo Frosi', 'Raffaello Matarazzo', 'Giuseppe Ricagno', 'Umberto Sacripante', 'Italo Tancredi'];['Raffaello Matarazzo', 'Gastone Bossio'];[];['Domenico Scala', 'Anchise Brizzi'];His 1933 debut, following some years as a journalist and then script boy, was Treno popolare, an early sound lark about several Roman petit bourgeois on a day trip to the country that was influenced by the German proto-neorealist silent picture People on Sunday (1930). Produced at the height of the fascist era, Treno popolare was nonetheless free of propaganda, and featured the first film score by the legendary composer Nino Rota.
7;/film/my-uncle-jacinto/;117169.0;My Uncle Jacinto;2.701;6.7;1956-03-31;87.0;Spain;es;0.0;0.0;['Drama'];['Ladislao Vajda'];[2];"['Pablito Calvo', 'Antonio Vico', 'José Marco Davó', 'Juan Calvo', 'Mariano Azaña', 'Pastora Peña', 'Julio Sanjuán', 'Miguel Gila', 'José Isbert', 'Adriano Domínguez', 'Luis Sánchez Polack', 'Joaquín Portillo', 'José María Lado', 'Rafael Bardem', 'Pedro Porcel', 'Gaspar Campos', 'Julio Riscal', 'Jesús Colomer', 'Joaquín Vidriales', 'Julio F. Alymán', 'José Calvo', 'Rosita Valero', 'Gildo Bocci', 'Giulio Battiferri', 'Salvatore Libassi', ""Floria D'Alba"", 'Flora Lillo', 'Pedro Valdivieso', 'Vicente Bañó', 'Manuel Aguilera', 'Agustín Bravo', 'Joaquín Burgos', 'John Berry', 'Bett Berry', 'José María Rodríguez', 'Félix Briones', 'Lerín', 'Boquerón', 'Los Xey', 'Paolo Stoppa', 'Walter Chiari', 'Carlo Campanini']";['Ladislao Vajda', 'Gian Luigi Rondi', 'José Santugini', 'Andrés Laszlo', 'Max Körner'];['Julio Peña'];['Heinrich Gärtner'];Jacinto, a former bullfighter who lives miserably with his nephew Pepote, receives a letter reminding him that, as agreed a few days before, he must participate in a bullfight to be held that same afternoon.
6;/film/cyclops-1987/;230653.0;Cyclops;1.4;5.1;1987-10-26;52.0;Japan;ja;0.0;0.0;['Horror', 'Science Fiction', 'Thriller'];['George Iida'];[2];['Kai Ato', 'Mayumi Hasegawa', 'Yoshimasa Kondo', 'Kazuhiro Sano', 'Nobuo Takahashi'];[];[];[];A bizarre medical exam of a nude woman by several doctors and scientists reveal that their latest subject has committed suicide before giving birth to one of the mutant creatures they had placed within her body. So, an investigative crew of scientists (along with a large human mutant cyclops creature) head out to the city streets to obtain a new donor/victim in the form of a young girl. Gore and Z-Grade mayhem ensue.
6;/film/de-nens/;363429.0;De nens;0.6;8.1;2003-11-16;180.0;Spain;en;0.0;0.0;['Documentary'];['Joaquim Jordà'];[0];[];[];[];[];The film describes the scandal of pederastria that exploded in the neighborhood of the Raval of Barcelona and the trial that took place some years afterwards. Jordà analyzes the mechanisms of the justice and of the world of the medias.
6;/film/middle-of-the-night/;120522.0;Middle of the Night;2.336;7.4;1959-05-20;118.0;United States of America;en;0.0;0.0;['Drama', 'Romance'];['Delbert Mann'];[2];['Kim Novak', 'Fredric March', 'Glenda Farrell', 'Albert Dekker', 'Martin Balsam', 'Lee Grant', 'Lee Philips', 'Edith Meiser', 'Joan Copeland', 'Betty Walker', 'Lou Gilbert', 'Rudy Bond', 'Effie Afton', 'Jan Norris', 'David Ford', 'Audrey Peters', 'Dora Weissman', 'Lee Richardson', 'Anna Berger', 'Alfred Leberfeld', 'Nelson Olmsted', 'Walter Mathews'];['Paddy Chayefsky'];['Carl Lerner'];['Joseph C. Brun'];Jerry Kingsley is a wealthy garment manufacturer left lonely in his 60s when his wife dies. Despite the difference in their ages, he strikes up a romance with divorced 24-year-old receptionist Betty. The relationship is dismissed by his daughter, Lillian, discouraged by his sister, Evelyn, and denounced by Betty's mother. But when Jerry begins to mention marriage, even Betty is forced to confront her ambivalence.
