Participante,Peliculas_totales,Peliculas_decada
paloma55,6017,400.0
Lobo_Lopez,6824,617.0
AlCorona,1876,22.0
jasikedevicius,3596,162.0
Manuki,1041,55.0
Xator_Nova,298,4.0
Migorro,125,
edgarfaber,3613,
MarioIglesias,13997,
aixa72,4422,
LaCaneli,4389,
FilmCanet,98,
JoanCuadrado,2182,
DiegoH2000,1556,71.0
elenacf,882,120.0
MabuseCaligari,4657,507.0
Alvaro_souvlaki,145,21.0
fleming22,2142,63.0
MrLombreeze,6,
TaeSuk,2490,103.0
Tannhauser,8456,301.0
Doark13,2615,45.0
Borinot,5685,98.0
Bernatus,2381,42.0
HugoRomero,4365,
jal90,7512,
manuelsanbai,3368,
LBaena,6814,
Simonsds,4495,
ExplodingBoy,2728,
mmgarnica,4367,
fshtravis,3338,160.0
uryenbg,2014,79.0
luisru,4098,75.0
DavidGS90,4947,111.0
RafaNasal,4676,45.0
ezequiel2517,3245,
fifoleCFC,3239,
Marcos_M_Rom,562,
diogoserafim,7817,
gorkalonso1,1444,
Vareludo,2328,
mrtoldo,2896,227.0
rafaqc97,3864,66.0
FaildeGuionista,2643,135.0
utges,3304,277.0
AnaAvellaneda,2121,91.0
alemartin,368,
migblah,7318,
A_Karerina,6015,
RachelMyGod,5131,
Ivan_Suarez,8449,
bennu,1825,
JDCASERO,394,15.0
Trueno,3275,115.0
Bracero,7200,284.0
bander7,3527,86.0
stalker98,2235,36.0
Hectorog,4829,
bergmantonioni,1941,
Maties_TP,2620,
davidpardi97,5694,
Endika,2463,
DanielQuinn,8491,
A_de_la_Hoz,5995,250.0
Faure,7180,256.0
Paula_Arantzazu,7668,157.0
Malala,6036,664.0
Ninotchka,5062,258.0
DanielEscaners,4201,116.0
Saba1e7e,3404,124.0
Vicioinherente,6619,
jjm_24,4080,
Blackcoffee,4523,
HEYMYMAN,1990,
Mann_Ohne_Namen,4188,
fabregatto,7219,
Batty,5110,240.0
AlbertoMilano,1346,93.0
firejuice,5429,495.0
Alberto87FR,6523,237.0
bustinduy,4311,155.0
antares_not,2815,122.0
guillehormigo,4045,60.0
Javchas,3318,31.0
genzai_2,4923,124.0
Isaac98tm,3187,152.0
marctorres,2163,84.0
marioquema,2455,20.0
Juanky97,1973,60.0
Jorgemz,2386,49.0
jorgepm91,2371,75.0
Dani1Medina,1747,47.0
Carlos_,4863,164.0
Sirah_Wiedemann,322,10.0
jaimeac,2468,59.0
MartialCantarel,1820,107.0
will_llermo,5915,153.0
maximo_,2194,40.0
Didacus,13910,473.0
parhelic,3393,38.0
Lubilder,1,
