Participante,Peliculas_totales,Peliculas_decada
Xator_Nova,297,24.0
paloma55,6179,765.0
Colin_Maillard,3421,335.0
ezequiel2517,3317,243.0
pkmorla,1759,102.0
aixa72,4464,410.0
AlCorona,1960,124.0
Hectorog,4947,455.0
MabuseCaligari,4711,334.0
maesepenin,1630,171.0
MarioIglesias,14105,1110.0
Marcos_M_Rom,720,120.0
Lobo_Lopez,7078,260.0
albertobalsam,956,115.0
JoanCuadrado,2402,186.0
Blanchot,1047,119.0
uwugorka,1267,134.0
Ivan_Suarez,8648,1495.0
DavidGS90,4979,408.0
EloyG8,2689,221.0
Filmandera,2230,258.0
fabregatto,7301,726.0
Migorro,144,25.0
jasikedevicius,3614,310.0
sebas__,2903,166.0
Doark13,2694,192.0
edgarfaber,3675,310.0
Borinot,5731,519.0
Rdosdedos,1322,143.0
HobbsEnd,4509,550.0
Mann_Ohne_Namen,4271,409.0
bergmantonioni,1976,179.0
fifoleCFC,5179,409.0
MrBike,2055,90.0
aitanaaguila,4594,271.0
mmgarnica,4422,304.0
Maties_TP,2621,174.0
javivalera,1893,169.0
A_de_la_Hoz,6072,559.0
diogoserafim,7917,755.0
AminVillalba,1343,141.0
synthemesco,3689,393.0
gorkalonso1,1551,151.0
vela44,16164,1405.0
FaildeGuionista,2682,281.0
GAmengual,1975,165.0
JDCASERO,397,31.0
fshtravis,3380,201.0
stalker98,2334,161.0
elchampo,2446,131.0
Lubilder,1,
Jarsito,3046,196.0
imanolrod,938,69.0
Javchas,3332,245.0
edcontrasena,0,
Saba1e7e,3440,217.0
uryenbg,2071,223.0
NestorJuez,4621,191.0
Mas0204,5702,354.0
LBaena,6876,572.0
LBaena,6876,572.0
LaCaneli,4453,319.0
Jorgemz,2473,223.0
alemartin,417,97.0
Alberto87FR,6546,798.0
BeetBeatBit,456,65.0
AlbertoMilano,1443,158.0
Bernatus,2438,265.0
elenacf,935,131.0
utges,3385,340.0
Ruben0,3449,323.0
Vareludo,2369,257.0
Paula_Arantzazu,7789,578.0
Dani1Medina,1826,157.0
Glorfindel7567,2352,222.0
Toshiro15,2518,175.0
AlejandroGR,1516,204.0
AntonioMagnolia,95,5.0
Ninotchka,5245,621.0
onicz,1424,141.0
quber,5136,459.0
ukazioa,649,49.0
ale_piq,1305,91.0
xabeleiva,2703,202.0
jal90,7586,385.0
TaeSuk,2537,230.0
parhelic,3392,220.0
jorgepm91,2394,191.0
will_llermo,6077,463.0
pele_alvaro,3426,275.0
garles,1064,103.0
_alvarocampoy_,1799,88.0
Simonsds,4565,303.0
chinemusic,5425,151.0
Trueno,3290,219.0
bennu,1935,129.0
AmaiaZufiaur,3919,436.0
JuanGL001,1235,83.0
DanielQuinn,8618,839.0
Endika,2504,73.0
huer,1947,164.0
Martincuesta,53,
jjm_24,4232,452.0
literalquien69,335,44.0
RachelMyGod,5230,510.0
HEYMYMAN,2064,138.0
manuelsanbai,3435,488.0
migblah,7436,747.0
marioquema,2455,162.0
A_Karerina,6117,446.0
FrancoRizzo,4839,346.0
mllvfrp,1821,176.0
Dr_Akkar,2109,168.0
bernax24,461,14.0
AleN99,4773,232.0
malatesta19,141,22.0
genzai_2,5011,364.0
alonsodvt,5465,408.0
AnaAvellaneda,5140,377.0
irca,5552,287.0
marctorres,2247,282.0
anaorgana,3774,340.0
Manuki,1136,72.0
DrDrakeRamoray,2782,206.0
FabioVG,1887,238.0
guillehormigo,4069,251.0
BorNaPe,2278,201.0
jaimeac,2905,231.0
rafaqc97,3929,289.0
Didacus,14322,1459.0
Juanky97,2007,199.0
yosolomequejo,1624,99.0
gazpachin,2250,198.0
Pauixitador,2681,266.0
MartialCantarel,1895,278.0
Batty,5136,475.0
