Participante,Peliculas_totales,Peliculas_decada
hill_valley,1770,
Doark13,2516,
jaimecoco,2172,
paloma55,5778,
ezequiel2517,3111,
uryenbg,1979,
pkmorla,1625,
Filmandera,2189,
Jarsito,2991,
aitanaaguila,4476,
HobbsEnd,4419,
parhelic,3368,
fshtravis,3290,
Borinot,5630,
aixa72,4387,
MabuseCaligari,4576,
TaeSuk,2353,
Glorfindel7567,2313,
maesepenin,1414,
Bracero,7043,
ale_piq,1243,
gorkalonso1,1299,
Migorro,12,
bennu,1685,
Marcos_M_Rom,397,
Ruben0,3105,
FaildeGuionista,2591,
EloyG8,2661,
RafaNasal_leFou,0,
Blanchot,1017,
Vareludo,2285,
Paula_Arantzazu,7505,
DanielQuinn,8354,
pele_alvaro,3329,
migblah,7216,
FilmCanet,20,
m0liner,928,
Rdosdedos,1017,
Jorgemz,2298,
BillWayne,1851,
korin,1321,
Padimo02,2721,
LBaena,6775,
rafaqc97,3845,
genzai_2,4541,
Lobo_Lopez,6531,
RachelMyGod,5052,
FrancoRizzo,4689,
Javchas,3310,
guillehormigo,3959,
AndresTM,2775,
Pauixitador,2401,
Juanky97,1865,
vela44,14957,
YeraiM,1256,
kndel_01,2047,
jjm_24,3855,
Faure,7101,
Alberto87FR,6509,
martinsalernx,1537,
marctorres,2035,
DrDrakeRamoray,2603,
ExplodingBoy,2658,
HEYMYMAN,1902,
malatesta19,62,
JuanGL001,1191,
utges,3223,
will_llermo,5726,
MartialCantarel,1653,
jasikedevicius,3538,
Ninotchka,4881,
Carlos_,4828,
Didacus,13302,
Batty,5065,
