,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Workers for the Good Lord,2000,/film/workers-for-the-good-lord/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,6
1,2,Notre Musique,2004,/film/notre-musique/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,5
2,3,Volver,2006,/film/volver/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,5
3,4,Ponyo,2008,/film/ponyo/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,5
4,5,Around a Small Mountain,2009,/film/around-a-small-mountain/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,5
5,6,After the Reconciliation,2000,/film/after-the-reconciliation/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,4
6,7,These Encounters of Theirs,2006,/film/these-encounters-of-theirs/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,4
7,8,Two Lovers,2008,/film/two-lovers/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,4
8,9,Litoral,2008,/film/litoral-2008/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,4
9,10,Eccentricities of a Blonde-Haired Girl,2009,/film/eccentricities-of-a-blonde-haired-girl/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,4
10,11,Blood Work,2002,/film/blood-work/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,3
11,12,Lifeline,2002,/film/lifeline-2002/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,3
12,13,Triple Agent,2004,/film/triple-agent/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,3
13,14,Para Julia,2004,/film/para-julia/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,3
14,15,Woman Is the Future of Man,2004,/film/woman-is-the-future-of-man/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,3
15,16,You're the One,2000,/film/youre-the-one/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,2
16,17,Letter from a Filmmaker to His Daughter,2000,/film/letter-from-a-filmmaker-to-his-daughter/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,2
17,18,Femme Fatale,2002,/film/femme-fatale/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,2
18,19,Lovesong,2001,/film/lovesong/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,2
19,20,Before Sunset,2004,/film/before-sunset/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,2
20,21,Ghosts of Mars,2001,/film/ghosts-of-mars/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,1
21,22,Poppies and Sailboats,2001,/film/poppies-and-sailboats/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,1
22,23,The Cake Eaters,2007,/film/the-cake-eaters/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,1
23,24,Adventureland,2009,/film/adventureland/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,1
24,25,Death and the Devil,2009,/film/death-and-the-devil/,https://letterboxd.com/ezequiel2517/list/tft2000s/detail,1
25,1,Yi Yi,2000,/film/yi-yi/,https://letterboxd.com/manuki/list/tft-2000s/detail,6
26,2,In the Mood for Love,2000,/film/in-the-mood-for-love/,https://letterboxd.com/manuki/list/tft-2000s/detail,5
27,3,Memories of Murder,2003,/film/memories-of-murder/,https://letterboxd.com/manuki/list/tft-2000s/detail,5
28,4,Spirited Away,2001,/film/spirited-away/,https://letterboxd.com/manuki/list/tft-2000s/detail,5
29,5,City of God,2002,/film/city-of-god/,https://letterboxd.com/manuki/list/tft-2000s/detail,5
30,6,Oldboy,2003,/film/oldboy/,https://letterboxd.com/manuki/list/tft-2000s/detail,4
31,7,Cargo 200,2007,/film/cargo-200/,https://letterboxd.com/manuki/list/tft-2000s/detail,4
32,8,Battle Royale,2000,/film/battle-royale/,https://letterboxd.com/manuki/list/tft-2000s/detail,4
33,9,The Twilight Samurai,2002,/film/the-twilight-samurai/,https://letterboxd.com/manuki/list/tft-2000s/detail,4
34,10,Tropical Malady,2004,/film/tropical-malady/,https://letterboxd.com/manuki/list/tft-2000s/detail,4
35,11,This Is England,2006,/film/this-is-england/,https://letterboxd.com/manuki/list/tft-2000s/detail,3
36,12,Joint Security Area,2000,/film/joint-security-area/,https://letterboxd.com/manuki/list/tft-2000s/detail,3
37,13,Donnie Darko,2001,/film/donnie-darko/,https://letterboxd.com/manuki/list/tft-2000s/detail,3
38,14,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/manuki/list/tft-2000s/detail,3
39,15,Black Hawk Down,2001,/film/black-hawk-down/,https://letterboxd.com/manuki/list/tft-2000s/detail,3
40,16,Shrek,2001,/film/shrek/,https://letterboxd.com/manuki/list/tft-2000s/detail,2
41,17,Gangs of New York,2002,/film/gangs-of-new-york-2002/,https://letterboxd.com/manuki/list/tft-2000s/detail,2
42,18,Road to Perdition,2002,/film/road-to-perdition/,https://letterboxd.com/manuki/list/tft-2000s/detail,2
43,19,Kill Bill: Vol. 1,2003,/film/kill-bill-vol-1/,https://letterboxd.com/manuki/list/tft-2000s/detail,2
44,20,Lady Vengeance,2005,/film/lady-vengeance/,https://letterboxd.com/manuki/list/tft-2000s/detail,2
45,21,Shaun of the Dead,2004,/film/shaun-of-the-dead/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
46,22,Punch-Drunk Love,2002,/film/punch-drunk-love/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
47,23,Before Sunset,2004,/film/before-sunset/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
48,24,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
49,25,Billy Elliot,2000,/film/billy-elliot/,https://letterboxd.com/manuki/list/tft-2000s/detail,1
50,1,Saraband,2003,/film/saraband/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,6
51,2,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
52,3,The Return,2003,/film/the-return/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
53,4,In Vanda's Room,2000,/film/in-vandas-room/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
54,5,"4 Months, 3 Weeks and 2 Days",2007,/film/4-months-3-weeks-and-2-days/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,5
55,6,"You, the Living",2007,/film/you-the-living/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
56,7,The Man Without a Past,2002,/film/the-man-without-a-past/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
57,8,Russian Ark,2002,/film/russian-ark/,https://letterboxd.com/filmcanet/list/tft-2000s/detail,4
