,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Fallen Angels,1995,/film/fallen-angels/,https://letterboxd.com/doark13/list/tftchinas/detail,6
1,2,"Goodbye, Dragon Inn",2003,/film/goodbye-dragon-inn/,https://letterboxd.com/doark13/list/tftchinas/detail,5
2,3,Millennium Mambo,2001,/film/millennium-mambo/,https://letterboxd.com/doark13/list/tftchinas/detail,5
3,4,Long Day's Journey into Night,2018,/film/long-days-journey-into-night-2018/,https://letterboxd.com/doark13/list/tftchinas/detail,5
4,5,Suzhou River,2000,/film/suzhou-river/,https://letterboxd.com/doark13/list/tftchinas/detail,5
5,6,An Elephant Sitting Still,2018,/film/an-elephant-sitting-still/,https://letterboxd.com/doark13/list/tftchinas/detail,4
6,7,Vive L'Amour,1994,/film/vive-lamour/,https://letterboxd.com/doark13/list/tftchinas/detail,4
7,8,Taipei Story,1985,/film/taipei-story/,https://letterboxd.com/doark13/list/tftchinas/detail,4
8,9,In the Mood for Love,2000,/film/in-the-mood-for-love/,https://letterboxd.com/doark13/list/tftchinas/detail,4
9,10,Raise the Red Lantern,1991,/film/raise-the-red-lantern/,https://letterboxd.com/doark13/list/tftchinas/detail,4
10,11,"That Day, on the Beach",1983,/film/that-day-on-the-beach/,https://letterboxd.com/doark13/list/tftchinas/detail,3
11,12,2046,2004,/film/2046/,https://letterboxd.com/doark13/list/tftchinas/detail,3
12,13,Still Life,2006,/film/still-life/,https://letterboxd.com/doark13/list/tftchinas/detail,3
13,14,The Wayward Cloud,2005,/film/the-wayward-cloud/,https://letterboxd.com/doark13/list/tftchinas/detail,3
14,15,The Assassin,2015,/film/the-assassin-2015/,https://letterboxd.com/doark13/list/tftchinas/detail,3
15,16,A Touch of Zen,1971,/film/a-touch-of-zen/,https://letterboxd.com/doark13/list/tftchinas/detail,2
16,17,Youth (Spring),2023,/film/youth-spring/,https://letterboxd.com/doark13/list/tftchinas/detail,2
17,18,Yellow Earth,1984,/film/yellow-earth/,https://letterboxd.com/doark13/list/tftchinas/detail,2
18,19,Kaili Blues,2015,/film/kaili-blues/,https://letterboxd.com/doark13/list/tftchinas/detail,2
19,20,Terrorizers,1986,/film/terrorizers/,https://letterboxd.com/doark13/list/tftchinas/detail,2
20,21,The Cloud in Her Room,2020,/film/the-cloud-in-her-room/,https://letterboxd.com/doark13/list/tftchinas/detail,1
21,22,The Road Home,1999,/film/the-road-home/,https://letterboxd.com/doark13/list/tftchinas/detail,1
22,23,Return to Dust,2022,/film/return-to-dust-2022/,https://letterboxd.com/doark13/list/tftchinas/detail,1
23,24,Paths of the Soul,2015,/film/paths-of-the-soul/,https://letterboxd.com/doark13/list/tftchinas/detail,1
24,25,Made in Hong Kong,1997,/film/made-in-hong-kong/,https://letterboxd.com/doark13/list/tftchinas/detail,1
25,1,Mahjong,1996,/film/mahjong/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,6
26,2,Wild Rose,1932,/film/wild-rose/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,5
27,3,Legend of Tianyun Mountain,1980,/film/legend-of-tianyun-mountain/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,5
28,4,Boat People,1982,/film/boat-people/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,5
29,5,A Moment of Romance,1990,/film/a-moment-of-romance/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,5
30,6,Spring in a Small Town,1948,/film/spring-in-a-small-town/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,4
31,7,Ashima,1964,/film/ashima/,https://letterboxd.com/ezequiel2517/list/tftchinas-1/detail,4
