,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Depression Focus Please,1984,/film/depression-focus-please/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,6
1,2,Anticipation of the Night,1958,/film/anticipation-of-the-night/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,5
2,3,Landscape,1969,/film/landscape-1969/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,5
3,4,The Cherry Tree with Gray Blossoms,1977,/film/the-cherry-tree-with-gray-blossoms/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,5
4,5,Empty Suitcases,1980,/film/empty-suitcases/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,5
5,6,The Way to Shadow Garden,1954,/film/the-way-to-shadow-garden/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,4
6,7,Fog Line,1970,/film/fog-line/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,4
7,8,Offering,1978,/film/offering/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,4
8,9,Heliography,1979,/film/heliography/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,4
9,10,Incense,2002,/film/incense-2002/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,4
10,11,Bouquets 11-20,2011,/film/bouquets-11-20/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,3
11,12,Kristallnacht,1979,/film/kristallnacht/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,3
12,13,Barn Rushes,1971,/film/barn-rushes/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,3
13,14,Garden Pieces,1998,/film/garden-pieces/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,3
14,15,American International Pictures,1997,/film/american-international-pictures/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,3
15,16,Manhatta,1921,/film/manhatta/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,2
16,17,At Land,1944,/film/at-land/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,2
17,18,Lights,1966,/film/lights/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,2
18,19,Allers-Venues,1984,/film/allers-venues/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,2
19,20,Letter to D.H. In Paris,1967,/film/letter-to-dh-in-paris/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,2
20,21,Seasons...,2002,/film/seasons-2002/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,1
21,22,The Matrix Resurrections,2021,/film/the-matrix-resurrections/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,1
22,23,Autofiction,2020,/film/autofiction/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,1
23,24,Meshes of the Afternoon,1943,/film/meshes-of-the-afternoon/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,1
24,25,Comingled Containers,1996,/film/comingled-containers/,https://letterboxd.com/hill_valley/list/tftvanguardias/detail,1
25,1,Fire in Castilla (Tactilvision from the Moor of the Fright),1961,/film/fire-in-castilla-tactilvision-from-the-moor-of-the-fright/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,6
26,2,Train of Shadows,1997,/film/train-of-shadows/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,5
27,3,Sleep Has Her House,2017,/film/sleep-has-her-house/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,5
28,4,Triste,1996,/film/triste/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,5
29,5,Lacrima Christi,1980,/film/lacrima-christi/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,5
30,6,NEKO-MIMI,1993,/film/neko-mimi/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,4
31,7,Tomorrow’s Promise,1967,/film/tomorrows-promise/,https://letterboxd.com/doark13/list/tftvanguardias-1/detail,4
