url_peli,Title,Year,tmdb_type,tmdb_id
/film/city-lights/,City Lights,1931,movie,901.0
/film/vampyr/,Vampyr,1932,movie,779.0
/film/the-story-of-the-last-chrysanthemum/,The Story of the Last Chrysanthemum,1939,movie,46069.0
/film/latalante/,L'Atalante,1934,movie,43904.0
/film/m/,M,1931,movie,832.0
/film/only-angels-have-wings/,Only Angels Have Wings,1939,movie,43832.0
/film/tabu-a-story-of-the-south-seas/,Tabu: A Story of the South Seas,1931,movie,977.0
/film/stagecoach/,Stagecoach,1939,movie,995.0
/film/the-rules-of-the-game/,The Rules of the Game,1939,movie,776.0
/film/trouble-in-paradise/,Trouble in Paradise,1932,movie,195.0
/film/earth-1930/,Earth,1930,movie,46594.0
/film/modern-times/,Modern Times,1936,movie,3082.0
/film/freaks/,Freaks,1932,movie,136.0
/film/bringing-up-baby/,Bringing Up Baby,1938,movie,900.0
/film/by-the-bluest-of-seas/,By the Bluest of Seas,1936,movie,110733.0
/film/history-is-made-at-night/,History Is Made at Night,1937,movie,31903.0
/film/love-affair-1939/,Love Affair,1939,movie,43739.0
/film/make-way-for-tomorrow/,Make Way for Tomorrow,1937,movie,41059.0
/film/i-was-born-but/,"I Was Born, But...",1932,movie,28268.0
/film/three-comrades/,Three Comrades,1938,movie,109970.0
/film/broken-lullaby/,Broken Lullaby,1932,movie,58192.0
/film/jesse-james/,Jesse James,1939,movie,43829.0
/film/you-only-live-once/,You Only Live Once,1937,movie,52758.0
/film/young-mr-lincoln/,Young Mr. Lincoln,1939,movie,43838.0
/film/grand-illusion/,Grand Illusion,1937,movie,777.0
/film/back-street-1932/,Back Street,1932,movie,109197.0
/film/gone-with-the-wind/,Gone with the Wind,1939,movie,770.0
/film/it-happened-one-night/,It Happened One Night,1934,movie,3078.0
/film/design-for-living/,Design for Living,1933,movie,77210.0
/film/city-girl/,City Girl,1930,movie,34796.0
/film/scarface/,Scarface,1932,movie,877.0
/film/our-daily-bread-1934/,Our Daily Bread,1934,movie,126136.0
/film/port-of-shadows/,Port of Shadows,1938,movie,46326.0
/film/the-only-son/,The Only Son,1936,movie,52047.0
/film/limite/,Limite,1931,movie,8353.0
/film/holiday/,Holiday,1938,movie,16274.0
/film/the-childhood-of-maxim-gorky/,The Childhood of Maxim Gorky,1938,movie,129417.0
/film/the-blue-angel/,The Blue Angel,1930,movie,228.0
/film/the-wizard-of-oz-1939/,The Wizard of Oz,1939,movie,630.0
/film/angel/,Angel,1937,movie,44208.0
/film/enthusiasm-symphony-of-donbas/,Enthusiasm. Symphony of Donbas,1930,movie,45176.0
/film/you-cant-take-it-with-you/,You Can't Take It with You,1938,movie,34106.0
/film/alexander-nevsky/,Alexander Nevsky,1938,movie,10235.0
/film/the-roaring-twenties/,The Roaring Twenties,1939,movie,37698.0
/film/the-big-trail/,The Big Trail,1930,movie,42640.0
/film/bride-of-frankenstein/,Bride of Frankenstein,1935,movie,229.0
/film/all-quiet-on-the-western-front/,All Quiet on the Western Front,1930,movie,143.0
/film/fury/,Fury,1936,movie,14615.0
/film/morocco/,Morocco,1930,movie,42641.0
/film/midnight-1939/,Midnight,1939,movie,31993.0
/film/the-testament-of-dr-mabuse/,The Testament of Dr. Mabuse,1933,movie,12206.0
/film/lady-killer-1937/,Lady Killer,1937,movie,78537.0
/film/the-39-steps/,The 39 Steps,1935,movie,260.0
/film/the-lady-vanishes/,The Lady Vanishes,1938,movie,940.0
/film/stella-dallas/,Stella Dallas,1937,movie,43865.0
/film/king-kong/,King Kong,1933,movie,244.0
/film/the-edge-of-the-world/,The Edge of the World,1937,movie,44407.0
/film/a-night-at-the-opera/,A Night at the Opera,1935,movie,37719.0
/film/queen-christina/,Queen Christina,1933,movie,31526.0
/film/mr-thank-you/,Mr. Thank You,1936,movie,100033.0
/film/ninotchka/,Ninotchka,1939,movie,1859.0
/film/sisters-of-the-gion/,Sisters of the Gion,1936,movie,74581.0
/film/dishonored/,Dishonored,1931,movie,73420.0
/film/the-scarlet-empress/,The Scarlet Empress,1934,movie,31527.0
/film/lage-dor/,L'Âge d'or,1930,movie,5729.0
/film/shanghai-express/,Shanghai Express,1932,movie,875.0
/film/ray-of-sunshine-1933/,Ray of Sunshine,1933,movie,206237.0
/film/everybodys-woman/,Everybody's Woman,1934,movie,120972.0
/film/stage-door/,Stage Door,1937,movie,43864.0
/film/the-bakers-wife/,The Baker's Wife,1938,movie,43844.0
/film/japanese-girls-at-the-harbor/,Japanese Girls at the Harbor,1933,movie,64728.0
/film/my-man-godfrey/,My Man Godfrey,1936,movie,13562.0
