Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
Twin Peaks: The Return,2017,/film/twin-peaks-the-return/,259,tv,1920,166349
Uncle Boonmee Who Can Recall His Past Lives,2010,/film/uncle-boonmee-who-can-recall-his-past-lives/,201,movie,38368,64333
Phantom Thread,2017,/film/phantom-thread/,152,movie,400617,485618
The Strange Case of Angelica,2010,/film/the-strange-case-of-angelica/,138,movie,53413,5522
Pain and Glory,2019,/film/pain-and-glory/,119,movie,519010,170395
Carol,2015,/film/carol-2015/,117,movie,258480,499870
Portrait of a Lady on Fire,2019,/film/portrait-of-a-lady-on-fire/,112,movie,531428,730667
The Turin Horse,2011,/film/the-turin-horse/,111,movie,81401,42495
A Woman's Revenge,2012,/film/a-womans-revenge-2012/,109,movie,89451,2372
La Flor,2018,/film/la-flor/,109,movie,423778,5497
The Tree of Life,2011,/film/the-tree-of-life-2011/,109,movie,8967,295591
The Wind Rises,2013,/film/the-wind-rises/,107,movie,149870,334579
"Right Now, Wrong Then",2015,/film/right-now-wrong-then/,106,movie,354275,26648
Goodbye to Language,2014,/film/goodbye-to-language/,106,movie,114982,22347
On the Beach at Night Alone,2017,/film/on-the-beach-at-night-alone/,95,movie,434773,41261
The Tale of the Princess Kaguya,2013,/film/the-tale-of-the-princess-kaguya/,94,movie,149871,197013
Blackhat,2015,/film/blackhat/,92,movie,201088,66336
Spring Breakers,2012,/film/spring-breakers/,90,movie,122081,420995
It's Such a Beautiful Day,2012,/film/its-such-a-beautiful-day/,87,movie,489412,111302
Vitalina Varela,2019,/film/vitalina-varela/,86,movie,468592,12560
Out-Takes from the Life of a Happy Man,2012,/film/out-takes-from-the-life-of-a-happy-man/,86,movie,190972,2325
Passion,2012,/film/passion-2012/,83,movie,109099,21754
4:44 Last Day on Earth,2011,/film/4-44-last-day-on-earth/,82,movie,86820,8446
First Cow,2019,/film/first-cow/,79,movie,558582,100965
Le Havre,2011,/film/le-havre/,79,movie,73532,28804
Lover for a Day,2017,/film/lover-for-a-day/,78,movie,434131,7845
The Great Beauty,2013,/film/the-great-beauty/,76,movie,179144,133362
The Image Book,2018,/film/the-image-book/,75,movie,414030,15291
Yourself and Yours,2016,/film/yourself-and-yours/,75,movie,410678,8204
Happy as Lazzaro,2018,/film/happy-as-lazzaro/,73,movie,481432,65244
An Elephant Sitting Still,2018,/film/an-elephant-sitting-still/,73,movie,499556,34941
Meek's Cutoff,2010,/film/meeks-cutoff/,73,movie,57120,39557
Once Upon a Time… in Hollywood,2019,/film/once-upon-a-time-in-hollywood/,71,movie,466272,2101043
The Master,2012,/film/the-master-2012/,69,movie,68722,409048
Paterson,2016,/film/paterson/,68,movie,370755,225289
Mysteries of Lisbon,2010,/film/mysteries-of-lisbon/,64,movie,57403,5551
High Life,2018,/film/high-life-2018/,62,movie,376865,159044
The Social Network,2010,/film/the-social-network/,62,movie,37799,2139430
Cemetery of Splendor,2015,/film/cemetery-of-splendor/,61,movie,298721,21922
Mommy,2014,/film/mommy-2014/,61,movie,265177,228098
Horse Money,2014,/film/horse-money/,58,movie,285697,9480
The Handmaiden,2016,/film/the-handmaiden/,57,movie,290098,537844
Interstellar,2014,/film/interstellar/,56,movie,157336,2820720
Happy Hour,2015,/film/happy-hour-2015-1/,55,movie,354759,13246
Everybody Wants Some!!,2016,/film/everybody-wants-some/,54,movie,295699,117388
Holy Motors,2012,/film/holy-motors/,53,movie,103328,109449
Burning,2018,/film/burning-2018/,53,movie,491584,282879
Inherent Vice,2014,/film/inherent-vice/,52,movie,171274,243360
