usuario_base;vecinos;similaridad;imp_pelis;imp_dir;imp_gen;imp_fecha;imp_pais
aitanaaguila;aixa72;29.452237953254215;7.772415423695333;23.479900893804764;20.164168083508883;22.813857803576003;25.76965779541502
aitanaaguila;alberto87fr;26.694958970073838;0.0;17.038700080266;22.373252232132568;30.85311486569681;29.73493282190461
aitanaaguila;ale_piq;47.65257065950004;23.418689666479402;24.867124452002987;16.380823555735244;19.680488221645764;15.65287410413661
aitanaaguila;andrestm;24.05491599722223;0.0;3.987849844865817;23.607739420653783;39.069202222864185;33.335208511616216
aitanaaguila;batty;30.22088719126321;0.0;23.649637080579666;17.60668147965259;30.896218918082145;27.847462521685593
aitanaaguila;bennu;30.101468798912574;0.0;21.39273847506588;23.47864825291309;31.467274183167834;23.661339088853186
aitanaaguila;billwayne;37.115942466764174;21.58648135025018;19.972876930508885;20.788797500046588;19.844173731461826;17.807670487732526
aitanaaguila;blanchot;32.27082320842796;10.640340364966297;13.727343002664876;23.950274270592722;27.61451100652373;24.067531355252378
aitanaaguila;borinot;30.62514869664759;0.9343425186180261;23.539158137293892;24.544913187919455;28.62872121509259;22.352864941076046
aitanaaguila;bracero;28.09342556112247;0.0;18.719074577970083;23.245518148365445;28.865281454316285;29.17012581934819
aitanaaguila;carlos_;23.07845563619177;12.398740633842083;15.673799403705182;25.59198109771529;14.463029449789955;31.872449414947486
aitanaaguila;danielquinn;33.01270681121644;3.4670745092074924;24.582323074974546;18.91862893280158;29.14292768888439;23.88904579413198
aitanaaguila;didacus;27.20679432896543;4.206945988607451;13.111922973376638;25.41775618717834;26.343513385877984;30.919861464959595
aitanaaguila;doark13;28.929839296559823;0.0;13.834762773365494;23.060152983379673;33.406004652347264;29.699079590907573
aitanaaguila;drdrakeramoray;26.86243683899048;12.782628205082512;11.88129243979709;23.9739286488674;27.042789197825133;24.319361508427868
aitanaaguila;eloyg8;31.764806781581452;9.00820167521657;21.256644229379994;23.458039245959586;21.88146306570912;24.39565178373472
aitanaaguila;explodingboy;27.493137150759058;8.32626074190657;14.711504198619004;21.01600684211921;26.983918870983903;28.962309346371296
aitanaaguila;ezequiel2517;31.96414886184617;8.952022683273341;22.144010705738783;18.674063138634573;24.642628228059277;25.58727524429402
aitanaaguila;faildeguionista;23.684150522627405;4.83266284580308;4.086495778326395;23.337482182735688;39.27174734621335;28.471611846921483
aitanaaguila;faure;33.46575556198112;7.695311304701649;23.43432523884868;19.441879715784232;25.039875647146644;24.38860809351878
aitanaaguila;filmandera;42.706281186909415;21.4408768141944;18.740985457400072;17.958979845244173;22.14668429837994;19.712473584781414
aitanaaguila;filmcanet;32.78862819397466;13.963074464474504;26.25548051213549;24.205993774928682;15.326536162744631;20.248915085716675
aitanaaguila;francorizzo;25.58399907715915;5.592241166046549;10.470022695820546;26.712364293173525;28.613497081937783;28.61187476302159
aitanaaguila;fshtravis;30.428614355293956;9.403773117029548;19.035538631823933;23.1779688077428;21.439476892753888;26.943242550649835
aitanaaguila;genzai_2;32.10543228933445;5.347577003493532;19.88211706488488;22.35938665306498;27.75305673957801;24.6578625389786
aitanaaguila;glorfindel7567;24.494099454092023;0.0;10.143586101747946;27.918290495402925;30.534811101908687;31.40331230094043
aitanaaguila;gorkalonso1;35.46900168533424;12.907892393535853;17.157585944569806;24.234167916144354;26.24509114765757;19.455262598092418
aitanaaguila;guillehormigo;23.5225390129833;0.0;14.451011527112946;24.158275412124368;25.79392065569825;35.59679240506444
aitanaaguila;heymyman;30.532732759258323;1.8743411401719774;19.41386045935068;24.28234521945414;27.37080973911013;27.058643441913066
aitanaaguila;hill_valley;24.765512570265617;2.3108246586935364;3.5273036778775726;23.24149103746607;36.23095917859343;34.6894214473694
aitanaaguila;hobbsend;26.873131579656548;0.0;15.259887049687789;24.61222789480716;28.438721420162523;31.689163635342535
aitanaaguila;jaimecoco;44.40544778958975;17.39850085400127;31.052577238735598;15.606123076615923;17.753294404275426;18.189504426371784
aitanaaguila;jarsito;31.318520364135555;7.30925426452651;23.215599653524468;21.58230435218662;25.86556230596492;22.02727942379748
aitanaaguila;jasikedevicius;31.746534005382266;14.421418633694511;11.150297180153121;22.16097380247307;26.69538268431839;25.57192769936093
aitanaaguila;javchas;33.56162960932994;10.231104591532457;14.87113926396583;21.922033303870972;27.22852344204378;25.74719939858696
aitanaaguila;jjm_24;32.53547985298318;3.517929189374302;26.261962369501973;18.46998415760338;26.99265968438604;24.75746459913433
aitanaaguila;jorgemz;39.916178246031244;9.319201830114839;28.43239948889582;20.363103616236558;21.375112204127227;20.51018286062555
aitanaaguila;juangl001;30.629771980594338;14.947223810562386;13.715193864152251;23.352349050315315;27.735097961068195;20.25013531390185
aitanaaguila;juanky97;30.09792969209721;2.8521275907349724;26.884764174346785;26.135864613254288;18.435260699509005;25.691982922154946
aitanaaguila;kndel_01;24.945233876415564;3.4412640155678025;10.319831029657786;26.20026977166464;30.223027103878316;29.81560807923145
aitanaaguila;korin;35.58414728513361;13.670256918870749;21.195525703199596;17.356858182640494;22.8043535115993;24.97300568368986
aitanaaguila;lbaena;29.623164569003336;0.0;22.067221286063237;19.627532398402508;32.02664176352634;26.278604552007913
aitanaaguila;lobo_lopez;28.423674832454587;6.040255963019588;13.337161062319177;22.873372186787734;30.317094777109826;27.432116010763686
