,Pos,Titulo,Anio,url,Puntos
0,1,Vertigo,1958,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,5
1,2,Mulholland Drive,2001,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,4
2,3,The Quiet Man,1952,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,4
3,4,Ordet,1955,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,4
4,5,Contempt,1963,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
5,6,Persona,1966,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
6,7,Tokyo Story,1953,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
7,8,The Sacrifice,1986,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
8,9,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
9,10,Journey to Italy,1954,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
10,11,New Rose Hotel,1998,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
11,12,The Green Ray,1986,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
12,13,Johnny Guitar,1954,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
13,14,The Godfather: Part II,1974,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
14,15,A Man Escaped,1956,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
15,16,The Spirit of the Beehive,1973,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
16,17,A Brighter Summer Day,1991,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
17,18,Last Year at Marienbad,1961,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
18,19,Ugetsu,1953,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
19,20,Tabu,1931,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
20,21,2001: A Space Odyssey,1968,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
21,22,The River,1951,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
22,23,Sans Soleil,1983,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
23,24,Doomed Love,1978,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
24,25,Only Angels Have Wings,1939,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
25,1,Mulholland Drive,2001,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,5
26,2,The Sound of the Shaking Earth,1990,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,4
27,3,Gaucín,2020,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,4
28,4,Sunrise: A Song of Two Humans,1927,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,4
29,5,Lost Highway,1997,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
30,6,The Green Ray,1986,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
31,7,Water-Mirror of Granada,1955,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
32,8,Inland Empire,2006,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
33,9,Céline and Julie Go Boating,1974,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
