Title,Year,Review
Vertigo,1958,116
Mulholland Drive,2001,102
Ordet,1955,51
El sur,1983,47
Johnny Guitar,1954,42
Sunrise: A Song of Two Humans,1927,40
The Passion of Joan of Arc,1928,39
Tokyo Story,1953,36
Pierrot le Fou,1965,36
Céline and Julie Go Boating,1974,35
Rio Bravo,1959,34
Sansho the Bailiff,1954,33
Only Angels Have Wings,1939,33
Gertrud,1964,33
The Long Gray Line,1955,33
Spirited Away,2001,32
The Quiet Man,1952,31
Sans Soleil,1983,31
Persona,1966,30
The Green Ray,1986,29
Heat,1995,29
L'Atalante,1934,29
An Affair to Remember,1957,27
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,27
My Darling Clementine,1946,27
The Mother and the Whore,1973,27
Inland Empire,2006,26
Blow Out,1981,25
Late Spring,1949,25
The Man Who Shot Liberty Valance,1962,25
In the Mood for Love,2000,25
Contempt,1963,24
A Man Escaped,1956,24
Journey to Italy,1954,23
Viridiana,1961,23
City Lights,1931,23
The Searchers,1956,23
2001: A Space Odyssey,1968,22
How Green Was My Valley,1941,22
The Shop Around the Corner,1940,22
Ugetsu,1953,21
Rear Window,1954,21
L'Eclisse,1962,21
The Sound of the Shaking Earth,1990,21
Two in the Shadow,1967,21
New Rose Hotel,1998,20
Hiroshima Mon Amour,1959,19
Imitation of Life,1959,19
An Autumn Afternoon,1962,19
Good Morning,1959,19
The River,1951,18
Apocalypse Now,1979,18
A Brighter Summer Day,1991,17
Mirror,1975,17
Last Year at Marienbad,1961,17
Stagecoach,1939,17
Touch of Evil,1958,17
It's Such a Beautiful Day,2012,17
Out 1,1971,17
Starman,1984,17
La Flor,2018,17
Crash,1996,16
"Sherlock, Jr.",1924,16
Lost Highway,1997,16
Love Streams,1984,16
Man's Favorite Sport?,1964,16
Speed Racer,2008,16
The Spirit of the Beehive,1973,15
Yi Yi,2000,15
All That Heaven Allows,1955,15
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,15
North by Northwest,1959,15
Pulse,2001,15
Francisca,1981,15
Water-Mirror of Granada,1955,15
Vampyr,1932,15
Stalker,1979,14
Body Double,1984,14
Eyes Wide Shut,1999,14
Man with a Movie Camera,1929,14
Miami Vice,2006,14
The Godfather: Part II,1974,14
Tabu,1931,13
Doomed Love,1978,13
Tea and Sympathy,1956,13
Le Trou,1960,13
Barry Lyndon,1975,13
The Night of the Hunter,1955,13
Meshes of the Afternoon,1943,12
High and Low,1963,12
Werckmeister Harmonies,2000,12
By the Bluest of Seas,1935,12
Chungking Express,1994,12
Cries and Whispers,1972,12
Floating Weeds,1959,12
Late Autumn,1960,12
Sunset Boulevard,1950,12
The Rules of the Game,1939,12
Brief Encounter,1945,12
Histoire(s) du cinéma,1998,12
Opening Night,1977,12
