Title,Year,Review
Vertigo,1958,116 puntos con 36 menciones
Mulholland Drive,2001,102 puntos con 31 menciones
Ordet,1955,51 puntos con 18 menciones
El sur,1983,47 puntos con 21 menciones
Johnny Guitar,1954,42 puntos con 16 menciones
Sunrise: A Song of Two Humans,1927,40 puntos con 13 menciones
The Passion of Joan of Arc,1928,39 puntos con 18 menciones
Tokyo Story,1953,36 puntos con 16 menciones
Pierrot le Fou,1965,36 puntos con 13 menciones
Céline and Julie Go Boating,1974,35 puntos con 15 menciones
Rio Bravo,1959,34 puntos con 14 menciones
Sansho the Bailiff,1954,33 puntos con 12 menciones
Only Angels Have Wings,1939,33 puntos con 11 menciones
Gertrud,1964,33 puntos con 10 menciones
The Long Gray Line,1955,33 puntos con 10 menciones
Spirited Away,2001,32 puntos con 10 menciones
The Quiet Man,1952,31 puntos con 12 menciones
Sans Soleil,1983,31 puntos con 11 menciones
Persona,1966,30 puntos con 11 menciones
The Green Ray,1986,29 puntos con 14 menciones
Heat,1995,29 puntos con 13 menciones
L'Atalante,1934,29 puntos con 9 menciones
An Affair to Remember,1957,27 puntos con 11 menciones
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,27 puntos con 11 menciones
My Darling Clementine,1946,27 puntos con 10 menciones
The Mother and the Whore,1973,27 puntos con 9 menciones
Inland Empire,2006,26 puntos con 8 menciones
Blow Out,1981,25 puntos con 12 menciones
Late Spring,1949,25 puntos con 11 menciones
The Man Who Shot Liberty Valance,1962,25 puntos con 10 menciones
In the Mood for Love,2000,25 puntos con 8 menciones
Contempt,1963,24 puntos con 12 menciones
A Man Escaped,1956,24 puntos con 9 menciones
Journey to Italy,1954,23 puntos con 10 menciones
Viridiana,1961,23 puntos con 10 menciones
City Lights,1931,23 puntos con 8 menciones
The Searchers,1956,23 puntos con 8 menciones
2001: A Space Odyssey,1968,22 puntos con 9 menciones
How Green Was My Valley,1941,22 puntos con 9 menciones
The Shop Around the Corner,1940,22 puntos con 8 menciones
Ugetsu,1953,21 puntos con 10 menciones
Rear Window,1954,21 puntos con 9 menciones
L'Eclisse,1962,21 puntos con 8 menciones
The Sound of the Shaking Earth,1990,21 puntos con 7 menciones
Two in the Shadow,1967,21 puntos con 7 menciones
New Rose Hotel,1998,20 puntos con 8 menciones
Hiroshima Mon Amour,1959,19 puntos con 8 menciones
Imitation of Life,1959,19 puntos con 7 menciones
An Autumn Afternoon,1962,19 puntos con 6 menciones
Good Morning,1959,19 puntos con 6 menciones
The River,1951,18 puntos con 9 menciones
Apocalypse Now,1979,18 puntos con 7 menciones
A Brighter Summer Day,1991,17 puntos con 9 menciones
Mirror,1975,17 puntos con 8 menciones
Last Year at Marienbad,1961,17 puntos con 7 menciones
Stagecoach,1939,17 puntos con 7 menciones
Touch of Evil,1958,17 puntos con 7 menciones
It's Such a Beautiful Day,2012,17 puntos con 6 menciones
Out 1,1971,17 puntos con 5 menciones
Starman,1984,17 puntos con 5 menciones
La Flor,2018,17 puntos con 4 menciones
Crash,1996,16 puntos con 8 menciones
"Sherlock, Jr.",1924,16 puntos con 8 menciones
Lost Highway,1997,16 puntos con 7 menciones
Love Streams,1984,16 puntos con 6 menciones
Man's Favorite Sport?,1964,16 puntos con 6 menciones
Speed Racer,2008,16 puntos con 5 menciones
The Spirit of the Beehive,1973,15 puntos con 8 menciones
Yi Yi,2000,15 puntos con 8 menciones
All That Heaven Allows,1955,15 puntos con 7 menciones
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,15 puntos con 7 menciones
North by Northwest,1959,15 puntos con 7 menciones
Pulse,2001,15 puntos con 7 menciones
Francisca,1981,15 puntos con 5 menciones
Water-Mirror of Granada,1955,15 puntos con 5 menciones
Vampyr,1932,15 puntos con 4 menciones
Stalker,1979,14 puntos con 8 menciones
Body Double,1984,14 puntos con 7 menciones
Eyes Wide Shut,1999,14 puntos con 7 menciones
Man with a Movie Camera,1929,14 puntos con 6 menciones
Miami Vice,2006,14 puntos con 5 menciones
The Godfather: Part II,1974,14 puntos con 5 menciones
Tabu,1931,13 puntos con 9 menciones
Doomed Love,1978,13 puntos con 7 menciones
Tea and Sympathy,1956,13 puntos con 7 menciones
Le Trou,1960,13 puntos con 6 menciones
Barry Lyndon,1975,13 puntos con 5 menciones
The Night of the Hunter,1955,13 puntos con 5 menciones
Meshes of the Afternoon,1943,12 puntos con 8 menciones
High and Low,1963,12 puntos con 6 menciones
Werckmeister Harmonies,2000,12 puntos con 6 menciones
By the Bluest of Seas,1935,12 puntos con 5 menciones
Chungking Express,1994,12 puntos con 5 menciones
Cries and Whispers,1972,12 puntos con 5 menciones
Floating Weeds,1959,12 puntos con 5 menciones
Late Autumn,1960,12 puntos con 5 menciones
Sunset Boulevard,1950,12 puntos con 5 menciones
The Rules of the Game,1939,12 puntos con 5 menciones
Brief Encounter,1945,12 puntos con 4 menciones
Histoire(s) du cinéma,1998,12 puntos con 4 menciones
Opening Night,1977,12 puntos con 4 menciones
Psycho,1960,12 puntos con 4 menciones
The Cabinet of Dr. Caligari,1920,12 puntos con 4 menciones
