,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Vertigo,1958,/film/vertigo/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,5
1,2,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,4
2,3,The Quiet Man,1952,/film/the-quiet-man/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,4
3,4,Ordet,1955,/film/ordet/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,4
4,5,Contempt,1963,/film/contempt/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
5,6,Persona,1966,/film/persona/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
6,7,Tokyo Story,1953,/film/tokyo-story/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
7,8,The Sacrifice,1986,/film/the-sacrifice/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
8,9,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,/film/as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,3
9,10,Journey to Italy,1954,/film/journey-to-italy/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
10,11,New Rose Hotel,1998,/film/new-rose-hotel/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
11,12,The Green Ray,1986,/film/the-green-ray/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
12,13,Johnny Guitar,1954,/film/johnny-guitar/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
13,14,The Godfather: Part II,1974,/film/the-godfather-part-ii/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
14,15,A Man Escaped,1956,/film/a-man-escaped/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
15,16,The Spirit of the Beehive,1973,/film/the-spirit-of-the-beehive/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,2
16,17,A Brighter Summer Day,1991,/film/a-brighter-summer-day/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
17,18,Last Year at Marienbad,1961,/film/last-year-at-marienbad/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
18,19,Ugetsu,1953,/film/ugetsu/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
19,20,Tabu,1931,/film/tabu-1931/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
20,21,2001: A Space Odyssey,1968,/film/2001-a-space-odyssey/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
21,22,The River,1951,/film/the-river/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
22,23,Sans Soleil,1983,/film/sans-soleil/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
23,24,Doomed Love,1978,/film/doomed-love/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
24,25,Only Angels Have Wings,1939,/film/only-angels-have-wings/,https://letterboxd.com/jjm_24/list/top-filmtuiter/detail,1
25,1,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,5
26,2,The Sound of the Shaking Earth,1990,/film/the-sound-of-the-shaking-earth/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,4
27,3,Gaucín,2020,/film/gaucin/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,4
28,4,Sunrise: A Song of Two Humans,1927,/film/sunrise-a-song-of-two-humans/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,4
29,5,Lost Highway,1997,/film/lost-highway/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
30,6,The Green Ray,1986,/film/the-green-ray/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
31,7,Water-Mirror of Granada,1955,/film/water-mirror-of-granada/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
32,8,Inland Empire,2006,/film/inland-empire/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
33,9,Céline and Julie Go Boating,1974,/film/celine-and-julie-go-boating/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,3
34,10,Vertigo,1958,/film/vertigo/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
35,11,The Searchers,1956,/film/the-searchers/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
36,12,Pulse,2001,/film/pulse-2001/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
37,13,The Doom Generation,1995,/film/the-doom-generation/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
38,14,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,/film/as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
39,15,Written on the Wind,1956,/film/written-on-the-wind/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
40,16,The Blackout,1997,/film/the-blackout/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,2
41,17,Trains Are for Dreaming,2009,/film/trains-are-for-dreaming/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
42,18,Floating Weeds,1959,/film/floating-weeds/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
43,19,In a Lonely Place,1950,/film/in-a-lonely-place/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
44,20,Hand Held Day,1975,/film/hand-held-day/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
45,21,Stalker,1979,/film/stalker/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
46,22,The Ground,2001,/film/the-ground/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
47,23,Our Lady of Paris,1982,/film/our-lady-of-paris/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
48,24,The Secret Garden,1988,/film/the-secret-garden-1988/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
49,25,Illuminated Texts,1982,/film/illuminated-texts/,https://letterboxd.com/IvanMiguez/list/top-filmtuiter/detail,1
50,1,The Brown Bunny,2003,/film/the-brown-bunny/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,5
51,2,Goodbye to Language,2014,/film/goodbye-to-language/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,4
52,3,Miami Vice,2006,/film/miami-vice/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,4
53,4,New Rose Hotel,1998,/film/new-rose-hotel/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,4
54,5,The Blackout,1997,/film/the-blackout/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,3
55,6,You Only Live Once,1937,/film/you-only-live-once/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,3
56,7,La Chinoise,1967,/film/la-chinoise/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,3
57,8,The General Line,1929,/film/the-general-line/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,3
58,9,The Birds,1963,/film/the-birds/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,3
59,10,A Tale of Winter,1992,/film/a-tale-of-winter/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
60,11,Journey to Italy,1954,/film/journey-to-italy/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
61,12,Contempt,1963,/film/contempt/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
62,13,Tabu,1931,/film/tabu-1931/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
63,14,Faces,1968,/film/faces-1968/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
64,15,Milestones,1975,/film/milestones/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
65,16,L'Eclisse,1962,/film/leclisse/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,2
66,17,The Aviator's Wife,1981,/film/the-aviators-wife/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
67,18,Johnny Guitar,1954,/film/johnny-guitar/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
68,19,Faust,1926,/film/faust-1926/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
69,20,The Green Ray,1986,/film/the-green-ray/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
70,21,Hiroshima Mon Amour,1959,/film/hiroshima-mon-amour/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
71,22,North by Northwest,1959,/film/north-by-northwest/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
72,23,Céline and Julie Go Boating,1974,/film/celine-and-julie-go-boating/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
73,24,Vertigo,1958,/film/vertigo/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
74,25,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/rafaqc97/list/top-filmtuiter/detail,1
75,1,Persona,1966,/film/persona/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,5
76,2,Stalker,1979,/film/stalker/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,4
77,3,L'Eclisse,1962,/film/leclisse/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,4
78,4,My Night at Maud's,1969,/film/my-night-at-mauds/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,4
79,5,The Man Who Shot Liberty Valance,1962,/film/the-man-who-shot-liberty-valance/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
80,6,Brief Encounter,1945,/film/brief-encounter/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
81,7,Tokyo Story,1953,/film/tokyo-story/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
82,8,Vertigo,1958,/film/vertigo/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
83,9,Design for Living,1933,/film/design-for-living/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,3
84,10,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
85,11,Scarlet Street,1945,/film/scarlet-street/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
86,12,My Darling Clementine,1946,/film/my-darling-clementine/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
87,13,Sansho the Bailiff,1954,/film/sansho-the-bailiff/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
88,14,Mulholland Drive,2001,/film/mulholland-drive/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
89,15,The Ghost and Mrs. Muir,1947,/film/the-ghost-and-mrs-muir/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
90,16,Ryan's Daughter,1970,/film/ryans-daughter/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,2
91,17,Last Year at Marienbad,1961,/film/last-year-at-marienbad/,https://letterboxd.com/bergmantonioni/list/top-filmtuiter/detail,1
