Title,Year,url_peli,Review
Vertigo,1958,/film/vertigo/,116
Mulholland Drive,2001,/film/mulholland-drive/,102
Ordet,1955,/film/ordet/,51
El sur,1983,/film/el-sur/,47
Johnny Guitar,1954,/film/johnny-guitar/,42
Sunrise: A Song of Two Humans,1927,/film/sunrise-a-song-of-two-humans/,40
The Passion of Joan of Arc,1928,/film/the-passion-of-joan-of-arc/,39
Tokyo Story,1953,/film/tokyo-story/,36
Pierrot le Fou,1965,/film/pierrot-le-fou/,36
Céline and Julie Go Boating,1974,/film/celine-and-julie-go-boating/,35
Rio Bravo,1959,/film/rio-bravo/,34
Sansho the Bailiff,1954,/film/sansho-the-bailiff/,33
Only Angels Have Wings,1939,/film/only-angels-have-wings/,33
Gertrud,1964,/film/gertrud/,33
The Long Gray Line,1955,/film/the-long-gray-line/,33
Spirited Away,2001,/film/spirited-away/,32
The Quiet Man,1952,/film/the-quiet-man/,31
Sans Soleil,1983,/film/sans-soleil/,31
Persona,1966,/film/persona/,30
The Green Ray,1986,/film/the-green-ray/,29
Heat,1995,/film/heat-1995/,29
L'Atalante,1934,/film/latalante/,29
An Affair to Remember,1957,/film/an-affair-to-remember/,27
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,/film/as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty/,27
My Darling Clementine,1946,/film/my-darling-clementine/,27
The Mother and the Whore,1973,/film/the-mother-and-the-whore/,27
Inland Empire,2006,/film/inland-empire/,26
Blow Out,1981,/film/blow-out/,25
Late Spring,1949,/film/late-spring/,25
The Man Who Shot Liberty Valance,1962,/film/the-man-who-shot-liberty-valance/,25
In the Mood for Love,2000,/film/in-the-mood-for-love/,25
Contempt,1963,/film/contempt/,24
A Man Escaped,1956,/film/a-man-escaped/,24
Journey to Italy,1954,/film/journey-to-italy/,23
Viridiana,1961,/film/viridiana/,23
City Lights,1931,/film/city-lights/,23
The Searchers,1956,/film/the-searchers/,23
2001: A Space Odyssey,1968,/film/2001-a-space-odyssey/,22
How Green Was My Valley,1941,/film/how-green-was-my-valley/,22
The Shop Around the Corner,1940,/film/the-shop-around-the-corner/,22
Ugetsu,1953,/film/ugetsu/,21
Rear Window,1954,/film/rear-window/,21
L'Eclisse,1962,/film/leclisse/,21
The Sound of the Shaking Earth,1990,/film/the-sound-of-the-shaking-earth/,21
Two in the Shadow,1967,/film/two-in-the-shadow-1967/,21
New Rose Hotel,1998,/film/new-rose-hotel/,20
Hiroshima Mon Amour,1959,/film/hiroshima-mon-amour/,19
Imitation of Life,1959,/film/imitation-of-life-1959/,19
An Autumn Afternoon,1962,/film/an-autumn-afternoon/,19
Good Morning,1959,/film/good-morning/,19
The River,1951,/film/the-river/,18
Apocalypse Now,1979,/film/apocalypse-now/,18
A Brighter Summer Day,1991,/film/a-brighter-summer-day/,17
Mirror,1975,/film/mirror/,17
Last Year at Marienbad,1961,/film/last-year-at-marienbad/,17
Stagecoach,1939,/film/stagecoach/,17
Touch of Evil,1958,/film/touch-of-evil/,17
It's Such a Beautiful Day,2012,/film/its-such-a-beautiful-day/,17
Out 1,1971,/film/out-1/,17
Starman,1984,/film/starman/,17
La Flor,2018,/film/la-flor/,17
Crash,1996,/film/crash/,16
"Sherlock, Jr.",1924,/film/sherlock-jr/,16
Lost Highway,1997,/film/lost-highway/,16
Love Streams,1984,/film/love-streams/,16
Man's Favorite Sport?,1964,/film/mans-favorite-sport/,16
Speed Racer,2008,/film/speed-racer/,16
The Spirit of the Beehive,1973,/film/the-spirit-of-the-beehive/,15
Yi Yi,2000,/film/yi-yi/,15
All That Heaven Allows,1955,/film/all-that-heaven-allows/,15
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/,15
North by Northwest,1959,/film/north-by-northwest/,15
Pulse,2001,/film/pulse-2001/,15
Francisca,1981,/film/francisca/,15
Water-Mirror of Granada,1955,/film/water-mirror-of-granada/,15
Vampyr,1932,/film/vampyr/,15
Stalker,1979,/film/stalker/,14
Body Double,1984,/film/body-double/,14
Eyes Wide Shut,1999,/film/eyes-wide-shut/,14
Man with a Movie Camera,1929,/film/man-with-a-movie-camera/,14
Miami Vice,2006,/film/miami-vice/,14
The Godfather: Part II,1974,/film/the-godfather-part-ii/,14
Tabu,1931,/film/tabu-1931/,13
Doomed Love,1978,/film/doomed-love/,13
Tea and Sympathy,1956,/film/tea-and-sympathy/,13
Le Trou,1960,/film/le-trou/,13
Barry Lyndon,1975,/film/barry-lyndon/,13
The Night of the Hunter,1955,/film/the-night-of-the-hunter/,13
Meshes of the Afternoon,1943,/film/meshes-of-the-afternoon/,12
High and Low,1963,/film/high-and-low/,12
Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,12
By the Bluest of Seas,1935,/film/by-the-bluest-of-seas/,12
Chungking Express,1994,/film/chungking-express/,12
Cries and Whispers,1972,/film/cries-and-whispers/,12
Floating Weeds,1959,/film/floating-weeds/,12
Late Autumn,1960,/film/late-autumn/,12
Sunset Boulevard,1950,/film/sunset-boulevard/,12
The Rules of the Game,1939,/film/the-rules-of-the-game/,12
Brief Encounter,1945,/film/brief-encounter/,12
Histoire(s) du cinéma,1998,/film/histoires-du-cinema/,12
Opening Night,1977,/film/opening-night/,12
Psycho,1960,/film/psycho/,12
The Cabinet of Dr. Caligari,1920,/film/the-cabinet-of-dr-caligari-1920/,12
Lucky Star,1929,/film/lucky-star-1929/,12
The Cranes Are Flying,1957,/film/the-cranes-are-flying/,12
The Blackout,1997,/film/the-blackout/,11
Back Street,1932,/film/back-street-1932/,11
Rapture,1979,/film/rapture-1979/,11
I Am Cuba,1964,/film/i-am-cuba/,11
Los Angeles Plays Itself,2003,/film/los-angeles-plays-itself/,11
Once Upon a Time in the West,1968,/film/once-upon-a-time-in-the-west/,11
Orpheus,1950,/film/orpheus/,11
Taipei Story,1985,/film/taipei-story/,11
Taxi Driver,1976,/film/taxi-driver/,11
The Apartment,1960,/film/the-apartment/,11
There's Always Tomorrow,1955,/film/theres-always-tomorrow/,11
Cemetery of Splendor,2015,/film/cemetery-of-splendor/,11
Signs,2002,/film/signs/,11
The Texas Chain Saw Massacre,1974,/film/the-texas-chain-saw-massacre/,11
Woman in the Dunes,1964,/film/woman-in-the-dunes/,11
From the Notebook of...,1971,/film/from-the-notebook-of/,11
History Is Made at Night,1937,/film/history-is-made-at-night/,11
Seven Samurai,1954,/film/seven-samurai/,11
PlayTime,1967,/film/playtime/,10
To Be or Not to Be,1942,/film/to-be-or-not-to-be/,10
Hovering Over the Water,1986,/film/hovering-over-the-water/,10
Carlito's Way,1993,/film/carlitos-way/,10
Enthusiasm,1930,/film/film:20053/,10
The Aviator's Wife,1981,/film/the-aviators-wife/,10
A Tale of Winter,1992,/film/a-tale-of-winter/,10
Pather Panchali,1955,/film/pather-panchali/,10
Sorcerer,1977,/film/sorcerer/,10
The Brown Bunny,2003,/film/the-brown-bunny/,10
The Crucified Lovers,1954,/film/the-crucified-lovers/,10
Wavelength,1967,/film/wavelength-1967/,10
Army of Shadows,1969,/film/army-of-shadows/,10
Broken Blossoms,1919,/film/broken-blossoms-1919/,10
Children of the Beehive,1948,/film/children-of-the-beehive/,10
Germany Year Zero,1948,/film/germany-year-zero/,10
Goodbye to Language,2014,/film/goodbye-to-language/,10
Night Function,1981,/film/night-function/,10
Our Music,2004,/film/notre-musique/,10
The Docks of New York,1928,/film/the-docks-of-new-york/,10
From the Clouds to the Resistance,1979,/film/from-the-clouds-to-the-resistance/,9
They Live by Night,1948,/film/they-live-by-night/,9
Tokyo Twilight,1957,/film/tokyo-twilight/,9
A Woman Under the Influence,1974,/film/a-woman-under-the-influence/,9
Andrei Rublev,1966,/film/andrei-rublev/,9
I Walked with a Zombie,1943,/film/i-walked-with-a-zombie/,9
La Belle Noiseuse,1991,/film/la-belle-noiseuse/,9
Millennium Mambo,2001,/film/millennium-mambo/,9
Porco Rosso,1992,/film/porco-rosso/,9
Two-Lane Blacktop,1971,/film/two-lane-blacktop/,9
A Moment of Innocence,1996,/film/a-moment-of-innocence/,9
Paranoid Park,2007,/film/paranoid-park/,9
The Ascent,1977,/film/the-ascent/,9
The Exterminating Angel,1962,/film/the-exterminating-angel/,9
The Incredible Shrinking Man,1957,/film/the-incredible-shrinking-man/,9
The Young Girls of Rochefort,1967,/film/the-young-girls-of-rochefort/,9
A Day in the Country,1946,/film/a-day-in-the-country/,9
Monsieur Verdoux,1947,/film/monsieur-verdoux/,9
Cure,1997,/film/cure/,8
Strange Days,1995,/film/strange-days/,8
Window Water Baby Moving,1959,/film/window-water-baby-moving/,8
Dersu Uzala,1975,/film/dersu-uzala/,8
Design for Living,1933,/film/design-for-living/,8
Heaven's Gate,1980,/film/heavens-gate/,8
L'Argent,1983,/film/largent-1983/,8
M,1931,/film/m/,8
Notorious,1946,/film/notorious/,8
Toute une nuit,1982,/film/toute-une-nuit/,8
Twin Peaks: Fire Walk with Me,1992,/film/twin-peaks-fire-walk-with-me/,8
Blue Velvet,1986,/film/blue-velvet/,8
Céline,1992,/film/film:96932/,8
French Cancan,1955,/film/french-cancan/,8
Golden Eighties,1986,/film/golden-eighties/,8
Hour of the Wolf,1968,/film/hour-of-the-wolf/,8
La Chinoise,1967,/film/la-chinoise/,8
La Région Centrale,1971,/film/la-region-centrale/,8
Ran,1985,/film/ran/,8
The Dead,1987,/film/the-dead/,8
The Last Days of Disco,1998,/film/the-last-days-of-disco/,8
The Sacrifice,1986,/film/the-sacrifice/,8
La Roue,1923,/film/la-roue/,8
Magic Mike XXL,2015,/film/magic-mike-xxl/,8
Mouchette,1967,/film/mouchette/,8
My Night at Maud's,1969,/film/my-night-at-mauds/,8
Salt of the Earth,1954,/film/salt-of-the-earth/,8
She Wore a Yellow Ribbon,1949,/film/she-wore-a-yellow-ribbon/,8
8½,1963,/film/8-half/,7
India Song,1975,/film/india-song/,7
News from Home,1976,/film/news-from-home/,7
Our Daily Bread,1934,/film/our-daily-bread-1934/,7
Rocco and His Brothers,1960,/film/rocco-and-his-brothers/,7
Yourself and Yours,2016,/film/yourself-and-yours/,7
All That Jazz,1979,/film/all-that-jazz/,7
Belladonna of Sadness,1973,/film/belladonna-of-sadness/,7
Bringing Up Baby,1938,/film/bringing-up-baby/,7
Flames,1978,/film/flames-1978/,7
La Jetée,1962,/film/la-jetee/,7
Magnolia,1999,/film/magnolia/,7
My Best Friend's Wedding,1997,/film/my-best-friends-wedding/,7
On the Occasion of Remembering the Turning Gate,2002,/film/on-the-occasion-of-remembering-the-turning-gate/,7
Once Upon a Time… in Hollywood,2019,/film/once-upon-a-time-in-hollywood/,7
Stella Dallas,1937,/film/stella-dallas/,7
The Childhood of Maxim Gorky,1938,/film/the-childhood-of-maxim-gorky/,7
The Crowd,1928,/film/the-crowd/,7
The Godfather,1972,/film/the-godfather/,7
The Last Laugh,1924,/film/the-last-laugh/,7
The Wind,1928,/film/the-wind/,7
Umberto D.,1952,/film/umberto-d/,7
À Nos Amours,1983,/film/a-nos-amours/,7
Alaya,1987,/film/alaya/,7
Alien,1979,/film/alien/,7
At Sea,2007,/film/at-sea/,7
Doctor Zhivago,1965,/film/doctor-zhivago/,7
Eyes Without a Face,1960,/film/eyes-without-a-face/,7
F for Fake,1973,/film/f-for-fake/,7
House,1977,/film/house/,7
It's a Wonderful Life,1946,/film/its-a-wonderful-life/,7
One Hundred Children Waiting for a Train,1988,/film/one-hundred-children-waiting-for-a-train/,7
Passacaglia y Fuga,1975,/film/passacaglia-y-fuga/,7
Some Came Running,1958,/film/some-came-running/,7
Strange Voyage,1964,/film/strange-voyage/,7
The Life and Death of Colonel Blimp,1943,/film/the-life-and-death-of-colonel-blimp/,7
The Matrix,1999,/film/the-matrix/,7
The Tree of Life,2011,/film/the-tree-of-life-2011/,7
Yearning,1964,/film/yearning/,6
Finis Terrae,1929,/film/finis-terrae/,6
Frenzy,1972,/film/frenzy/,6
