,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Tih Minh,1918,/film/tih-minh/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,5
1,2,Germinal,1913,/film/germinal-1913/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,4
2,3,Barrabas,1919,/film/barrabas/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,4
3,4,"The Vampires or, The Arch Criminals of Paris",1915,/film/the-vampires-or-the-arch-criminals-of-paris/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,4
4,5,The Country Doctor,1909,/film/the-country-doctor/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,3
5,6,Intolerance: Love's Struggle Throughout the Ages,1916,/film/intolerance-loves-struggle-throughout-the-ages/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,3
6,7,After Death,1915,/film/after-death/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,3
7,8,Fantômas,1913,/film/fantomas/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,3
8,9,The Half-Breed,1916,/film/the-half-breed/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,3
9,10,The Dying Swan,1917,/film/the-dying-swan/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
10,11,Judex,1916,/film/judex/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
11,12,Song of the Scarlet Flower,1919,/film/song-of-the-scarlet-flower/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
12,13,One A.M.,1916,/film/one-am/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
13,14,A Romance of Happy Valley,1919,/film/a-romance-of-happy-valley/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
14,15,The Outlaw and His Wife,1918,/film/the-outlaw-and-his-wife/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
15,16,A Dog's Life,1918,/film/a-dogs-life/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,2
16,17,The Child of Paris,1913,/film/the-child-of-paris/,https://letterboxd.com/Lobo_Lopez/list/tft1919/detail,1
