;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;The Birth of a Nation;The Vampires or, The Arch Criminals of Paris;Twilight of a Woman's Soul;A Man There Was;;Suspense.;The Cabbage-Patch Fairy;The Great Train Robbery;Dante's Inferno;A Trip to the Moon;Fantasmagorie;Workers Leaving the Lumière Factory;The Life and Passion of Jesus Christ;Fantasmagorie;Cabiria;The White Slave Trade;The Student of Prague;Shoulder Arms
1;Intolerance: Love's Struggle Throughout the Ages;Fantômas;After Death;Ingeborg Holm;;Where Are My Children?;Falling Leaves;The Squaw Man;Frankenstein;The Impossible Voyage;Gertie the Dinosaur;Roundhay Garden Scene;A Trip to the Moon;The Black Imp;Dante's Inferno;The Abyss;The Golem;National Red Cross Pageant
2;The Musketeers of Pig Alley;Judex;The Dying Swan;The Outlaw and His Wife;;Tarzan of the Apes;Algie, the Miner;Hell's Hinges;The Haunted Castle;Frankenstein;Sallie Gardner at a Gallop;The Sprinkler Sprinkled;The Great Train Robbery;Dream of a Rarebit Fiend;Satan's Rhapsody;Atlantis;I Don't Want to Be a Man;Till I Come Back to You
3;A Corner in Wheat;The Illustrious Madman;A Life for a Life;The Girl from the Marsh Croft;;Hypocrites;The Consequences of Feminism;His Only Son;The Execution of Mary, Queen of Scots;20,000 Leagues Under the Sea;Poor Pierrot;The Arrival of a Train at La Ciotat;Alice in Wonderland;The Witch;The Capture of Roma;The Mysterious X;The Boxing Kangaroo;Cheyenne's Pal
4;The Lonedale Operator;Le Noël du poilu;Children of the Age;Children of the Streets;;The Troubadour's Triumph;The Tango;The Good Bad Man;A Nightmare;The Conquest of the Pole;The Cameraman's Revenge;The Astronomer's Dream;The Man with the Rubber Head;The Electric Hotel;Love Everlasting;Vera;Where Is My Treasure?;A.W.O.L.
5;The Sealed Room;Fantômas contre Fantômas;For Happiness;The Gardener;;Idle Wives;The Malagueña and the Bullfighter;Algie, the Miner;The Golem;The '?' Motorist;At the Dentist;Traffic Crossing Leeds Bridge;The Big Swallow;The Diabolic Tenant;Assunta Spina;A Trip to Mars;The Merry Jail;The Battle of the Somme
6;The Lonely Villa;The Margrave's Daughter;The King of Paris;The Price of Betrayal;;Scandal;The Ocean Waif;The Battle at Elderbush Gulch;Bluebeard;A Trip to Mars;Little Nemo;The Vanishing Lady;The One-Man Band;The Dancing Pig;Dante's Inferno;The Ballet Dancer;Hilde Warren and Death;A Page of Glory
7;The Unchanging Sea;The Agony of Byzantium;Daydreams;Sons of Ingmar;;The People vs. John Doe;Frozen on Love's Trail;The Massacre;The Infernal Cauldron;A Trip to Mars;The House of Ghosts;The Four Troublesome Heads;Life of an American Fireman;The House of Ghosts;Juve contre Fantômas;Manden med Arret;Das Tagebuch des Apothekers Warren;The Little Tin Soldiers
8;Those Awful Hats;The Dwarf;Child of the Big City;Kiss of Death;;Fine Feathers;The Fur Hat;Out West;The Sealed Room;The Mechanical Butcher;Humorous Phases of Funny Faces;Annabelle Serpentine Dance;The Kingdom of the Fairies;Humorous Phases of Funny Faces;Cretinetti re dei ladri;The Disturbed Sentry;Mr. Wu;On the Jump
9;Death's Marathon;The Heart and the Money;Kumiry;The Sea Vultures;;Shoes;Surprise Attack on a House at Daybreak;Exit of Rip and the Dwarf;A Terrible Night;Dr. Jekyll and Mr. Hyde;The Enchanted Drawing;The Haunted Castle;Bluebeard;The Merry Frolics of Satan;La ballata della strega;The Virtuous One;Wintergartenprogramm;The German Retreat and the Battle of Arras
