Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
61;/film/intolerance-loves-struggle-throughout-the-ages/;3059;Intolerance: Love's Struggle Throughout the Ages;9.905;7.2029999999999985;1916-09-04;197;United States of America;en;8394751;4000000;['Drama', 'History'];['D.W. Griffith'];[2];"['Lillian Gish', 'Mae Marsh', 'Robert Harron', 'F.A. Turner', 'Sam De Grasse', 'Vera Lewis', 'Lillian Langdon', 'Olga Grey', 'Erich von Ritzau', 'Bessie Love', 'Margery Wilson', 'Eugene Pallette', 'Spottiswoode Aitken', 'Ruth Handforth', 'Elmer Clifton', 'Seena Owen', 'Carl Stockdale', 'Mary Alden', 'Pearl Elmore', 'Julia Mackley', 'Miriam Cooper', 'Walter Long', 'Tom Wilson', 'Ralph Lewis', 'Lloyd Ingraham', 'John P. McCarthy', 'Monte Blue', 'Marguerite Marsh', 'Edward Dillon', 'Billy Quirk', 'Howard Gaye', 'William H. Brown', 'George Walsh', 'W.S. Van Dyke', 'Allan Sears', 'Frank Bennett', 'Maxfield Stanley', 'Josephine Crowell', 'Constance  Talmadge', 'W.E. Lawrence', 'Joseph Henabery', 'Chandler House', 'Alfred Paget', 'Tully Marshall', 'Dore Davidson', 'Taylor N. Duncan', 'Owen Moore', 'Frank Borzage', 'Karl Brown', 'Frank Campeau', 'Constance Collier', 'Donald Crisp', 'Nigel De Brulier', 'Clarence Geldart', 'Dell Henderson', 'Russell Hicks', 'DeWolf Hopper Sr.', 'Wilfred Lucas', 'Francis McDonald', 'Vester Pegg', 'Herbert Sutch', 'Herbert Beerbohm Tree', 'King Vidor', 'Hal Wilson', 'Tammany Young', 'Sylvia Ashton', 'Jennie Lee', 'George Beranger', 'Kitty Bradbury', 'Tod Browning', 'Frank Brownlee', 'Kate Bruce', 'Edward Burns', 'Noble Johnson', 'George Fawcett', 'Jewel Carmen', 'Carol Dempster', 'Mildred Harris', 'Daisy Jefferson', 'Carmel Myers', 'Eve Southern', 'Pauline Starke', 'Natalie Talmadge', 'Ethel Grey Terry', 'Francis Carpenter', 'Virginia Lee Corbin', 'Peggy Cartwright', 'Gino Corrado', 'William Courtright', 'Erich von Stroheim', 'Max Davidson', 'Douglas Fairbanks', 'Julia Faye', 'Clyde E. Hopkins', 'Alberta Lee', 'Elmo Lincoln', ""Loyola O'Connor"", 'Wallace Reid', 'Alma Rubens', 'Madame Sul-Te-Wan', 'George Siegmann', 'Raymond Wells', 'Winifred Westover', 'David Butler']";['Tod Browning'];['James Smith', 'Rose Smith', 'D.W. Griffith'];['Billy Bitzer'];The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.
46;/film/the-vampires-or-the-arch-criminals-of-paris/;29082;The Vampires or, The Arch Criminals of Paris;6.704;6.767;1915-11-13;422;France;fr;0;0;['Drama', 'Thriller'];['Louis Feuillade'];[2];['Jean Aymé', 'Édouard Mathé', 'Marcel Lévesque', 'Théodore Thalès', 'Rita Herlor', 'Florense Simoni', 'Stacia Napierkowska', 'Louis Leubas', 'Musidora', 'Fernand Herrmann', 'Paula Maxa', 'Émile Keppens', 'Breon', 'Gaston Michel', 'René Poyen', 'Frédéric Moriss', 'Jeanne Marie-Laurent', 'Louise Lagrange', 'Suzanne Le Bret', 'Germaine Rouer', 'Faraboni', 'Georgette Faraboni'];['Louis Feuillade'];[];['Georges Guérin', 'Manichoux'];Paris is prey to an invisible terror against which the police can do nothing: a sinister organization that sows chaos and death. The intrepid journalist Philippe Guérande and his partner embark on a long crusade to put an end to the crimes of the Great Vampire and Irma Vep, his dangerous accomplice. (A ten episode movie serial.)
36;/film/a-man-there-was/;108017;A Man There Was;3.988;7.0;1917-01-29;56;Sweden;sv;0;0;['Drama'];['Victor Sjöström'];[2];['Victor Sjöström', 'Bergliot Husberg', 'August Falck', 'Edith Erastoff', 'Eric Abrahamsson', 'Hildur Carlberg', 'Gucken Cederborg', 'John Ekman', 'Nils Elffors', 'Emil Fjellström', 'Herman Lantz', 'Jenny Tschernichin-Larsson', 'Olof Ås', 'William Larsson', 'Julius Hälsig', 'Fritz Ström', 'Nanny Sjöblom', 'Hans Sjöblom', 'Gunnar Norberg'];['Victor Sjöström', 'Gustaf Molander'];[];['Julius Jaenzon'];Terje Vigen, a sailor, suffers the loss of his family through the inflexibility of another man. Years later, when his enemy's family finds itself dependent on his benevolence, Terje must decide whether to avenge himself.
33;/film/the-unchanging-sea/;189584;The Unchanging Sea;2.5810000000000004;6.308;1910-05-05;14;United States of America;en;0;0;['Drama'];['D.W. Griffith'];[2];['Arthur V. Johnson', 'Linda Arvidson', 'Mary Pickford', 'Gladys Egan', 'Charles West', 'Dell Henderson', 'Kate Bruce', 'Alfred Paget', 'Frank Opperman', 'Dorothy West'];[];[];['Billy Bitzer'];In this story set at a seaside fishing village and inspired by a Charles Kingsley poem, a young couple's happy life is turned about by an accident. The husband, although saved from drowning, loses his memory. A child is on the way, and soon a daughter is born to his wife. We watch the passage of time, as his daughter matures and his wife ages. The daughter becomes a lovely young woman, herself ready for marriage. One day on the beach, the familiarity of the sea and the surroundings triggers a return of her father's memory, and we are reminded that although people age and change, the sea and the ways of the fisherfolk remain eternal.
33;/film/film:85271/;105408;Suspense.;4.188;7.07;1913-07-06;11;United States of America;en;0;0;['Drama', 'Thriller'];['Phillips Smalley', 'Lois Weber'];[2, 1];['Lois Weber', 'Val Paul', 'Sam Kaufman', 'Douglas Gerrard', 'Lule Warrenton'];[];[];[];An isolated house is too remote for a lone servant, who leaves a note, quietly exits the back door, and puts the key under the mat. Left alone in the house is a mother and her infant. A tramp has watched the servant leave and begins to skulk. When the lady of the house sees him outside as he discovers the key, she's terrified and desperately phones her husband, who's at work in town. He jumps into a car that's idling in front of his office and races toward home, the car's owner, and police, in hot pursuit.
32;/film/the-president/;149983;The President;1.131;5.8;1919-02-01;71;Denmark;da;0;0;['Drama'];['Carl Theodor Dreyer'];[2];['Halvard Hoff', 'Elith Pio', 'Carl Walther Meyer', 'Jacoba Jessen', 'Hallander Helleman', 'Fanny Petersen', 'Olga Raphael-Linden', 'Betty Kirkeby', 'Axel Madsen', 'Richard Christensen', 'Peter Nielsen', 'Christian Engelstoft', 'Jon Iversen', 'Carl Lauritzen'];['Carl Theodor Dreyer'];[];['Hans Vaagø'];By his father’s deathbed, the young Karl Victor von Sendlingen swears that he will never make the same mistake his father made in his youth: to marry a girl beneath his own station in life – a promise that proves to have fatal consequences.
31;/film/the-outlaw-and-his-wife/;70800;The Outlaw and His Wife;4.162;7.2;1918-01-01;111;Sweden;sv;0;0;['Drama'];['Victor Sjöström'];[2];['Victor Sjöström', 'Edith Erastoff', 'John Ekman', 'Jenny Tschernichin-Larsson', 'Artur Rolén', 'Nils Aréhn', 'William Larsson', 'Sigurd Wallén', 'Emil Fjellström', 'Hildur Carlberg', 'Edith Wallén', 'Harald Wehlnor', 'Thure Holm', 'Gucken Cederborg', 'Nils Elffors', 'Olof Ås', 'Herman Lantz', 'Walerie Alexandrow-Höök'];[];[];['Julius Jaenzon'];A stranger comes to work at widow Halla's farm. Halla and the stranger fall in love, but when he is revealed as Eyvind, an escaped thief forced into crime by his family's starvation, they flee and become two of the many outlaws of Iceland's mountains.
31;/film/broken-blossoms-1919/;899;Broken Blossoms;9.342;6.9;1919-05-13;89;United States of America;en;0;2400000;['Drama', 'Romance'];['D.W. Griffith'];[2];['Lillian Gish', 'Richard Barthelmess', 'Donald Crisp', 'Arthur Howard', 'Edward Peil Sr.', 'George Beranger', 'Norman Selby'];[];['James Smith'];['Billy Bitzer'];The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.
29;/film/jaccuse-1919/;70804;J'accuse;2.83;7.545;1919-04-25;165;France;fr;0;0;['War', 'Drama', 'History', 'Romance'];['Abel Gance'];[2];['Romuald Joubé', 'Séverin-Mars', 'Maryse Dauvray', 'Maxime Desjardins', 'Angèle Guys'];['Abel Gance'];['Abel Gance', 'Andrée Danis'];['Léonce-Henri Burel', 'Maurice Forster', 'Marc Bujard'];The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.
26;/film/after-death/;132397;After Death;2.256;6.53;1915-12-29;46;Russia;ru;0;0;['Drama', 'Horror'];['Yevgeni Bauer'];[2];['Vitold Polonsky', 'Olga Rakhmanova', 'Georg Asagaroff', 'Vera Karalli', 'Marfa Kassatskaya', 'Mariya Khalatova', 'Tamara Gedevanova'];[];[];['Boris Zavelev'];Young scholar Andrei, fascinated by haunting actress Zoia Kadmina, is surprised when she sends him a note. The two have a brief scheduled meeting, then three months later Andrei is shocked to learn she has died. He becomes obsessed with her memory and decides he must find out all that he can about her.
