usuario_base;vecinos;similaridad
Lobo_Lopez;Batty;11.264658144580114
Lobo_Lopez;Alberto87FR;8.231693740858375
Lobo_Lopez;rafaqc97;4.175448875355896
Lobo_Lopez;Faure;11.163484466985182
Lobo_Lopez;francorizzo;4.160660020018057
Lobo_Lopez;bergmantonioni;5.135653068367929
Lobo_Lopez;pele_alvaro;4.1319626910910845
Lobo_Lopez;RafaNasal_leFou;3.126078870488669
Lobo_Lopez;ExplodingBoy;3.120757971370595
Lobo_Lopez;danielquinn;8.116046837488751
Lobo_Lopez;paloma55;8.109965629585437
Lobo_Lopez;mabusecaligari;7.109846047596253
Lobo_Lopez;Ivan_Suarez;10.105680803012309
Lobo_Lopez;alvmb;8.10559647787969
Lobo_Lopez;synthemesco;8.10350686433115
Lobo_Lopez;MarioIglesias;5.094907003994912
Lobo_Lopez;uwugorka;2.0906438264782095
Lobo_Lopez;Ninotchka;7.085450285168982
Lobo_Lopez;hobbitillo;4.079898343004918
Lobo_Lopez;jal90;2.077771113979996
Lobo_Lopez;Will_llermo;5.074922150569211
Lobo_Lopez;josetteandriot;2.0693082337646205
Lobo_Lopez;nichedeath;8.068768665040551
Lobo_Lopez;falgarin;2.0531212974112623
Lobo_Lopez;utges;11.043515593746283
Lobo_Lopez;bander7;4.024631098170079
Lobo_Lopez;jjm_24;10.024213884428022
Lobo_Lopez;aaleeeex;5.015793455899121
Lobo_Lopez;fraca1993;2.003018390305254
Lobo_Lopez;martasalvador;6.001908430860097
Lobo_Lopez;Paula_Arantzazu;1.0
Lobo_Lopez;Ruben0;0.0
Lobo_Lopez;marioquema;1.0
Lobo_Lopez;diegoceprez;1.0
Lobo_Lopez;mrtoldo;1.0
Lobo_Lopez;igortxu;7.994057992591627
Lobo_Lopez;Saba1e7e;2.988649984657504
Lobo_Lopez;DanielEscaners;2.9808884470215715
Lobo_Lopez;Padimo02;5.967330136839348
Lobo_Lopez;firejuice;5.956421240320859
Lobo_Lopez;JonSanSK8;6.948607298939587
Lobo_Lopez;malala;5.943718791910001
Lobo_Lopez;Colmener;5.940289983573251
Lobo_Lopez;FaildeGuionista;6.935124596258254
Lobo_Lopez;Didacus;7.92700607754026
Lobo_Lopez;Pauixitador;5.926218165089702
Lobo_Lopez;Carlos_;1.913617005006978
Lobo_Lopez;isaac98tm;1.9091568799603391
Lobo_Lopez;fshtravis;8.909123032938215
Lobo_Lopez;albertsyco_;7.901973645750832
Lobo_Lopez;Vareludo;5.896133710618937
Lobo_Lopez;mmgarnica;5.882393756642233
Lobo_Lopez;carloslara;4.875524097788615
Lobo_Lopez;uryenbg;3.8751857247453274
Lobo_Lopez;ezequiel2517;3.8618841895415748
Lobo_Lopez;SohoVictor;2.857141147972474
Lobo_Lopez;Angelopoulos;2.8345712657722557
Lobo_Lopez;cinesinfin;3.820907135850049
Lobo_Lopez;Bracero;5.819730036437526
Lobo_Lopez;XaviPT;6.812492786637982
Lobo_Lopez;Mann_Ohne_Namen;7.804870800250579
Lobo_Lopez;RachelMyGod;9.800521265444742
Lobo_Lopez;Klepshydra;8.797222763139992
Lobo_Lopez;austrohungaro;6.793283166578887
Lobo_Lopez;JepGambardella;8.68024532179284
Paula_Arantzazu;nichedeath;4.149739432153484
Paula_Arantzazu;synthemesco;5.142334068023681
Paula_Arantzazu;Faure;4.1313706724523795
Paula_Arantzazu;Didacus;3.1259899704893974
Paula_Arantzazu;Batty;3.1187620396253197
Paula_Arantzazu;bergmantonioni;3.110096726011321
Paula_Arantzazu;aaleeeex;3.1052496868685333
Paula_Arantzazu;rafaqc97;2.0907992614594018
Paula_Arantzazu;pele_alvaro;2.0903959783525488
Paula_Arantzazu;FaildeGuionista;3.0799006112588008
Paula_Arantzazu;Ninotchka;3.076896904427272
Paula_Arantzazu;Angelopoulos;3.0704955346798104
Paula_Arantzazu;fshtravis;2.070136904006297
Paula_Arantzazu;Mann_Ohne_Namen;3.0687159332415597
Paula_Arantzazu;DanielEscaners;3.0653052398659346
Paula_Arantzazu;falgarin;5.051623615747636
Paula_Arantzazu;jjm_24;2.0484788379337635
Paula_Arantzazu;Lobo_Lopez;1.0
Paula_Arantzazu;Ivan_Suarez;1.0
Paula_Arantzazu;josetteandriot;0.0
Paula_Arantzazu;fraca1993;1.0
Paula_Arantzazu;RafaNasal_leFou;1.0
Paula_Arantzazu;Bracero;1.0
Paula_Arantzazu;marioquema;1.0
Paula_Arantzazu;MarioIglesias;0.0
Paula_Arantzazu;Carlos_;1.0
Paula_Arantzazu;ezequiel2517;0.0
Paula_Arantzazu;Will_llermo;0.0
Paula_Arantzazu;uryenbg;1.0
Paula_Arantzazu;firejuice;0.0
Paula_Arantzazu;RachelMyGod;1.0
Paula_Arantzazu;igortxu;0.0
Paula_Arantzazu;JonSanSK8;1.0
Paula_Arantzazu;jal90;1.0
Paula_Arantzazu;diegoceprez;1.0
Paula_Arantzazu;Alberto87FR;1.0
Paula_Arantzazu;austrohungaro;1.0
Paula_Arantzazu;Pauixitador;1.0
Paula_Arantzazu;carloslara;1.0
Paula_Arantzazu;alvmb;2.987214837426187
Paula_Arantzazu;mmgarnica;1.9856171785920091
Paula_Arantzazu;Colmener;1.9778383375528656
Paula_Arantzazu;cinesinfin;2.949598215952796
Paula_Arantzazu;ExplodingBoy;1.948637185289925
Paula_Arantzazu;utges;2.9402797818311734
Paula_Arantzazu;isaac98tm;5.938722372916286
Paula_Arantzazu;paloma55;3.935915410893865
Paula_Arantzazu;Padimo02;2.9358169621784485
Paula_Arantzazu;albertsyco_;1.9301640613575402
Paula_Arantzazu;danielquinn;1.9289809910839883
Paula_Arantzazu;JepGambardella;1.9199461720596132
Paula_Arantzazu;mabusecaligari;1.915846842417039
Paula_Arantzazu;Klepshydra;1.9105341808567335
Paula_Arantzazu;Vareludo;1.9097767708470639
Paula_Arantzazu;hobbitillo;1.9093311339086398
Paula_Arantzazu;Saba1e7e;2.9039117053917938
Paula_Arantzazu;mrtoldo;5.896617147041364
Paula_Arantzazu;martasalvador;2.873290727166039
Paula_Arantzazu;Ruben0;6.872630901967613
Paula_Arantzazu;malala;3.847098420110277
Paula_Arantzazu;bander7;2.8405208028357913
Paula_Arantzazu;XaviPT;2.8365359786498505
Paula_Arantzazu;uwugorka;5.814413820733458
Paula_Arantzazu;francorizzo;4.767925757909873
Paula_Arantzazu;SohoVictor;6.752265393423617
Ruben0;paloma55;4.2031186770453175
Ruben0;Padimo02;4.197444768902252
Ruben0;Angelopoulos;3.1644352811622998
Ruben0;albertsyco_;3.137980385179415
Ruben0;Vareludo;5.133437415385356
Ruben0;Didacus;3.1276724397759246
Ruben0;Alberto87FR;4.127428270439099
Ruben0;austrohungaro;3.119160365039397
Ruben0;SohoVictor;6.114183392358994
Ruben0;FaildeGuionista;3.1068625056451395
