Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
Intolerance: Love's Struggle Throughout the Ages;The Vampires or, The Arch Criminals of Paris;Twilight of a Woman's Soul;A Man There Was;The Cure;Suspense.;The Cabbage-Patch Fairy;The Great Train Robbery;Dante's Inferno;A Trip to the Moon;Fantasmagorie;Roundhay Garden Scene;The Life and Passion of Jesus Christ;Fantasmagorie;Cabiria;The White Slave Trade;The Student of Prague;Shoulder Arms;The Life and Passion of Jesus Christ
Broken Blossoms;Fantômas;After Death;The Outlaw and His Wife;The Immigrant;Tarzan of the Apes;Falling Leaves;Exit of Rip and the Dwarf;Frankenstein;The Impossible Voyage;Gertie the Dinosaur;The Sprinkler Sprinkled;A Trip to the Moon;A Corner in Wheat;Dante's Inferno;Atlantis;The Oyster Princess;J'accuse;A Trip to the Moon
The Birth of a Nation;Judex;The Dying Swan;Ingeborg Holm;The Rink;Where Are My Children?;The Consequences of Feminism;The Squaw Man;The Execution of Mary, Queen of Scots;Frankenstein;Sallie Gardner at a Gallop;The Arrival of a Train at La Ciotat;The Impossible Voyage;The Diabolic Tenant;Satan's Rhapsody;The Mysterious X;The Doll;The Battle of the Somme;Intolerance: Love's Struggle Throughout the Ages
The Musketeers of Pig Alley;The Christian Martyrs;For Happiness;Sons of Ingmar;One A.M.;Hypocrites;The Burglars;Billy Blazes, Esq.;The Haunted Castle;20,000 Leagues Under the Sea;Poor Pierrot;Workers Leaving the Lumière Factory;The Great Train Robbery;The Merry Frolics of Satan;The Capture of Roma;The Abyss;The Golem;The Lost Battalion;Broken Blossoms
A Corner in Wheat;Bout-de-Zan's Money-Box;The Seducer;The Monastery of Sendomir;A Dog's Life;Fate;Faust and Mephistopheles;The Battle at Elderbush Gulch;A Nightmare;The Conquest of the Pole;At the Dentist;The Cabbage-Patch Fairy;Alice in Wonderland;The Black Imp;Maciste la terreur des bandits;Vera;Harakiri;National Red Cross Pageant;The Birth of a Nation
True Heart Susie;The Daily Bread;Child of the Big City;Kiss of Death;The Tramp;Idle Wives;At the Hypnotist's;The Massacre;The Merry Frolics of Satan;A Trip to Mars;Little Nemo;The Four Troublesome Heads;Life of an American Fireman;The Haunted Hotel;Stronger than Sherlock Holmes;The President;I Don't Want to Be a Man;A.W.O.L.;Cabiria
The Girl and Her Trust;La porteuse de pain;A Life for a Life;The Gardener;The Adventurer;The Rosary;On the Barricade;Hell's Hinges;A Terrible Night;The '?' Motorist;The Cameraman's Revenge;Sallie Gardner at a Gallop;The Man with the Rubber Head;Mr. Jones Has a Card Party;Come Cretinetti paga i debiti;A Trip to Mars;Different from the Others;The Girl Who Stayed at Home;The Cure
Mr. Jones Has a Card Party;Under the Yoke;The 1002nd Ruse;The Girl from the Marsh Croft;A Day's Pleasure;Captain Courtesy;The Race for the Sausage;Out West;The Infernal Cauldron;The Mechanical Butcher;The Haunted Hotel;Poor Pierrot;The Kingdom of the Fairies;The House of Ghosts;The Fear of Zeppelins;A Deal with the Devil;The Spiders - The Golden Sea;The Unbeliever;The Impossible Voyage
Hearts of the World;Bébé soigné son père;Silent Witnesses;Children of the Streets;The Vagabond;Borrowed Clothes;A Story Well Spun;Back to God's Country;The House of Ghosts;The Madness of Dr. Tube;The House of Ghosts;Passage of Venus;The One-Man Band;The Assassination of the Duke de Guise;Attila;Har De ikke set Cecilie?;The Eyes of the Mummy;In the Hands of the Enemy;The Immigrant
The Lonely Villa;The Obsession;Children of the Age;The Price of Betrayal;Kid Auto Races at Venice;The Dumb Girl of Portici;Midwife to the Upper Class;Madame Bo-Peep;The Merry Skeleton;Excursion to the Moon;Autour d’une cabine;Annabelle Serpentine Dance;The Big Swallow;The Lonely Villa;La nuova cameriera è troppo bella;Bech Olsens og Poul Pons' brydekamp;Madame DuBarry;Le passeur de l'Yser;The Rink
