Title,Year,url_peli,Review
The Passion of Joan of Arc,1928,/film/the-passion-of-joan-of-arc/,304
Sunrise: A Song of Two Humans,1927,/film/sunrise-a-song-of-two-humans/,271
Man with a Movie Camera,1929,/film/man-with-a-movie-camera/,239
"Sherlock, Jr.",1924,/film/sherlock-jr/,195
7th Heaven,1927,/film/7th-heaven/,176
Battleship Potemkin,1925,/film/battleship-potemkin/,173
Faust,1926,/film/faust-1926/,170
Nosferatu,1922,/film/nosferatu/,162
The Crowd,1928,/film/the-crowd/,160
The Last Laugh,1924,/film/the-last-laugh/,146
Napoleon,1927,/film/napoleon/,145
The Cabinet of Dr. Caligari,1920,/film/the-cabinet-of-dr-caligari-1920/,140
The Wind,1928,/film/the-wind/,136
The General,1926,/film/the-general/,134
Metropolis,1927,/film/metropolis/,134
The Gold Rush,1925,/film/the-gold-rush/,128
Greed,1924,/film/greed/,126
The Student Prince in Old Heidelberg,1927,/film/the-student-prince-in-old-heidelberg/,111
The Fall of the House of Usher,1928,/film/the-fall-of-the-house-of-usher/,100
The Phantom Carriage,1921,/film/the-phantom-carriage/,98
The Kid,1921,/film/the-kid/,93
Way Down East,1920,/film/way-down-east/,93
La Roue,1923,/film/la-roue/,92
Finis Terræ,1929,/film/finis-terr/,91
Street Angel,1928,/film/street-angel/,89
The Docks of New York,1928,/film/the-docks-of-new-york/,88
Cœur fidèle,1923,/film/cur-fidele/,86
Un Chien Andalou,1929,/film/un-chien-andalou/,81
Ménilmontant,1926,/film/menilmontant/,80
Lucky Star,1929,/film/lucky-star-1929/,76
The Cameraman,1928,/film/the-cameraman/,73
October (Ten Days that Shook the World),1927,/film/october-ten-days-that-shook-the-world/,73
Häxan,1922,/film/haxan/,72
"Dr. Mabuse, the Gambler",1922,/film/dr-mabuse-the-gambler/,68
The Big Parade,1925,/film/the-big-parade/,65
Pandora's Box,1929,/film/pandoras-box/,61
Lonesome,1928,/film/lonesome/,61
Strike,1925,/film/strike/,60
The Adventures of Prince Achmed,1926,/film/the-adventures-of-prince-achmed/,58
The Unknown,1927,/film/the-unknown/,56
3 Bad Men,1926,/film/3-bad-men/,53
Lady Windermere's Fan,1925,/film/lady-windermeres-fan/,53
Safety Last!,1923,/film/safety-last/,50
Nanook of the North,1922,/film/nanook-of-the-north/,49
Die Nibelungen: Siegfried,1924,/film/die-nibelungen-siegfried/,48
The Wedding March,1928,/film/the-wedding-march/,48
