,Pos,Titulo,Anio,url_peli,url,Puntos,usuario
0,1,Tabu: A Story of the South Seas,1931,/film/tabu-a-story-of-the-south-seas/,https://letterboxd.com/paloma55/list/tft1930s/detail,6,paloma55
1,2,Trouble in Paradise,1932,/film/trouble-in-paradise/,https://letterboxd.com/paloma55/list/tft1930s/detail,5,paloma55
2,3,The Story of the Last Chrysanthemum,1939,/film/the-story-of-the-last-chrysanthemum/,https://letterboxd.com/paloma55/list/tft1930s/detail,5,paloma55
3,4,You Can't Take It with You,1938,/film/you-cant-take-it-with-you/,https://letterboxd.com/paloma55/list/tft1930s/detail,5,paloma55
4,5,City Lights,1931,/film/city-lights/,https://letterboxd.com/paloma55/list/tft1930s/detail,5,paloma55
5,6,Pilgrimage,1933,/film/pilgrimage-1933/,https://letterboxd.com/paloma55/list/tft1930s/detail,4,paloma55
6,7,Three Comrades,1938,/film/three-comrades/,https://letterboxd.com/paloma55/list/tft1930s/detail,4,paloma55
7,8,Grand Illusion,1937,/film/grand-illusion/,https://letterboxd.com/paloma55/list/tft1930s/detail,4,paloma55
8,9,Midnight,1939,/film/midnight-1939/,https://letterboxd.com/paloma55/list/tft1930s/detail,4,paloma55
9,10,Mr. Thank You,1936,/film/mr-thank-you/,https://letterboxd.com/paloma55/list/tft1930s/detail,4,paloma55
10,11,By the Bluest of Seas,1936,/film/by-the-bluest-of-seas/,https://letterboxd.com/paloma55/list/tft1930s/detail,3,paloma55
11,12,The Childhood of Maxim Gorky,1938,/film/the-childhood-of-maxim-gorky/,https://letterboxd.com/paloma55/list/tft1930s/detail,3,paloma55
12,13,Vampyr,1932,/film/vampyr/,https://letterboxd.com/paloma55/list/tft1930s/detail,3,paloma55
13,14,"I Was Born, But...",1932,/film/i-was-born-but/,https://letterboxd.com/paloma55/list/tft1930s/detail,3,paloma55
14,15,You Only Live Once,1937,/film/you-only-live-once/,https://letterboxd.com/paloma55/list/tft1930s/detail,3,paloma55
15,16,The Big Trail,1930,/film/the-big-trail/,https://letterboxd.com/paloma55/list/tft1930s/detail,2,paloma55
16,17,The Scarlet Empress,1934,/film/the-scarlet-empress/,https://letterboxd.com/paloma55/list/tft1930s/detail,2,paloma55
17,18,The Story of a Cheat,1936,/film/the-story-of-a-cheat/,https://letterboxd.com/paloma55/list/tft1930s/detail,2,paloma55
18,19,The Edge of the World,1937,/film/the-edge-of-the-world/,https://letterboxd.com/paloma55/list/tft1930s/detail,2,paloma55
19,20,The Dawn Patrol,1930,/film/the-dawn-patrol-1930/,https://letterboxd.com/paloma55/list/tft1930s/detail,2,paloma55
20,21,Our Daily Bread,1934,/film/our-daily-bread-1934/,https://letterboxd.com/paloma55/list/tft1930s/detail,1,paloma55
21,22,Love Affair,1939,/film/love-affair-1939/,https://letterboxd.com/paloma55/list/tft1930s/detail,1,paloma55
22,23,Ray of Sunshine,1933,/film/ray-of-sunshine-1933/,https://letterboxd.com/paloma55/list/tft1930s/detail,1,paloma55
23,24,State Fair,1933,/film/state-fair/,https://letterboxd.com/paloma55/list/tft1930s/detail,1,paloma55
24,25,Wife! Be Like a Rose!,1935,/film/wife-be-like-a-rose/,https://letterboxd.com/paloma55/list/tft1930s/detail,1,paloma55
25,1,Love Affair,1939,/film/love-affair-1939/,https://letterboxd.com/lobo_lopez/list/tft1930s/detail,6,lobo_lopez
