,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,The Home and the World,1984,/film/the-home-and-the-world/,https://letterboxd.com/xator_nova/list/tft80s/detail,6
1,2,Love Streams,1984,/film/love-streams/,https://letterboxd.com/xator_nova/list/tft80s/detail,5
2,3,The Shadow Box,1980,/film/the-shadow-box/,https://letterboxd.com/xator_nova/list/tft80s/detail,5
3,4,Welcome in Vienna,1985,/film/welcome-in-vienna/,https://letterboxd.com/xator_nova/list/tft80s/detail,5
4,5,Heaven's Gate,1980,/film/heavens-gate/,https://letterboxd.com/xator_nova/list/tft80s/detail,5
5,6,Liberty at Night,1984,/film/liberty-at-night/,https://letterboxd.com/xator_nova/list/tft80s/detail,4
6,7,Honkytonk Man,1982,/film/honkytonk-man/,https://letterboxd.com/xator_nova/list/tft80s/detail,4
7,8,A Tale of the Wind,1988,/film/a-tale-of-the-wind/,https://letterboxd.com/xator_nova/list/tft80s/detail,4
8,9,Histoire(s) du cinéma,1989,/film/histoires-du-cinema-1989/,https://letterboxd.com/xator_nova/list/tft80s/detail,4
9,10,Why Is the Sky Blue?,1981,/film/why-is-the-sky-blue/,https://letterboxd.com/xator_nova/list/tft80s/detail,4
10,11,Spring in Autumn,1985,/film/spring-in-autumn/,https://letterboxd.com/xator_nova/list/tft80s/detail,3
11,12,A Room in Town,1982,/film/a-room-in-town-1982/,https://letterboxd.com/xator_nova/list/tft80s/detail,3
12,13,El Sur,1983,/film/el-sur/,https://letterboxd.com/xator_nova/list/tft80s/detail,3
13,14,Route One/USA,1989,/film/route-one-usa/,https://letterboxd.com/xator_nova/list/tft80s/detail,3
14,15,Yume-Chiyo,1985,/film/yume-chiyo/,https://letterboxd.com/xator_nova/list/tft80s/detail,3
15,16,Nausicaä of the Valley of the Wind,1984,/film/nausicaa-of-the-valley-of-the-wind/,https://letterboxd.com/xator_nova/list/tft80s/detail,2
16,17,Evening Rain,1980,/film/evening-rain/,https://letterboxd.com/xator_nova/list/tft80s/detail,2
17,18,The Dead,1987,/film/the-dead/,https://letterboxd.com/xator_nova/list/tft80s/detail,2
18,19,Rich and Famous,1981,/film/rich-and-famous/,https://letterboxd.com/xator_nova/list/tft80s/detail,2
