url_peli,Title,Year,tmdb_type,tmdb_id
/film/el-sur/,El Sur,1983,movie,48139.0
/film/blue-velvet/,Blue Velvet,1986,movie,793.0
/film/the-green-ray/,The Green Ray,1986,movie,54898.0
/film/where-is-the-friends-house/,Where Is the Friend's House?,1987,movie,49964.0
/film/paris-texas/,"Paris, Texas",1984,movie,655.0
/film/sans-soleil/,Sans Soleil,1983,movie,1563.0
/film/blade-runner/,Blade Runner,1982,movie,78.0
/film/blow-out/,Blow Out,1981,movie,11644.0
/film/the-thing/,The Thing,1982,movie,1091.0
/film/ran/,Ran,1985,movie,11645.0
/film/largent-1983/,L'Argent,1983,movie,42112.0
/film/hovering-over-the-water/,Hovering Over the Water,1986,movie,83229.0
/film/francisca/,Francisca,1981,movie,110789.0
/film/raging-bull/,Raging Bull,1980,movie,1578.0
/film/nostalgia-1983/,Nostalgia,1983,movie,1394.0
/film/heavens-gate/,Heaven's Gate,1980,movie,10935.0
/film/love-streams/,Love Streams,1984,movie,52109.0
/film/the-sacrifice/,The Sacrifice,1986,movie,24657.0
/film/the-shining/,The Shining,1980,movie,694.0
/film/fanny-and-alexander/,Fanny and Alexander,1982,movie,5961.0
/film/come-and-see/,Come and See,1985,movie,25237.0
/film/toute-une-nuit/,Toute une nuit,1982,movie,63215.0
/film/videodrome/,Videodrome,1983,movie,837.0
/film/a-nos-amours/,A Nos Amours,1983,movie,2282.0
/film/the-elephant-man/,The Elephant Man,1980,movie,1955.0
/film/body-double/,Body Double,1984,movie,11507.0
/film/terrorizers/,Terrorizers,1986,movie,78450.0
/film/hannah-and-her-sisters/,Hannah and Her Sisters,1986,movie,5143.0
/film/hours-for-jerome/,Hours for Jerome,1982,movie,151223.0
/film/nostos-the-return/,Nostos: The Return,1989,movie,237957.0
/film/histoires-du-cinema-1989/,Histoire(s) du cinéma,1989,tv,206647.0
/film/possession/,Possession,1981,movie,21484.0
/film/evening-performance/,Evening Performance,1981,movie,320037.0
/film/that-day-on-the-beach/,"That Day, on the Beach",1983,movie,106373.0
/film/once-upon-a-time-in-america/,Once Upon a Time in America,1984,movie,311.0
/film/pauline-at-the-beach/,Pauline at the Beach,1983,movie,10293.0
/film/shoah/,Shoah,1985,movie,42044.0
/film/landscape-in-the-mist/,Landscape in the Mist,1988,movie,47795.0
/film/wings-of-desire/,Wings of Desire,1987,movie,144.0
/film/shadows-in-paradise/,Shadows in Paradise,1986,movie,3.0
/film/my-neighbor-totoro/,My Neighbor Totoro,1988,movie,8392.0
/film/ana-1982/,Ana,1982,movie,260922.0
/film/his-motorbike-her-island/,"His Motorbike, Her Island",1986,movie,298973.0
/film/the-dead/,The Dead,1987,movie,39507.0
/film/kikis-delivery-service/,Kiki's Delivery Service,1989,movie,16859.0
/film/le-pont-du-nord/,Le Pont du Nord,1981,movie,59484.0
/film/the-time-to-live-and-the-time-to-die/,The Time to Live and the Time to Die,1985,movie,45999.0
/film/women-on-the-verge-of-a-nervous-breakdown/,Women on the Verge of a Nervous Breakdown,1988,movie,4203.0
/film/lacrima-christi/,Lacrima Christi,1980,movie,437552.0
/film/opera/,Opera,1987,movie,20115.0
/film/taipei-story/,Taipei Story,1985,movie,106380.0
/film/so-is-this/,So Is This,1982,movie,136762.0
/film/et-the-extra-terrestrial/,E.T. the Extra-Terrestrial,1982,movie,601.0
/film/do-the-right-thing/,Do the Right Thing,1989,movie,925.0
/film/thief/,Thief,1981,movie,11524.0
/film/running-on-empty-1988/,Running on Empty,1988,movie,18197.0
/film/a-city-of-sadness/,A City of Sadness,1989,movie,49982.0
/film/dekalog/,Dekalog,1989,tv,42699.0
/film/honkytonk-man/,Honkytonk Man,1982,movie,37917.0
/film/the-aviators-wife/,The Aviator's Wife,1981,movie,27145.0
/film/the-death-of-empedocles/,The Death of Empedocles,1987,movie,255769.0
/film/crimes-and-misdemeanors/,Crimes and Misdemeanors,1989,movie,11562.0
/film/cinema-paradiso/,Cinema Paradiso,1988,movie,11216.0
/film/manhunter/,Manhunter,1986,movie,11454.0
/film/akira/,Akira,1988,movie,149.0
/film/gang-of-four/,Gang of Four,1989,movie,55853.0
/film/nomad/,Nomad,1982,movie,157229.0
/film/route-one-usa/,Route One/USA,1989,movie,110751.0
/film/back-to-the-future/,Back to the Future,1985,movie,105.0
/film/nausicaa-of-the-valley-of-the-wind/,Nausicaä of the Valley of the Wind,1984,movie,81.0
/film/damnation/,Damnation,1988,movie,20122.0
/film/one-hundred-children-waiting-for-a-train/,One Hundred Children Waiting for a Train,1988,movie,130269.0
/film/sound-and-fury-1988/,Sound and Fury,1988,movie,51228.0
/film/after-hours/,After Hours,1985,movie,10843.0
/film/ariel/,Ariel,1988,movie,2.0
/film/dead-ringers/,Dead Ringers,1988,movie,9540.0
/film/boyfriends-and-girlfriends/,Boyfriends and Girlfriends,1987,movie,64544.0
/film/phenomena/,Phenomena,1985,movie,29161.0
/film/working-girls-1986/,Working Girls,1986,movie,96349.0
/film/before-my-eyes/,Before My Eyes,1989,movie,363506.0
/film/inferno-1980/,Inferno,1980,movie,16395.0
/film/stop-making-sense/,Stop Making Sense,1984,movie,24128.0
/film/berlin-alexanderplatz/,Berlin Alexanderplatz,1980,tv,43189.0
/film/vagabond/,Vagabond,1985,movie,44018.0
/film/the-killer/,The Killer,1989,movie,10835.0
/film/simone-barbes-or-virtue/,Simone Barbès or Virtue,1980,movie,246649.0
/film/prince-of-the-city/,Prince of the City,1981,movie,32047.0
/film/what-have-i-done-to-deserve-this/,What Have I Done to Deserve This?,1984,movie,8221.0
/film/amadeus/,Amadeus,1984,movie,279.0
/film/too-early-too-late/,Too Early / Too Late,1981,movie,97032.0
/film/godards-passion/,Godard's Passion,1982,movie,32692.0
/film/mauvais-sang/,Mauvais Sang,1986,movie,64131.0
/film/the-empire-strikes-back/,The Empire Strikes Back,1980,movie,1891.0
/film/blood-1989/,Blood,1989,movie,46821.0
/film/fitzcarraldo/,Fitzcarraldo,1982,movie,9343.0
/film/smorgasbord/,Smorgasbord,1983,movie,36818.0
/film/rich-and-famous/,Rich and Famous,1981,movie,109962.0
/film/a-short-film-about-love/,A Short Film About Love,1988,movie,31056.0
/film/four-adventures-of-reinette-and-mirabelle/,Four Adventures of Reinette and Mirabelle,1987,movie,37189.0
/film/she-spent-so-many-hours-under-the-sun-lamps/,She Spent So Many Hours Under the Sun Lamps,1985,movie,162329.0
/film/the-blue-planet-1982/,The Blue Planet,1982,movie,96300.0
/film/full-moon-in-paris/,Full Moon in Paris,1984,movie,27102.0
/film/angels-egg/,Angel's Egg,1985,movie,15916.0
/film/to-live-and-die-in-la/,To Live and Die in L.A.,1985,movie,9846.0
/film/a-brutal-game/,A Brutal Game,1983,movie,80307.0
/film/die-hard/,Die Hard,1988,movie,562.0
/film/hail-mary/,Hail Mary,1985,movie,32720.0
/film/city-of-pirates/,City of Pirates,1983,movie,68757.0
/film/distant-voices-still-lives/,"Distant Voices, Still Lives",1988,movie,41799.0
/film/lenfant-secret/,L'Enfant Secret,1982,movie,123817.0
/film/our-lady-of-paris/,Our Lady of Paris,1982,movie,324662.0
/film/white-dog/,White Dog,1982,movie,47955.0
/film/scarface-1983/,Scarface,1983,movie,111.0
/film/grave-of-the-fireflies/,Grave of the Fireflies,1988,movie,12477.0
/film/law-of-desire/,Law of Desire,1987,movie,4043.0
/film/sex-lies-and-videotape/,"sex, lies, and videotape",1989,movie,1412.0
