Title,Year,Review
El Sur,1983,373 puntos con 88 menciones
Blue Velvet,1986,195 puntos con 58 menciones
The Green Ray,1986,171 puntos con 48 menciones
Where Is the Friend's House?,1987,169 puntos con 50 menciones
"Paris, Texas",1984,167 puntos con 46 menciones
Sans Soleil,1983,163 puntos con 44 menciones
Blade Runner,1982,156 puntos con 45 menciones
Blow Out,1981,139 puntos con 42 menciones
The Thing,1982,135 puntos con 36 menciones
Ran,1985,133 puntos con 39 menciones
L'Argent,1983,124 puntos con 34 menciones
Hovering Over the Water,1986,113 puntos con 32 menciones
Francisca,1981,108 puntos con 30 menciones
Raging Bull,1980,105 puntos con 26 menciones
Nostalgia,1983,101 puntos con 28 menciones
Heaven's Gate,1980,100 puntos con 26 menciones
Love Streams,1984,99 puntos con 32 menciones
The Sacrifice,1986,97 puntos con 27 menciones
The Shining,1980,94 puntos con 26 menciones
Fanny and Alexander,1982,91 puntos con 27 menciones
Come and See,1985,91 puntos con 23 menciones
Toute une nuit,1982,90 puntos con 28 menciones
Videodrome,1983,87 puntos con 32 menciones
A Nos Amours,1983,80 puntos con 29 menciones
The Elephant Man,1980,75 puntos con 22 menciones
Body Double,1984,73 puntos con 20 menciones
Terrorizers,1986,67 puntos con 23 menciones
Hannah and Her Sisters,1986,65 puntos con 21 menciones
Hours for Jerome,1982,64 puntos con 22 menciones
Nostos: The Return,1989,62 puntos con 19 menciones
Histoire(s) du cinéma,1989,62 puntos con 17 menciones
Possession,1981,61 puntos con 25 menciones
Evening Performance,1981,61 puntos con 18 menciones
"That Day, on the Beach",1983,61 puntos con 18 menciones
Once Upon a Time in America,1984,60 puntos con 19 menciones
Pauline at the Beach,1983,60 puntos con 17 menciones
Shoah,1985,59 puntos con 15 menciones
Landscape in the Mist,1988,57 puntos con 18 menciones
Wings of Desire,1987,57 puntos con 14 menciones
Shadows in Paradise,1986,55 puntos con 23 menciones
My Neighbor Totoro,1988,52 puntos con 18 menciones
Ana,1982,52 puntos con 17 menciones
"His Motorbike, Her Island",1986,52 puntos con 17 menciones
The Dead,1987,52 puntos con 17 menciones
Kiki's Delivery Service,1989,52 puntos con 15 menciones
Le Pont du Nord,1981,50 puntos con 15 menciones
The Time to Live and the Time to Die,1985,47 puntos con 14 menciones
Women on the Verge of a Nervous Breakdown,1988,45 puntos con 16 menciones
Lacrima Christi,1980,44 puntos con 11 menciones
Opera,1987,43 puntos con 14 menciones
Taipei Story,1985,42 puntos con 16 menciones
So Is This,1982,41 puntos con 11 menciones
E.T. the Extra-Terrestrial,1982,40 puntos con 10 menciones
Do the Right Thing,1989,39 puntos con 16 menciones
Thief,1981,39 puntos con 13 menciones
Running on Empty,1988,38 puntos con 14 menciones
A City of Sadness,1989,38 puntos con 13 menciones
Dekalog,1989,38 puntos con 10 menciones
Honkytonk Man,1982,37 puntos con 13 menciones
The Aviator's Wife,1981,37 puntos con 12 menciones
The Death of Empedocles,1987,37 puntos con 9 menciones
Crimes and Misdemeanors,1989,36 puntos con 13 menciones
Cinema Paradiso,1988,36 puntos con 11 menciones
Manhunter,1986,35 puntos con 14 menciones
Akira,1988,35 puntos con 13 menciones
Gang of Four,1989,35 puntos con 12 menciones
Nomad,1982,35 puntos con 11 menciones
Route One/USA,1989,35 puntos con 10 menciones
Back to the Future,1985,35 puntos con 9 menciones
Nausicaä of the Valley of the Wind,1984,34 puntos con 14 menciones
Damnation,1988,34 puntos con 11 menciones
One Hundred Children Waiting for a Train,1988,34 puntos con 10 menciones
Sound and Fury,1988,34 puntos con 10 menciones
After Hours,1985,33 puntos con 13 menciones
Ariel,1988,33 puntos con 10 menciones
Dead Ringers,1988,32 puntos con 13 menciones
Boyfriends and Girlfriends,1987,32 puntos con 10 menciones
Phenomena,1985,32 puntos con 10 menciones
Working Girls,1986,32 puntos con 10 menciones
Before My Eyes,1989,31 puntos con 11 menciones
Inferno,1980,31 puntos con 9 menciones
Stop Making Sense,1984,31 puntos con 9 menciones
Berlin Alexanderplatz,1980,31 puntos con 8 menciones
Vagabond,1985,29 puntos con 13 menciones
The Killer,1989,29 puntos con 10 menciones
Simone Barbès or Virtue,1980,29 puntos con 9 menciones
Prince of the City,1981,28 puntos con 9 menciones
What Have I Done to Deserve This?,1984,28 puntos con 8 menciones
Amadeus,1984,27 puntos con 8 menciones
Too Early / Too Late,1981,27 puntos con 8 menciones
Godard's Passion,1982,26 puntos con 10 menciones
Mauvais Sang,1986,26 puntos con 8 menciones
The Empire Strikes Back,1980,25 puntos con 9 menciones
Blood,1989,25 puntos con 8 menciones
Fitzcarraldo,1982,25 puntos con 8 menciones
Smorgasbord,1983,25 puntos con 8 menciones
Rich and Famous,1981,24 puntos con 10 menciones
A Short Film About Love,1988,24 puntos con 9 menciones
Four Adventures of Reinette and Mirabelle,1987,24 puntos con 7 menciones
She Spent So Many Hours Under the Sun Lamps,1985,24 puntos con 7 menciones
The Blue Planet,1982,24 puntos con 7 menciones
Full Moon in Paris,1984,24 puntos con 6 menciones
Angel's Egg,1985,23 puntos con 9 menciones
To Live and Die in L.A.,1985,23 puntos con 8 menciones
A Brutal Game,1983,23 puntos con 7 menciones
Die Hard,1988,23 puntos con 7 menciones
Hail Mary,1985,23 puntos con 7 menciones
City of Pirates,1983,23 puntos con 6 menciones
"Distant Voices, Still Lives",1988,22 puntos con 11 menciones
L'Enfant Secret,1982,22 puntos con 8 menciones
Our Lady of Paris,1982,21 puntos con 9 menciones
White Dog,1982,21 puntos con 9 menciones
Scarface,1983,21 puntos con 8 menciones
Grave of the Fireflies,1988,21 puntos con 7 menciones
Law of Desire,1987,21 puntos con 7 menciones
"sex, lies, and videotape",1989,21 puntos con 7 menciones
The Holy Innocents,1984,20 puntos con 8 menciones
When Harry Met Sally...,1989,20 puntos con 6 menciones
First Name: Carmen,1983,20 puntos con 5 menciones
El crack,1981,19 puntos con 11 menciones
They Live,1988,19 puntos con 8 menciones
Ms .45,1981,19 puntos con 7 menciones
Buddies,1985,19 puntos con 6 menciones
"Dawn Breaks, Which Is No Small Thing",1989,19 puntos con 6 menciones
Raiders of the Lost Ark,1981,19 puntos con 6 menciones
Rumble Fish,1983,19 puntos con 6 menciones
Island of Loves,1982,19 puntos con 5 menciones
The Glass Menagerie,1987,19 puntos con 5 menciones
A Better Tomorrow,1986,18 puntos con 7 menciones
Class Relations,1984,18 puntos con 7 menciones
Full Metal Jacket,1987,18 puntos con 7 menciones
Year of the Dragon,1985,18 puntos con 6 menciones
Cruising,1980,18 puntos con 5 menciones
Broadcast News,1987,17 puntos con 6 menciones
One from the Heart,1982,17 puntos con 6 menciones
Prince of Darkness,1987,17 puntos con 6 menciones
Stand by Me,1986,17 puntos con 6 menciones
Every Man for Himself,1980,17 puntos con 5 menciones
Images of the World and the Inscription of War,1988,17 puntos con 5 menciones
"The Cook, the Thief, His Wife & Her Lover",1989,17 puntos con 5 menciones
Twenty Years Later,1984,17 puntos con 5 menciones
Airplane!,1980,16 puntos con 6 menciones
Starman,1984,16 puntos con 6 menciones
The Antiquities of Rome,1989,16 puntos con 6 menciones
Fanny and Alexander,1984,16 puntos con 5 menciones
Indiana Jones and the Last Crusade,1989,16 puntos con 5 menciones
Querelle,1982,16 puntos con 5 menciones
Elephant,1989,16 puntos con 4 menciones
The Asthenic Syndrome,1989,16 puntos con 4 menciones
"Faster, Faster",1981,15 puntos con 7 menciones
L’homme atlantique,1981,15 puntos con 7 menciones
Spring in Autumn,1985,15 puntos con 7 menciones
Aliens,1986,15 puntos con 6 menciones
Au Revoir les Enfants,1987,15 puntos con 5 menciones
Maine-Ocean Express,1986,15 puntos con 5 menciones
Missing,1982,15 puntos con 5 menciones
From the Life of the Marionettes,1980,15 puntos con 4 menciones
On the Silver Globe,1988,15 puntos con 4 menciones
Ordinary People,1980,15 puntos con 4 menciones
White Wedding,1989,15 puntos con 4 menciones
My Dear Subject,1988,15 puntos con 3 menciones
Stranger Than Paradise,1984,14 puntos con 9 menciones
In the White City,1983,14 puntos con 6 menciones
The 4th Man,1983,14 puntos con 6 menciones
The Beyond,1981,14 puntos con 6 menciones
And the Ship Sails On,1983,14 puntos con 5 menciones
Identification of a Woman,1982,14 puntos con 5 menciones
RoboCop,1987,14 puntos con 5 menciones
Tongues Untied,1989,14 puntos con 5 menciones
Windschaduw,1986,14 puntos con 5 menciones
Koyaanisqatsi,1982,14 puntos con 4 menciones
Out of the Blue,1980,14 puntos con 4 menciones
Veronika Voss,1982,14 puntos con 4 menciones
Down by Law,1986,13 puntos con 7 menciones
Tetsuo: The Iron Man,1989,13 puntos con 7 menciones
Evening Rain,1980,13 puntos con 6 menciones
The Fly,1986,13 puntos con 5 menciones
The Verdict,1982,13 puntos con 5 menciones
Zelig,1983,13 puntos con 5 menciones
Born in Flames,1983,13 puntos con 4 menciones
Christiane F.,1981,13 puntos con 4 menciones
The Breakfast Club,1985,13 puntos con 4 menciones
The Fog,1980,13 puntos con 4 menciones
The Purple Rose of Cairo,1985,13 puntos con 4 menciones
Deed Undone,1989,13 puntos con 3 menciones
Golden Eighties,1986,13 puntos con 3 menciones
Dressed to Kill,1980,12 puntos con 6 menciones
The Seventh Continent,1989,12 puntos con 6 menciones
Tampopo,1985,12 puntos con 5 menciones
City of the Living Dead,1980,12 puntos con 4 menciones
Juan: As If Nothing Ever Happened,1987,12 puntos con 4 menciones
Kagemusha,1980,12 puntos con 4 menciones
The Second Journey (To Uluru),1981,12 puntos con 4 menciones
Tree of Knowledge,1981,12 puntos con 4 menciones
Variety,1983,12 puntos con 4 menciones
Brazil,1985,12 puntos con 3 menciones
Henry: Portrait of a Serial Killer,1986,11 puntos con 6 menciones
Alice,1988,11 puntos con 5 menciones
Overdose,1983,11 puntos con 5 menciones
American Gigolo,1980,11 puntos con 4 menciones
Boy Meets Girl,1984,11 puntos con 4 menciones
Chidambaram,1985,11 puntos con 4 menciones
Landscape Suicide,1986,11 puntos con 4 menciones
Tenebre,1982,11 puntos con 4 menciones
Bird,1988,11 puntos con 3 menciones
Drugstore Cowboy,1989,11 puntos con 3 menciones
Santa Sangre,1989,11 puntos con 3 menciones
Shanghai Blues,1984,11 puntos con 3 menciones
The Woman Next Door,1981,11 puntos con 3 menciones
Berlin Chamissoplatz,1980,11 puntos con 2 menciones
The Shadow Box,1980,11 puntos con 2 menciones
Desert Rose,1989,10 puntos con 5 menciones
Silvestre,1981,10 puntos con 5 menciones
Voyage to Nowhere,1986,10 puntos con 5 menciones
Black Rain,1989,10 puntos con 4 menciones
Kung-Fu Master!,1988,10 puntos con 4 menciones
Pierre and Djemila,1987,10 puntos con 4 menciones
The Age of the Earth,1980,10 puntos con 4 menciones
Tie Me Up! Tie Me Down!,1989,10 puntos con 4 menciones
Time of the Gypsies,1988,10 puntos con 4 menciones
Who Framed Roger Rabbit,1988,10 puntos con 4 menciones
Das Boot,1981,10 puntos con 3 menciones
House of Games,1987,10 puntos con 3 menciones
Let's Get Lost,1988,10 puntos con 3 menciones
Tasio,1984,10 puntos con 3 menciones
The Draughtsman's Contract,1982,10 puntos con 3 menciones
The Vanishing,1988,10 puntos con 3 menciones
Drowning by Numbers,1988,10 puntos con 2 menciones
From the Pole to the Equator,1987,10 puntos con 2 menciones
Pas de ciel,1987,10 puntos con 2 menciones
The Belly of an Architect,1987,10 puntos con 2 menciones
China Girl,1987,9 puntos con 6 menciones
Agatha and the Limitless Readings,1981,9 puntos con 5 menciones
Evil Dead II,1987,9 puntos con 5 menciones
Moonstruck,1987,9 puntos con 4 menciones
"Rosa la rose, fille publique",1986,9 puntos con 4 menciones
Twin Peaks,1989,9 puntos con 4 menciones
A Zed & Two Noughts,1985,9 puntos con 3 menciones
Blood Simple,1984,9 puntos con 3 menciones
Broadway Danny Rose,1984,9 puntos con 3 menciones
Hairspray,1988,9 puntos con 3 menciones
"Merry Christmas, Mr. Lawrence",1983,9 puntos con 3 menciones
My Heart Is That Eternal Rose,1989,9 puntos con 3 menciones
Palombella rossa,1989,9 puntos con 3 menciones
Spacy,1981,9 puntos con 3 menciones
The Evil Dead,1981,9 puntos con 3 menciones
The Legend of Suram Fortress,1985,9 puntos con 3 menciones
The Movement of Things,1985,9 puntos con 3 menciones
The Poem of Hayachine Valley,1982,9 puntos con 3 menciones
The Terminator,1984,9 puntos con 3 menciones
Typhoon Club,1985,9 puntos con 3 menciones
Crystal,1988,9 puntos con 2 menciones
