Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
Mulholland Drive,2001,/film/mulholland-drive/,434,movie,1018,966796
In the Mood for Love,2000,/film/in-the-mood-for-love/,322,movie,843,767050
Yi Yi,2000,/film/yi-yi/,316,movie,25538,133882
Spirited Away,2001,/film/spirited-away/,242,movie,129,3277195
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,/film/as-i-was-moving-ahead-occasionally-i-saw/,190,movie,130824,18533
Pulse,2001,/film/pulse-2001/,168,movie,27324,144452
"Goodbye, Dragon Inn",2003,/film/goodbye-dragon-inn/,151,movie,56616,48647
Inland Empire,2006,/film/inland-empire/,146,movie,1730,154732
Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,143,movie,23160,45057
Miami Vice,2006,/film/miami-vice/,143,movie,82,144154
Millennium Mambo,2001,/film/millennium-mambo/,142,movie,11553,64859
The Story of Marie and Julien,2003,/film/the-story-of-marie-and-julien/,131,movie,79043,2533
The Village,2004,/film/the-village/,119,movie,6947,378447
Memories of Murder,2003,/film/memories-of-murder/,114,movie,11423,651893
Lost in Translation,2003,/film/lost-in-translation/,103,movie,153,1450018
Regular Lovers,2005,/film/regular-lovers/,100,movie,45126,10407
Volver,2006,/film/volver/,98,movie,219,200351
There Will Be Blood,2007,/film/there-will-be-blood/,98,movie,7345,1116070
Femme Fatale,2002,/film/femme-fatale/,95,movie,9280,34912
Tropical Malady,2004,/film/tropical-malady/,94,movie,11534,30986
Elephant,2003,/film/elephant-2003/,93,movie,1807,243561
Two Lovers,2008,/film/two-lovers/,92,movie,10362,56544
In Praise of Love,2001,/film/in-praise-of-love/,91,movie,52717,6027
Million Dollar Baby,2004,/film/million-dollar-baby/,87,movie,70,506470
Fragile as the World,2001,/film/fragile-as-the-world/,86,movie,382594,3692
Notre Musique,2004,/film/notre-musique/,85,movie,26347,5942
Before Sunset,2004,/film/before-sunset/,84,movie,80,786568
In Vanda's Room,2000,/film/in-vandas-room/,80,movie,87063,7327
The Days When I Don’t Exist,2003,/film/the-days-when-i-dont-exist/,78,movie,211486,1179
The Man Without a Past,2002,/film/the-man-without-a-past/,77,movie,7294,36955
The Gleaners and I,2000,/film/the-gleaners-and-i/,76,movie,44379,64086
Extraordinary Stories,2008,/film/extraordinary-stories/,73,movie,111188,5147
The Captive,2000,/film/the-captive/,71,movie,47244,9205
Colossal Youth,2006,/film/colossal-youth/,70,movie,82404,6327
Tie Xi Qu: West of the Tracks,2002,/film/tie-xi-qu-west-of-the-tracks/,67,movie,86282,5203
The Lord of the Rings: The Fellowship of the Ring,2001,/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,65,movie,120,2841862
Still Life,2006,/film/still-life/,64,movie,2346,18206
Oldboy,2003,/film/oldboy/,63,movie,670,1237403
The Piano Teacher,2001,/film/the-piano-teacher/,63,movie,1791,264268
Zodiac,2007,/film/zodiac/,61,movie,1949,1790819
Wendy and Lucy,2008,/film/wendy-and-lucy/,60,movie,8942,54006
Speed Racer,2008,/film/speed-racer/,59,movie,7459,276026
The Brown Bunny,2003,/film/the-brown-bunny/,57,movie,12703,37175
Eternal Sunshine of the Spotless Mind,2004,/film/eternal-sunshine-of-the-spotless-mind/,56,movie,38,2890341
"La Commune (Paris, 1871)",2000,/film/la-commune-paris-1871/,56,movie,63195,4339
Punch-Drunk Love,2002,/film/punch-drunk-love/,55,movie,8051,608661
Mystic River,2003,/film/mystic-river/,55,movie,322,452384
A Talking Picture,2003,/film/a-talking-picture/,54,movie,95536,2024
Los Angeles Plays Itself,2003,/film/los-angeles-plays-itself/,53,movie,38643,16067
At Sea,2007,/film/at-sea/,53,movie,131792,2766
Eureka,2000,/film/eureka-2000/,52,movie,38047,12197
These Encounters of Theirs,2006,/film/these-encounters-of-theirs/,52,movie,108772,1322
The New World,2005,/film/the-new-world/,51,movie,11400,86025
Saraband,2003,/film/saraband/,50,movie,55650,11981
Time and Tide,2000,/film/time-and-tide/,50,movie,49291,8887
3-Iron,2004,/film/3-iron/,50,movie,1280,75184
Workers for the Good Lord,2000,/film/workers-for-the-good-lord/,48,movie,101227,1341
Va Savoir (Who Knows?),2001,/film/va-savoir-who-knows/,47,movie,55372,2307
Millennium Actress,2001,/film/millennium-actress/,46,movie,33320,141170
Linda Linda Linda,2005,/film/linda-linda-linda/,45,movie,27337,31913
Kill Bill: Vol. 1,2003,/film/kill-bill-vol-1/,45,movie,24,2760252
Platform,2000,/film/platform/,45,movie,80427,9940
"4 Months, 3 Weeks and 2 Days",2007,/film/4-months-3-weeks-and-2-days/,44,movie,2009,67059
City of God,2002,/film/city-of-god/,44,movie,598,917593
2046,2004,/film/2046/,44,movie,844,139599
Hedwig and the Angry Inch,2001,/film/hedwig-and-the-angry-inch/,44,movie,13403,80320
La Ciénaga,2001,/film/la-cienaga/,44,movie,58429,62912
Ponyo,2008,/film/ponyo/,43,movie,12429,1167441
Match Point,2005,/film/match-point/,42,movie,116,205074
A Perfect Couple,2005,/film/a-perfect-couple-2005/,42,movie,79229,572
Syndromes and a Century,2006,/film/syndromes-and-a-century/,41,movie,27904,18285
The Intruder,2004,/film/the-intruder/,41,movie,47143,6613
Dancer in the Dark,2000,/film/dancer-in-the-dark/,40,movie,16,206160
