Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
75;/film/yi-yi/;25538;Yi Yi;14.237;7.9;2000-09-20;174.0;JP;zh;0.0;0.0;['Drama', 'Comedy'];['Edward Yang'];[2];['Wu Nien-jen', 'Issey Ogata', 'Elaine Jin Yan-Ling', 'Kelly Lee', 'Jonathan Chang', 'Hsi-Sheng Chen', 'Su-Yun Ko', 'Michael Tao', 'Shu-shen Hsiao', 'Adriene Lin', 'Pang Chang Yu', 'Ru-Yun Tang', 'Hsu Shu-Yuan', 'Hsin-Yi Tseng', 'Yung-Feng Lee', 'Shi-hui Chin', 'Wu Jie', 'Kuo-Chih Shu', 'Leon Dai', 'Mei-Yun Yu', 'Chi-Tung Yu', 'Lawrence Ko Yu-Luen', 'Liang-Tso Liu', 'Li-Hua Chen', 'Chen Yi-wen', 'Shau-Ching Sung', 'Lo Pei-An', 'Antonio Lee', 'Danny Deng', 'Ray Fan', 'Chien-Hsiung Cheng', 'Cheng Yuan-Cheng', 'Ju-Yin Tsai', 'Jerry Sun', 'Tzu-chieh Miao', 'Tang Tsung Sheng', 'Wang Chi-tsan', 'Jianchang Li', 'Kenjiro Tsuda', 'Wei-Ning Wu', 'Hui-Ling Chang', 'Hsu Kuei-ying', 'Allen Lu', 'Yang Shih-ping', 'Tzu-Yen Yeh', 'Cheryl Yang', 'Wan-Yun Lee', 'Hsiao-Wei Lin', 'Yiting Wu', 'Cheng-Kai Wang', 'Nien-Chu Hsieh', 'Shi-Chi Chen', 'Kuang-Ting Hsiang', 'Yen-Chun Lin', 'Hsin-yi Wen', 'An-yi Wen', 'Tzu-Ai Tsai', 'Yao-Wen Liu', 'Wei-Chun Wu', 'Szu-Chia Huang', 'Ming-Min Yeh', 'Yilian He', 'Katherine Lee', 'Tricia Chen', 'Christine Cheng', 'Fiona Chen', 'Cheng-Wan Pieh', 'Kate Yeung', 'Shih-hue Tu', 'Yu-Lung Yin', 'Lien-Lien Hsiao', 'Xianghua Ye', 'Sharon Mao', 'Liang-Hsin Hsieh', 'Mitsu Sudo', 'Kiyotaka Ueno', 'Norihiko Hashimoto', 'Christian Storms', 'Azusa Naito', 'Hui-Hui Chiang', 'Stephanie Michelle Lord', 'Morgan Reynolds', 'Tamara Robertson', 'Song-en Hu', 'Shou-yao Liu', 'Kai-Li Peng', 'Edward Yang'];[];['Chen Po-Wen'];['Yang Wei-han'];Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions.
74;/film/mulholland-drive/;1018;Mulholland Drive;36.24;7.811;2001-06-06;147.0;US;en;15000000.0;20289986.0;['Thriller', 'Drama', 'Mystery'];['David Lynch'];[2];['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Ann Miller', 'Mark Pellegrino', 'Robert Forster', 'Dan Hedaya', 'Angelo Badalamenti', 'Patrick Fischler', 'Brent Briscoe', 'Michael Cooke', 'Monty Montgomery', 'Lee Grant', 'James Karen', 'Chad Everett', 'Melissa George', 'Scott Coffey', 'Richard Green', 'Rebekah Del Rio', 'Jeanne Bates', 'Dan Birnbaum', 'Lori Heuring', 'Marcus Graham', 'Bonnie Aarons', 'Michael J. Anderson', 'Geno Silva', 'Billy Ray Cyrus', 'Vincent Castellanos', 'Wayne Grace', 'Rita Taggart', 'Michele Hicks', 'Lisa Lackey', 'Tad Horino', 'Missy Crider', 'Kate Forster', 'Tony Longo', 'Michael Fairman', 'Rena Riffel', 'Katharine Towne', 'Michael Des Barres', 'Robert Katims', 'Randall Wulff', 'Maya Bond', 'Joseph Kearney', 'Enrique Buelna', 'Richard Mead', 'Daniel Rey', 'David Schroeder', 'Tom Morris', 'Mo Gallini', 'Diane Nelson', 'Charles Croughwell', 'Michael D. Weatherred', 'Lisa K. Ferguson', 'William Ostrander', 'Brian Beacock', 'Blake Lindsley', 'Adrien Curry', 'Tyrah M. Lindsey', 'Johanna Stein', 'Conte Candoli', 'Cori Glazer', 'Lyssie Powell', 'Sean Everett', 'Kimberly Clever', 'Joshua Collazo', 'David Frutos', 'Peter Loggins', 'Theresa Salazar', 'Thea Samuels', 'Christian Thompson'];[];['Mary Sweeney'];['Peter Deming'];Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.
55;/film/spirited-away/;129;Spirited Away;102.806;8.538;2001-07-20;125.0;JP;ja;19000000.0;274925095.0;['Animation', 'Family', 'Fantasy'];['Hayao Miyazaki'];[2];['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki', 'Takashi Naito', 'Yasuko Sawaguchi', 'Tsunehiko Kamijô', 'Takehiko Ono', 'Bunta Sugawara', 'Akio Nakamura', 'Yumi Tamai', 'Ryunosuke Kamiki', 'Tatsuya Gashûin', 'Yo Oizumi', 'Ken Yasuda', 'Koba Hayashi', 'Shigeru Wakita', 'Shirou Saitou', 'Michiko Yamamoto', 'Keiko Tsukamoto', 'Shinji Tokumaru', 'Kaori Yamagata', 'Tsuzuki Kayako', 'Masahiro Asano', 'Kazutaka Hayashida', 'Ikuko Yamamoto', 'Mina Meguro', 'Tetsurô Ishibashi', 'Katsutomo Shîbara', 'Shinobu Katabuchi', 'Noriko Kitou', 'Naoto Kaji', 'Yoshitaka Sukegawa', 'Aki Tachikawa', 'Noriko Yamaya', 'Katsuhisa Matsuo', 'Masayuki Kizu', 'Yôko Ôno', 'Sachie Azuma', 'Shigeyuki Totsugi', 'Mayumi Saco', 'Sonoko Soeda', 'Akiko Tomihira', 'Minako Masuda', 'Orika Ono', 'Rina Yamada', 'Miwa Takachi', 'Hiromi Takeuchi', 'Makiko Oku'];[];['Takeshi Seyama'];['Atsushi Okui'];A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.
51;/film/in-the-mood-for-love/;843;In the Mood for Love;26.001;8.1;2000-09-29;99.0;HK;cn;150000.0;14204632.0;['Drama', 'Romance'];['Wong Kar-Wai'];[2];['Tony Leung Chiu-Wai', 'Maggie Cheung Man-Yuk', 'Rebecca Pan', 'Kelly Lai Chen', 'Siu Ping-lam', 'Chin Tsi-Ang', 'Joe Cheung Tung-Cho', 'Koo Kam-Wah', 'Chan Man-Lei', 'Julien Carbon', 'Charles de Gaulle', 'Laurent Courtiaud', 'Chow Po-chun'];['Wong Kar-Wai'];['William Chang'];['Christopher Doyle', 'Mark Lee Ping-Bing'];In 1962 Hong Kong, two neighbors form a strong bond after both suspect extramarital activities of their spouses.
46;/film/werckmeister-harmonies/;23160;Werckmeister Harmonies;11.167;7.9;2001-02-01;139.0;HU;hu;0.0;64974.0;['Drama'];['Béla Tarr'];[2];['Lars Rudolph', 'Peter Fitz', 'Hanna Schygulla', 'Alfréd Járai', 'Gyula Pauer', 'János Derzsi', 'Mihály Kormos', 'Putyi Horváth', 'Éva Almássy Albert', 'Péter Dobai', 'László feLugossy', 'Barna Mihók', 'Sandor Bese', 'Enikő Börcsök', 'Irén Szajki', 'György Barkó', 'Lajos Dobák', 'András Fekete', 'Gyuri Dósa Kiss', 'Józsi Mihályfi', 'Kati Lázár', 'Viktor Lois', 'Béla Máriáss', 'Mátyás Dráfi', 'József Ropog'];[];['Ágnes Hranitzky'];['Miklós Gurbán', 'Patrick De Ranter', 'Emil Novák', 'Erwin Lanzensberger', 'Gábor Medvigy', 'Rob Tregenza'];A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.
32;/film/memories-of-murder/;11423;Memories of Murder;44.431;8.1;2003-05-02;131.0;KR;ko;2800000.0;26000000.0;['Crime', 'Drama', 'Thriller'];['Bong Joon-ho'];[2];['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roi-ha', 'Song Jae-ho', 'Byun Hee-bong', 'Go Seo-hee', 'Ryu Tae-ho', 'Park No-shik', 'Park Hae-il', 'Jeon Mi-seon', 'Seo Young-hwa', 'Woo Go-na', 'Choi Jong-ryul', 'Yoo Seung-mok', 'Shin Hyeon-jong', 'Jung In-sun', 'Lee Jae-eung', 'Kwon Byung-gil', 'Park Hyun-young', 'Yoon Ga-hyun', 'Kwon Hyeok-pung', 'Jo Deok-jae', 'Jo Moon-ee', 'Baek Bong-ki', 'Kim Joo-ryoung', 'Yeom Hye-ran', 'Park Jin-woo', 'Lee Dong-yong', 'Oh Yong', 'Son Jin-hwan', 'Park Tae-kyeong', 'Son Kang-gook', 'Son Jin-ho', 'Shin Un-seop', 'Ha-kyeong Kim', 'Lee Da-il', 'Shim Sung-bo', 'Lee Kang-san'];[];['Kim Sun-min'];['Kim Hyung-koo'];During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.
32;/film/millennium-mambo/;11553;Millennium Mambo;19.146;7.0;2001-10-31;106.0;FR;zh;0.0;0.0;['Drama', 'Romance'];['Hou Hsiao-hsien'];[2];['Shu Qi', 'Jack Kao', 'Duan Chun-hao', 'Doze Niu Cheng-Tse', 'Jun Takeuchi', 'Yi-Hsuan Chen', 'Ko Takeuchi', 'Hsu Hui-Ni', 'Rio Peng', 'Pauline Chan Bo-Lin'];['Chu Tien-wen'];['Liao Ching-Sung', 'Ju-kuan Hsiao'];['Mark Lee Ping-Bing'];Vicky recalls her romances with her exes Hao Hao and Jack in the neon-lit clubs of Taipei.
30;/film/inland-empire/;1730;Inland Empire;27.125;7.0;2006-12-06;180.0;US;en;15000000.0;4304157.0;['Thriller', 'Mystery', 'Fantasy', 'Horror'];['David Lynch'];[2];['Laura Dern', 'Jeremy Irons', 'Justin Theroux', 'Harry Dean Stanton', 'Karolina Gruszka', 'Peter J. Lucas', 'Krzysztof Majchrzak', 'Jan Hencz', 'Grace Zabriskie', 'William H. Macy', 'Ian Abercrombie', 'Amanda Foreman', 'Cameron Daddo', 'Neil Dickson', 'Diane Ladd', 'Stanislaw Kazimierz Cybulski', 'Henryka Cybulski', 'Julia Ormond', 'Jordan Ladd', 'Terryn Westbrook', 'Kristen Kerr', 'Jamie Eifert', 'Michelle Renea', 'Mary Steenburgen', 'Masuimi Max', 'Robert Charles Hunter', 'Nastassja Kinski', 'Laura Harring', 'Scott Coffey', 'Naomi Watts', 'Emily Stofle', 'Jerry Stahl', 'John T. Churchill', 'Phil DeSanti', 'Chamonix Bosch', 'Bellina Logan', 'Sara Glaser', 'Edward St. George', 'Jeremy Alter', 'Melissa Lowndes', 'Marsha Lewis', 'Austin Jack Lynch', 'Jason Weinberg', 'Heidi Bivens', 'Scott Andrew Ressler', 'Kat Turner', 'Stanley Kamel', 'Marek Żydowicz', 'Leon Niemczyk', 'Tracy Ashton', 'Dominique Vandenberg', 'Nick 13', 'Keith Kjarval', 'Kris Kane', 'David Lynch', 'Wendy Rhodes', 'Helena Chase', 'Nae Yuuki', 'Terry Crews', 'Karen Baird', 'Randy Johnson', 'Duncan K. Fraser', 'Ewa Jerzykowski', 'Adam Zdunek', 'Erik Crary', 'Khai Dattoli', 'Michal Korolko', 'Kazimierz Suwala', 'Alfredo Ponce', 'Bryson Lang', 'Janusz Hetman', 'Michal Stopowski', 'Dominiya Grudzka', 'Pawel Kubisiak', 'Dominika Biernat', 'Marcin Brzozowski', 'Scout Alter', 'Alexi Yulish', 'Lou Buchignani', 'Marek Szmigiel', 'Józef Zbiróg', 'Marian Stanisławski', 'Charlene Harding', 'Suzete Belouin', 'Lisa Eaton', 'Gail Greaves', 'Joey Altruda', 'Jay P. Work', 'William K. McNeil', 'Carolina Cerisola', 'Leah Morelli', 'Michelle Clark', 'Brandon Reinhardt', 'Penny Hintz', 'Monique Cash', 'Latrina Bolger', 'Fulani Bahati', 'Ashley Calloway', 'Erynn Dickerson', 'Jovonie Leonard', 'Jennifer Locke'];['David Lynch'];['David Lynch'];['David Lynch'];An actress’s perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.
29;/film/miami-vice/;82;Miami Vice;22.681;6.0;2006-07-27;132.0;US;en;135000000.0;163800000.0;['Action', 'Crime', 'Thriller'];['Michael Mann'];[2];['Jamie Foxx', 'Colin Farrell', 'Gong Li', 'Naomie Harris', 'John Ortiz', 'Ciarán Hinds', 'Justin Theroux', 'Barry Shabaka Henley', 'Elizabeth Rodriguez', 'John Hawkes', 'Eddie Marsan', 'Luis Tosar', 'Domenick Lombardozzi', 'Isaach de Bankolé', 'Tom Towles', 'Mario Ernesto Sánchez', 'Frankie J. Allison', 'Tony Curran', 'Stephan Jones', 'Rob Larson', 'Don Frye', 'Maxim Danilov', 'Pasha D. Lychnikoff', 'Ana Cristina Oliveira', 'Everlayn Borges', 'Juanita Billue', 'Patrick Michael Buckley', 'Marc Macaulay', 'Mike Pniewski', 'Vivienne Sendaydiego', 'Richard Katanga', 'Dexter Fletcher', 'Oleg Taktarov', 'Andrew Rasputin', 'Ilan Krigsfeld', 'Juliana Guedes', 'James Maurice Rowan Jr.', 'Deborah Demere', 'Abdel Tornes', 'Maria Leon', 'Kenny Acevedo', 'Julia Yarbrough', 'Ryan M. Phillips', 'Amir Aviram', 'Julia Perevedentseva', 'Gilbert Quintana', 'Eboni Nichols', 'Donald Dowd', 'Paul Aldanée', 'Alexander Alonso', 'Jay Amor', 'Ryan Anthony', 'Chris Astoyan', 'Ashley Avis', 'Brad Batchelor', 'Eric Bendross', 'Arthur Bergman', 'Robert Berson', 'Tara Cardinal', 'Michelle Chin', 'Hailey Hansard', 'Stephane Kay', 'Claudine Oriol', 'Danny Pardo', 'Pablo Patlis', 'Nathan Russell', 'Taso N. Stavrakis', 'Lorenzo Toledo', 'Jon Tomlinson', 'Joe Vida', 'David Yuzuk', 'Julia Zgoda'];[];['William Goldenberg', 'Paul Rubell'];['Dion Beebe'];A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.
26;/film/pulse-2001/;27324;Pulse;21.882;6.632;2001-02-03;119.0;JP;ja;25000000.0;318451.0;['Horror', 'Thriller', 'Mystery'];['Kiyoshi Kurosawa'];[2];['Haruhiko Kato', 'Kumiko Aso', 'Koyuki', 'Kurume Arisaka', 'Masatoshi Matsuo', 'Shinji Takeda', 'Kenji Mizuhashi', 'Shun Sugata', 'Ken Furusawa', 'Teruo Ono', 'Show Aikawa', 'Koji Yakusho', 'Masayuki Shionoya', 'Kaori Ichijō', 'Takumi Tanji', 'Jun Fubuki', 'Hassei Takano', 'Atsushi Yuki', 'Go Takashima', 'Akiko Kitamura', 'Rie Yasuda', 'Zengoro Mamiana', 'Kiyoshi Kurosawa'];[];"[""Jun'ichi Kikuchi""]";['Junichiro Hayashi'];In the immense city of Tokyo, the darkness of the afterlife lurks some of its inhabitants who are desperately trying to escape the sadness and isolation of the modern world.
