Participante,Peliculas_totales,Peliculas_decada
1999_sohu,9964,1468.0
ezequiel2517,2756,277.0
Manuki,538,50.0
FilmCanet,4,
TaeSuk,2102,304.0
Filmandera,2018,388.0
Javchas,3265,741.0
Xator_Nova,272,30.0
Doark13,2239,427.0
pele_alvaro,3170,627.0
MabuseCaligari,4430,309.0
FrancoRizzo,4475,933.0
Faure,7034,1119.0
nichedeath,1381,138.0
korin,1193,232.0
MarioIglesias,13392,1510.0
Paula_Arantzazu,7038,953.0
uwugorka,1098,155.0
Alchemy97,6459,884.0
Colin_Maillard,2901,457.0
_alvarocampoy_,1578,114.0
Jarsito,2934,624.0
uryenbg,1880,207.0
jmrebollo,2157,472.0
parhelic,3304,824.0
marioquema,2456,334.0
guxiguxi,3184,512.0
Popovich89,6538,1227.0
bennu,1321,186.0
bergmantonioni,1915,369.0
figmare,3621,858.0
stalker98,2066,489.0
A_de_la_Hoz,5681,829.0
MetalTFT,0,
m0liner,755,155.0
novistenada,2216,140.0
mcromance,3845,842.0
kaarlenberg,3787,407.0
itsmerocio,5314,1180.0
JoanCuadrado,1570,97.0
CronicasDeckard,4497,967.0
Bernatus,2145,508.0
mmgarnica,4110,599.0
chinemusic,5016,484.0
gorkalonso1,1088,193.0
paloma55,5027,804.0
Simonsds,4148,655.0
fabregatto,6916,978.0
AlCorona,1497,180.0
Judex1916,3,
Rdosdedos,635,143.0
EloyG8,1949,514.0
Mas0204,5273,701.0
manuelsanbai,3145,277.0
josanjosan,1054,232.0
Colmener,5461,1112.0
elenacf,647,74.0
davidmd,2748,516.0
yosolomequejo,1330,145.0
Borinot,5549,1427.0
Endika,2285,79.0
fshtravis,3180,517.0
erni,2856,548.0
Angelopoulos,5533,1051.0
jasikedevicius,3377,549.0
NateFisher,2213,521.0
Cinematictalk,1630,181.0
DanielEscaners,4138,625.0
MrBike,1826,272.0
martinsalernx,1404,237.0
bustinduy,3952,625.0
bander7,3240,465.0
