Title,Year,url_peli,Review
Twin Peaks: The Return,2017,/film/twin-peaks-the-return/,259
Uncle Boonmee Who Can Recall His Past Lives,2010,/film/uncle-boonmee-who-can-recall-his-past-lives/,201
Phantom Thread,2017,/film/phantom-thread/,152
The Strange Case of Angelica,2010,/film/the-strange-case-of-angelica/,138
Pain and Glory,2019,/film/pain-and-glory/,119
Carol,2015,/film/carol-2015/,117
Portrait of a Lady on Fire,2019,/film/portrait-of-a-lady-on-fire/,112
The Turin Horse,2011,/film/the-turin-horse/,111
A Woman's Revenge,2012,/film/a-womans-revenge-2012/,109
La Flor,2018,/film/la-flor/,109
The Tree of Life,2011,/film/the-tree-of-life-2011/,109
The Wind Rises,2013,/film/the-wind-rises/,107
"Right Now, Wrong Then",2015,/film/right-now-wrong-then/,106
Goodbye to Language,2014,/film/goodbye-to-language/,106
On the Beach at Night Alone,2017,/film/on-the-beach-at-night-alone/,95
The Tale of the Princess Kaguya,2013,/film/the-tale-of-the-princess-kaguya/,94
Blackhat,2015,/film/blackhat/,92
Spring Breakers,2012,/film/spring-breakers/,90
It's Such a Beautiful Day,2012,/film/its-such-a-beautiful-day/,87
Vitalina Varela,2019,/film/vitalina-varela/,86
Out-Takes from the Life of a Happy Man,2012,/film/out-takes-from-the-life-of-a-happy-man/,86
Passion,2012,/film/passion-2012/,83
4:44 Last Day on Earth,2011,/film/4-44-last-day-on-earth/,82
First Cow,2019,/film/first-cow/,79
Le Havre,2011,/film/le-havre/,79
Lover for a Day,2017,/film/lover-for-a-day/,78
The Great Beauty,2013,/film/the-great-beauty/,76
The Image Book,2018,/film/the-image-book/,75
Yourself and Yours,2016,/film/yourself-and-yours/,75
Happy as Lazzaro,2018,/film/happy-as-lazzaro/,73
An Elephant Sitting Still,2018,/film/an-elephant-sitting-still/,73
Meek's Cutoff,2010,/film/meeks-cutoff/,73
Once Upon a Time… in Hollywood,2019,/film/once-upon-a-time-in-hollywood/,71
The Master,2012,/film/the-master-2012/,69
Paterson,2016,/film/paterson/,68
Mysteries of Lisbon,2010,/film/mysteries-of-lisbon/,64
High Life,2018,/film/high-life-2018/,62
The Social Network,2010,/film/the-social-network/,62
Cemetery of Splendor,2015,/film/cemetery-of-splendor/,61
Mommy,2014,/film/mommy-2014/,61
Horse Money,2014,/film/horse-money/,58
The Handmaiden,2016,/film/the-handmaiden/,57
Interstellar,2014,/film/interstellar/,56
Happy Hour,2015,/film/happy-hour-2015-1/,55
Everybody Wants Some!!,2016,/film/everybody-wants-some/,54
Holy Motors,2012,/film/holy-motors/,53
Burning,2018,/film/burning-2018/,53
Inherent Vice,2014,/film/inherent-vice/,52
Parasite,2019,/film/parasite-2019/,51
Mad Max: Fury Road,2015,/film/mad-max-fury-road/,51
Certified Copy,2010,/film/certified-copy/,50
The Deep Blue Sea,2011,/film/the-deep-blue-sea/,50
The Irishman,2019,/film/the-irishman-2019/,48
Ad Astra,2019,/film/ad-astra-2019/,47
Certain Women,2016,/film/certain-women/,47
Melancholia,2011,/film/melancholia/,47
