,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,The Wind Rises,2013,/film/the-wind-rises/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,6
1,2,Hereafter,2010,/film/hereafter/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,5
2,3,Gebo and the Shadow,2012,/film/gebo-and-the-shadow/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,5
3,4,The Girl from Nowhere,2012,/film/the-girl-from-nowhere/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,5
4,5,Sorrow and Joy,2013,/film/sorrow-and-joy/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,5
5,6,Restless,2011,/film/restless/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,4
6,7,Another Life,2013,/film/another-life-2013/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,4
7,8,Lover for a Day,2017,/film/lover-for-a-day/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,4
8,9,Grass,2018,/film/grass-2018/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,4
9,10,The Image Book,2018,/film/the-image-book/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,4
10,11,Certified Copy,2010,/film/certified-copy/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,3
11,12,Le Havre,2011,/film/le-havre/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,3
12,13,Socialism,2014,/film/socialism/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,3
13,14,La Sapienza,2014,/film/la-sapienza/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,3
14,15,Everybody Wants Some!!,2016,/film/everybody-wants-some/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,3
15,16,"Wolfram, a Saliva do Lobo",2010,/film/wolfram-a-saliva-do-lobo/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,2
16,17,Midnight in Paris,2011,/film/midnight-in-paris/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,2
17,18,Maddened by His Absence,2012,/film/maddened-by-his-absence/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,2
18,19,A Woman's Revenge,2012,/film/a-womans-revenge-2012/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,2
19,20,Amanda,2018,/film/amanda-2018/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,2
20,21,Out-Takes from the Life of a Happy Man,2012,/film/out-takes-from-the-life-of-a-happy-man/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,1
21,22,Communists,2014,/film/communists/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,1
22,23,Horse Money,2014,/film/horse-money/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,1
23,24,Battlecreek,2016,/film/battlecreek/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,1
24,25,Buoyancy,2019,/film/buoyancy/,https://letterboxd.com/ezequiel2517/list/tft2010s/detail,1
25,1,"Right Now, Wrong Then",2015,/film/right-now-wrong-then/,https://letterboxd.com/marioquema/list/tft2010s/detail,6
26,2,Once Upon a Time in Anatolia,2011,/film/once-upon-a-time-in-anatolia/,https://letterboxd.com/marioquema/list/tft2010s/detail,5
27,3,Tabu,2012,/film/tabu/,https://letterboxd.com/marioquema/list/tft2010s/detail,5
28,4,La Flor,2018,/film/la-flor/,https://letterboxd.com/marioquema/list/tft2010s/detail,5
29,5,First Cow,2019,/film/first-cow/,https://letterboxd.com/marioquema/list/tft2010s/detail,5
30,6,Post Tenebras Lux,2012,/film/post-tenebras-lux/,https://letterboxd.com/marioquema/list/tft2010s/detail,4
31,7,Bastards,2013,/film/bastards-2013/,https://letterboxd.com/marioquema/list/tft2010s/detail,4
32,8,Embrace of the Serpent,2015,/film/embrace-of-the-serpent/,https://letterboxd.com/marioquema/list/tft2010s/detail,4
33,9,The Nothing Factory,2017,/film/the-nothing-factory/,https://letterboxd.com/marioquema/list/tft2010s/detail,4
34,10,I Do Not Care If We Go Down in History as Barbarians,2018,/film/i-do-not-care-if-we-go-down-in-history-as-barbarians/,https://letterboxd.com/marioquema/list/tft2010s/detail,4
35,11,George Harrison: Living in the Material World,2011,/film/george-harrison-living-in-the-material-world/,https://letterboxd.com/marioquema/list/tft2010s/detail,3
36,12,This Is Not a Film,2011,/film/this-is-not-a-film/,https://letterboxd.com/marioquema/list/tft2010s/detail,3
37,13,Mommy,2014,/film/mommy-2014/,https://letterboxd.com/marioquema/list/tft2010s/detail,3
38,14,Happy as Lazzaro,2018,/film/happy-as-lazzaro/,https://letterboxd.com/marioquema/list/tft2010s/detail,3
39,15,Invisible Life,2019,/film/invisible-life/,https://letterboxd.com/marioquema/list/tft2010s/detail,3
40,16,Stories We Tell,2012,/film/stories-we-tell/,https://letterboxd.com/marioquema/list/tft2010s/detail,2
41,17,Boy & the World,2013,/film/boy-the-world/,https://letterboxd.com/marioquema/list/tft2010s/detail,2
42,18,First Reformed,2017,/film/first-reformed/,https://letterboxd.com/marioquema/list/tft2010s/detail,2
43,19,It Must Be Heaven,2019,/film/it-must-be-heaven/,https://letterboxd.com/marioquema/list/tft2010s/detail,2
44,20,Play,2019,/film/film:476123/,https://letterboxd.com/marioquema/list/tft2010s/detail,2
45,21,Wolf Children,2012,/film/wolf-children/,https://letterboxd.com/marioquema/list/tft2010s/detail,1
46,22,The Portuguese Woman,2018,/film/the-portuguese-woman/,https://letterboxd.com/marioquema/list/tft2010s/detail,1
47,23,Atlantics,2019,/film/atlantics-2019/,https://letterboxd.com/marioquema/list/tft2010s/detail,1
48,24,The August Virgin,2019,/film/the-august-virgin/,https://letterboxd.com/marioquema/list/tft2010s/detail,1
49,25,Fourteen,2019,/film/fourteen-2019/,https://letterboxd.com/marioquema/list/tft2010s/detail,1
50,1,Sleep Has Her House,2017,/film/sleep-has-her-house/,https://letterboxd.com/doark13/list/tft2010s/detail,6
51,2,Long Day's Journey Into Night,2018,/film/long-days-journey-into-night-2018/,https://letterboxd.com/doark13/list/tft2010s/detail,5
52,3,The Turin Horse,2011,/film/the-turin-horse/,https://letterboxd.com/doark13/list/tft2010s/detail,5
53,4,Melancholia,2011,/film/melancholia/,https://letterboxd.com/doark13/list/tft2010s/detail,5
54,5,An Elephant Sitting Still,2018,/film/an-elephant-sitting-still/,https://letterboxd.com/doark13/list/tft2010s/detail,5
55,6,Cold War,2018,/film/cold-war-2018/,https://letterboxd.com/doark13/list/tft2010s/detail,4
56,7,Uncle Boonmee Who Can Recall His Past Lives,2010,/film/uncle-boonmee-who-can-recall-his-past-lives/,https://letterboxd.com/doark13/list/tft2010s/detail,4
57,8,Winter Sleep,2014,/film/winter-sleep/,https://letterboxd.com/doark13/list/tft2010s/detail,4
58,9,The Tree of Life,2011,/film/the-tree-of-life-2011/,https://letterboxd.com/doark13/list/tft2010s/detail,4
59,10,Century of Birthing,2011,/film/century-of-birthing/,https://letterboxd.com/doark13/list/tft2010s/detail,4
60,11,Tabu,2012,/film/tabu/,https://letterboxd.com/doark13/list/tft2010s/detail,3
61,12,Vitalina Varela,2019,/film/vitalina-varela/,https://letterboxd.com/doark13/list/tft2010s/detail,3
62,13,About Endlessness,2019,/film/about-endlessness/,https://letterboxd.com/doark13/list/tft2010s/detail,3
63,14,Mysteries of Lisbon,2010,/film/mysteries-of-lisbon/,https://letterboxd.com/doark13/list/tft2010s/detail,3
64,15,November,2017,/film/november-2017/,https://letterboxd.com/doark13/list/tft2010s/detail,3
65,16,The Assassin,2015,/film/the-assassin-2015/,https://letterboxd.com/doark13/list/tft2010s/detail,2
66,17,Pain and Glory,2019,/film/pain-and-glory/,https://letterboxd.com/doark13/list/tft2010s/detail,2
67,18,On the Beach at Night Alone,2017,/film/on-the-beach-at-night-alone/,https://letterboxd.com/doark13/list/tft2010s/detail,2
68,19,Faust,2011,/film/faust-2011/,https://letterboxd.com/doark13/list/tft2010s/detail,2
69,20,Goodbye to Language,2014,/film/goodbye-to-language/,https://letterboxd.com/doark13/list/tft2010s/detail,2
70,21,Moonrise Kingdom,2012,/film/moonrise-kingdom/,https://letterboxd.com/doark13/list/tft2010s/detail,1
71,22,The Tree,2018,/film/the-tree-2018/,https://letterboxd.com/doark13/list/tft2010s/detail,1
72,23,It's Such a Beautiful Day,2012,/film/its-such-a-beautiful-day/,https://letterboxd.com/doark13/list/tft2010s/detail,1
73,24,High Life,2018,/film/high-life-2018/,https://letterboxd.com/doark13/list/tft2010s/detail,1
74,25,Home from Home – Chronicle of a Vision,2013,/film/home-from-home-chronicle-of-a-vision/,https://letterboxd.com/doark13/list/tft2010s/detail,1
75,1,Once Upon a Time in Anatolia,2011,/film/once-upon-a-time-in-anatolia/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,6
76,2,Arrival,2016,/film/arrival-2016/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,5
77,3,Mommy,2014,/film/mommy-2014/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,5
78,4,Before Midnight,2013,/film/before-midnight/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,5
79,5,Poetry,2010,/film/poetry/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,5
80,6,Carol,2015,/film/carol-2015/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,4
81,7,Blue Is the Warmest Color,2013,/film/blue-is-the-warmest-color/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,4
82,8,Certified Copy,2010,/film/certified-copy/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,4
83,9,The Other Side of Hope,2017,/film/the-other-side-of-hope/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,4
84,10,Drug War,2012,/film/drug-war/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,4
85,11,Hermia & Helena,2016,/film/hermia-helena/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,3
86,12,Leviathan,2014,/film/leviathan-2014/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,3
87,13,The Unspeakable Act,2012,/film/the-unspeakable-act/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,3
88,14,Ash Is Purest White,2018,/film/ash-is-purest-white/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,3
89,15,In the Intense Now,2017,/film/in-the-intense-now/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,3
90,16,Sieranevada,2016,/film/sieranevada/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,2
91,17,Zeroville,2019,/film/zeroville/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,2
92,18,The Long Night of Francisco Sanctis,2016,/film/the-long-night-of-francisco-sanctis/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,2
93,19,Passion,2012,/film/passion-2012/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,2
94,20,Motorway,2012,/film/motorway/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,2
95,21,"Oslo, August 31st",2011,/film/oslo-august-31st/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,1
96,22,Spectre,2015,/film/spectre-2015/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,1
97,23,Petra,2018,/film/petra/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,1
98,24,Wasp Network,2019,/film/wasp-network/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,1
99,25,Les Cowboys,2015,/film/les-cowboys/,https://letterboxd.com/marioiglesias/list/tft2010s/detail,1
100,1,August and After,2012,/film/august-and-after/,https://letterboxd.com/danielquinn/list/tft2010s/detail,6
101,2,Uncle Boonmee Who Can Recall His Past Lives,2010,/film/uncle-boonmee-who-can-recall-his-past-lives/,https://letterboxd.com/danielquinn/list/tft2010s/detail,5
102,3,Only Lovers Left Alive,2013,/film/only-lovers-left-alive/,https://letterboxd.com/danielquinn/list/tft2010s/detail,5
103,4,Boyhood,2014,/film/boyhood/,https://letterboxd.com/danielquinn/list/tft2010s/detail,5
104,5,Certain Women,2016,/film/certain-women/,https://letterboxd.com/danielquinn/list/tft2010s/detail,5
105,6,Carol,2015,/film/carol-2015/,https://letterboxd.com/danielquinn/list/tft2010s/detail,4
106,7,On the Beach at Night Alone,2017,/film/on-the-beach-at-night-alone/,https://letterboxd.com/danielquinn/list/tft2010s/detail,4
107,8,The Skin I Live In,2011,/film/the-skin-i-live-in/,https://letterboxd.com/danielquinn/list/tft2010s/detail,4
