Title,Year,url_peli,Review,tmdb_type,tmdb_id,nviews
In the Mood for Love,2000,/film/in-the-mood-for-love/,263,movie,843,700753
Yi Yi,2000,/film/yi-yi/,255,movie,25538,123719
Millennium Mambo,2001,/film/millennium-mambo/,181,movie,11553,58724
A Brighter Summer Day,1991,/film/a-brighter-summer-day/,170,movie,15804,72871
Chungking Express,1994,/film/chungking-express/,166,movie,11104,580917
"Goodbye, Dragon Inn",2003,/film/goodbye-dragon-inn/,155,movie,56616,44609
Suzhou River,2000,/film/suzhou-river/,127,movie,11599,29195
Raise the Red Lantern,1991,/film/raise-the-red-lantern/,126,movie,10404,51147
Long Day's Journey into Night,2018,/film/long-days-journey-into-night-2018/,116,movie,486898,43405
A Touch of Zen,1971,/film/a-touch-of-zen/,116,movie,44154,20486
An Elephant Sitting Still,2018,/film/an-elephant-sitting-still/,104,movie,499556,38193
Terrorizers,1986,/film/terrorizers/,104,movie,78450,34626
Platform,2000,/film/platform/,94,movie,80427,9194
Green Snake,1993,/film/green-snake/,88,movie,39915,10317
Tie Xi Qu: West of the Tracks,2002,/film/tie-xi-qu-west-of-the-tracks/,87,movie,86282,4814
Spring in a Small Town,1948,/film/spring-in-a-small-town/,86,movie,21058,7434
2046,2004,/film/2046/,85,movie,844,128907
A City of Sadness,1989,/film/a-city-of-sadness/,83,movie,49982,17103
"Comrades, Almost a Love Story",1996,/film/comrades-almost-a-love-story/,81,movie,37185,25540
The Killer,1989,/film/the-killer/,80,movie,10835,60431
Dragon Inn,1967,/film/dragon-inn/,77,movie,104237,18282
"That Day, on the Beach",1983,/film/that-day-on-the-beach/,74,movie,106373,8382
Taipei Story,1985,/film/taipei-story/,71,movie,106380,39039
The Goddess,1934,/film/the-goddess-1934/,69,movie,112698,7113
Still Life,2006,/film/still-life/,69,movie,2346,16917
Hard Boiled,1992,/film/hard-boiled/,67,movie,11782,89265
Rebels of the Neon God,1992,/film/rebels-of-the-neon-god/,67,movie,57564,38758
Vive L'Amour,1994,/film/vive-lamour/,67,movie,11985,26385
Time and Tide,2000,/film/time-and-tide/,66,movie,49291,8331
Fallen Angels,1995,/film/fallen-angels/,65,movie,11220,500694
The Time to Live and the Time to Die,1985,/film/the-time-to-live-and-the-time-to-die/,64,movie,45999,12092
Happy Together,1997,/film/happy-together-1997/,63,movie,18329,210501
Spring in Autumn,1985,/film/spring-in-autumn/,62,movie,463512,31
To Live,1994,/film/to-live/,60,movie,31439,23054
Flowers of Shanghai,1998,/film/flowers-of-shanghai/,56,movie,45935,16119
The Road Home,1999,/film/the-road-home/,54,movie,12276,8012
Evening Rain,1980,/film/evening-rain/,51,movie,259034,155
Mountains May Depart,2015,/film/mountains-may-depart/,51,movie,314388,13883
Legend of Tianyun Mountain,1980,/film/legend-of-tianyun-mountain/,45,movie,131482,166
Nomad,1982,/film/nomad/,44,movie,157229,4225
"So Long, My Son",2019,/film/so-long-my-son/,42,movie,493899,13689
Days of Being Wild,1990,/film/ah-fei-jing-juen/,42,movie,18311,89937
Ju Dou,1990,/film/ju-dou/,41,movie,41821,9064
Exiled,2006,/film/exiled/,41,movie,13807,13024
Rouge,1987,/film/rouge/,39,movie,68883,11987
The Assassin,2015,/film/the-assassin-2015/,39,movie,253450,37305
Romancing in Thin Air,2012,/film/romancing-in-thin-air/,39,movie,86409,2781
My Heart Is That Eternal Rose,1989,/film/my-heart-is-that-eternal-rose/,38,movie,78033,4373
Mahjong,1996,/film/mahjong/,38,movie,54421,7538
Pickpocket,1997,/film/pickpocket-1997/,37,movie,52103,12265
A Moment of Romance,1990,/film/a-moment-of-romance/,36,movie,81128,8043
Ash Is Purest White,2018,/film/ash-is-purest-white/,36,movie,441393,32575
A Better Tomorrow,1986,/film/a-better-tomorrow/,35,movie,11471,40057
The World,2004,/film/the-world/,34,movie,41292,8441
Legend of the Mountain,1979,/film/legend-of-the-mountain/,34,movie,191531,4257
Yellow Earth,1984,/film/yellow-earth/,33,movie,92990,4041
Election 2,2006,/film/election-2/,32,movie,15077,10322
Hero,2002,/film/hero-2002/,32,movie,79,141449
"Lust, Caution",2007,/film/lust-caution/,32,movie,4588,41367
Infernal Affairs,2002,/film/infernal-affairs/,32,movie,10775,98027
Made in Hong Kong,1997,/film/made-in-hong-kong/,31,movie,26005,16035
Limbo,2021,/film/limbo-2021/,31,movie,591222,16791
Kaili Blues,2015,/film/kaili-blues/,30,movie,362178,18885
A Touch of Sin,2013,/film/a-touch-of-sin/,30,movie,187022,27464
The Herdsman,1982,/film/the-herdsman/,30,movie,255973,192
Return to Dust,2022,/film/return-to-dust-2022/,29,movie,928720,5108
The Wild Goose Lake,2019,/film/the-wild-goose-lake/,28,movie,575428,25316
What Time Is It There?,2001,/film/what-time-is-it-there/,27,movie,24166,14150
Three Times,2005,/film/three-times/,27,movie,11554,10303
Farewell My Concubine,1993,/film/farewell-my-concubine/,27,movie,10997,54045
Stray Dogs,2013,/film/stray-dogs-2013/,26,movie,209840,13157
Election,2005,/film/election-2005/,26,movie,18747,19649
House of Flying Daggers,2004,/film/house-of-flying-daggers/,25,movie,9550,75454
The Mission,1999,/film/the-mission-1999/,25,movie,45871,9761
Drug War,2012,/film/drug-war/,24,movie,110410,18085
Dust in the Wind,1986,/film/dust-in-the-wind/,23,movie,45996,10095
"Goodbye South, Goodbye",1996,/film/goodbye-south-goodbye/,23,movie,88811,5530
The Red Detachment of Women,1961,/film/the-red-detachment-of-women/,22,movie,184868,1731
Better Days,2019,/film/better-days-2019/,21,movie,575813,64843
Daughter of the Nile,1987,/film/daughter-of-the-nile/,21,movie,99599,6872
Sacrificed Youth,1985,/film/sacrificed-youth/,21,movie,202514,478
A Confucian Confusion,1994,/film/a-confucian-confusion/,21,movie,54233,8177
Dirty Ho,1979,/film/dirty-ho/,21,movie,54182,6162
The 36th Chamber of Shaolin,1978,/film/the-36th-chamber-of-shaolin/,20,movie,11841,37073
Ashima,1964,/film/ashima/,20,movie,279067,51
The Big Road,1935,/film/the-big-road/,20,movie,151243,432
The Wayward Cloud,2005,/film/the-wayward-cloud/,20,movie,36253,13056
"Black Coal, Thin Ice",2014,/film/black-coal-thin-ice/,19,movie,255756,17264
Not One Less,1999,/film/not-one-less/,19,movie,36210,6196
SPL 2: A Time for Consequences,2015,/film/spl-2-a-time-for-consequences/,19,movie,331576,7200
Love Massacre,1981,/film/love-massacre/,19,movie,182227,2673
Center Stage,1991,/film/center-stage-1991/,18,movie,68004,7756
The Blue Kite,1993,/film/the-blue-kite/,18,movie,44162,3699
A Chinese Ghost Story,1987,/film/a-chinese-ghost-story/,17,movie,30421,14434
Dangerous Encounters of the First Kind,1980,/film/dangerous-encounters-of-the-first-kind/,17,movie,104287,7730
Days,2020,/film/days-2020/,17,movie,662400,15561
New Women,1935,/film/new-women/,17,movie,150314,795
Shaolin Soccer,2001,/film/shaolin-soccer/,16,movie,11770,137330
Taipei Suicide Story,2020,/film/taipei-suicide-story/,16,movie,741780,12041
The Hole,1998,/film/the-hole/,16,movie,47060,18848
Blue Gate Crossing,2002,/film/blue-gate-crossing/,15,movie,44708,10460
Café Lumière,2003,/film/cafe-lumiere/,15,movie,52512,8020
The Sword,1980,/film/the-sword/,14,movie,73841,1321
Love in the Time of Twilight,1995,/film/love-in-the-time-of-twilight/,14,movie,194646,1122
Street Angel,1937,/film/street-angel-1937/,14,movie,112699,1707
Devils on the Doorstep,2000,/film/devils-on-the-doorstep/,14,movie,25838,5913
Dislocation,1986,/film/dislocation/,14,movie,283195,516
PTU,2003,/film/ptu/,14,movie,25536,9512
Raining in the Mountain,1979,/film/raining-in-the-mountain/,14,movie,76294,5256
Woman Basketball Player No. 5,1957,/film/woman-basketball-player-no-5/,13,movie,270755,338
'Til Madness Do Us Part,2013,/film/til-madness-do-us-part/,13,movie,214775,3039
Unknown Pleasures,2002,/film/unknown-pleasures/,13,movie,80243,7083
After This Our Exile,2006,/film/after-this-our-exile/,13,movie,11960,615
The Wedding Banquet,1993,/film/the-wedding-banquet/,13,movie,9261,22640
Song of the Exile,1990,/film/song-of-the-exile/,12,movie,41822,2025
