Title,Year,url_peli,Review
In the Mood for Love,2000,/film/in-the-mood-for-love/,263
Yi Yi,2000,/film/yi-yi/,255
Millennium Mambo,2001,/film/millennium-mambo/,181
A Brighter Summer Day,1991,/film/a-brighter-summer-day/,170
Chungking Express,1994,/film/chungking-express/,166
"Goodbye, Dragon Inn",2003,/film/goodbye-dragon-inn/,155
Suzhou River,2000,/film/suzhou-river/,127
Raise the Red Lantern,1991,/film/raise-the-red-lantern/,126
Long Day's Journey into Night,2018,/film/long-days-journey-into-night-2018/,116
A Touch of Zen,1971,/film/a-touch-of-zen/,116
An Elephant Sitting Still,2018,/film/an-elephant-sitting-still/,104
Terrorizers,1986,/film/terrorizers/,104
Platform,2000,/film/platform/,94
Green Snake,1993,/film/green-snake/,88
Tie Xi Qu: West of the Tracks,2002,/film/tie-xi-qu-west-of-the-tracks/,87
Spring in a Small Town,1948,/film/spring-in-a-small-town/,86
2046,2004,/film/2046/,85
A City of Sadness,1989,/film/a-city-of-sadness/,83
"Comrades, Almost a Love Story",1996,/film/comrades-almost-a-love-story/,81
The Killer,1989,/film/the-killer/,80
Dragon Inn,1967,/film/dragon-inn/,77
"That Day, on the Beach",1983,/film/that-day-on-the-beach/,74
Taipei Story,1985,/film/taipei-story/,71
The Goddess,1934,/film/the-goddess-1934/,69
Still Life,2006,/film/still-life/,69
Hard Boiled,1992,/film/hard-boiled/,67
Rebels of the Neon God,1992,/film/rebels-of-the-neon-god/,67
Vive L'Amour,1994,/film/vive-lamour/,67
Time and Tide,2000,/film/time-and-tide/,66
Fallen Angels,1995,/film/fallen-angels/,65
The Time to Live and the Time to Die,1985,/film/the-time-to-live-and-the-time-to-die/,64
Happy Together,1997,/film/happy-together-1997/,63
Spring in Autumn,1985,/film/spring-in-autumn/,62
To Live,1994,/film/to-live/,60
Flowers of Shanghai,1998,/film/flowers-of-shanghai/,56
The Road Home,1999,/film/the-road-home/,54
Evening Rain,1980,/film/evening-rain/,51
Mountains May Depart,2015,/film/mountains-may-depart/,51
Legend of Tianyun Mountain,1980,/film/legend-of-tianyun-mountain/,45
Nomad,1982,/film/nomad/,44
"So Long, My Son",2019,/film/so-long-my-son/,42
Days of Being Wild,1990,/film/ah-fei-jing-juen/,42
Ju Dou,1990,/film/ju-dou/,41
Exiled,2006,/film/exiled/,41
Rouge,1987,/film/rouge/,39
The Assassin,2015,/film/the-assassin-2015/,39
Romancing in Thin Air,2012,/film/romancing-in-thin-air/,39
My Heart Is That Eternal Rose,1989,/film/my-heart-is-that-eternal-rose/,38
Mahjong,1996,/film/mahjong/,38
Pickpocket,1997,/film/pickpocket-1997/,37
A Moment of Romance,1990,/film/a-moment-of-romance/,36
Ash Is Purest White,2018,/film/ash-is-purest-white/,36
A Better Tomorrow,1986,/film/a-better-tomorrow/,35
The World,2004,/film/the-world/,34
Legend of the Mountain,1979,/film/legend-of-the-mountain/,34
Yellow Earth,1984,/film/yellow-earth/,33
Election 2,2006,/film/election-2/,32
Hero,2002,/film/hero-2002/,32
"Lust, Caution",2007,/film/lust-caution/,32
Infernal Affairs,2002,/film/infernal-affairs/,32
Made in Hong Kong,1997,/film/made-in-hong-kong/,31
Limbo,2021,/film/limbo-2021/,31
Kaili Blues,2015,/film/kaili-blues/,30
A Touch of Sin,2013,/film/a-touch-of-sin/,30
The Herdsman,1982,/film/the-herdsman/,30
Return to Dust,2022,/film/return-to-dust-2022/,29
The Wild Goose Lake,2019,/film/the-wild-goose-lake/,28
What Time Is It There?,2001,/film/what-time-is-it-there/,27
Three Times,2005,/film/three-times/,27
Farewell My Concubine,1993,/film/farewell-my-concubine/,27
Stray Dogs,2013,/film/stray-dogs-2013/,26
Election,2005,/film/election-2005/,26
House of Flying Daggers,2004,/film/house-of-flying-daggers/,25
The Mission,1999,/film/the-mission-1999/,25
Drug War,2012,/film/drug-war/,24
Dust in the Wind,1986,/film/dust-in-the-wind/,23
"Goodbye South, Goodbye",1996,/film/goodbye-south-goodbye/,23
The Red Detachment of Women,1961,/film/the-red-detachment-of-women/,22
Better Days,2019,/film/better-days-2019/,21
Daughter of the Nile,1987,/film/daughter-of-the-nile/,21
Sacrificed Youth,1985,/film/sacrificed-youth/,21
A Confucian Confusion,1994,/film/a-confucian-confusion/,21
Dirty Ho,1979,/film/dirty-ho/,21
The 36th Chamber of Shaolin,1978,/film/the-36th-chamber-of-shaolin/,20
Ashima,1964,/film/ashima/,20
The Big Road,1935,/film/the-big-road/,20
The Wayward Cloud,2005,/film/the-wayward-cloud/,20
"Black Coal, Thin Ice",2014,/film/black-coal-thin-ice/,19
Not One Less,1999,/film/not-one-less/,19
SPL 2: A Time for Consequences,2015,/film/spl-2-a-time-for-consequences/,19
Love Massacre,1981,/film/love-massacre/,19
Center Stage,1991,/film/center-stage-1991/,18
The Blue Kite,1993,/film/the-blue-kite/,18
A Chinese Ghost Story,1987,/film/a-chinese-ghost-story/,17
Dangerous Encounters of the First Kind,1980,/film/dangerous-encounters-of-the-first-kind/,17
Days,2020,/film/days-2020/,17
New Women,1935,/film/new-women/,17
Shaolin Soccer,2001,/film/shaolin-soccer/,16
Taipei Suicide Story,2020,/film/taipei-suicide-story/,16
The Hole,1998,/film/the-hole/,16
Blue Gate Crossing,2002,/film/blue-gate-crossing/,15
Café Lumière,2003,/film/cafe-lumiere/,15
The Sword,1980,/film/the-sword/,14
Love in the Time of Twilight,1995,/film/love-in-the-time-of-twilight/,14
Street Angel,1937,/film/street-angel-1937/,14
Devils on the Doorstep,2000,/film/devils-on-the-doorstep/,14
Dislocation,1986,/film/dislocation/,14
PTU,2003,/film/ptu/,14
Raining in the Mountain,1979,/film/raining-in-the-mountain/,14
