Title,Year,Review
In the Mood for Love,2000,263 puntos con 61 menciones
Yi Yi,2000,255 puntos con 57 menciones
Millennium Mambo,2001,181 puntos con 50 menciones
A Brighter Summer Day,1991,170 puntos con 38 menciones
Chungking Express,1994,166 puntos con 43 menciones
"Goodbye, Dragon Inn",2003,155 puntos con 43 menciones
Suzhou River,2000,127 puntos con 42 menciones
Raise the Red Lantern,1991,126 puntos con 36 menciones
Long Day's Journey into Night,2018,116 puntos con 36 menciones
A Touch of Zen,1971,116 puntos con 32 menciones
An Elephant Sitting Still,2018,104 puntos con 31 menciones
Terrorizers,1986,104 puntos con 27 menciones
Platform,2000,94 puntos con 34 menciones
Green Snake,1993,88 puntos con 27 menciones
Tie Xi Qu: West of the Tracks,2002,87 puntos con 22 menciones
Spring in a Small Town,1948,86 puntos con 30 menciones
2046,2004,85 puntos con 24 menciones
A City of Sadness,1989,83 puntos con 25 menciones
"Comrades, Almost a Love Story",1996,81 puntos con 27 menciones
The Killer,1989,80 puntos con 27 menciones
Dragon Inn,1967,77 puntos con 25 menciones
"That Day, on the Beach",1983,74 puntos con 19 menciones
Taipei Story,1985,71 puntos con 21 menciones
The Goddess,1934,69 puntos con 26 menciones
Still Life,2006,69 puntos con 18 menciones
Hard Boiled,1992,67 puntos con 23 menciones
Rebels of the Neon God,1992,67 puntos con 22 menciones
Vive L'Amour,1994,67 puntos con 22 menciones
Time and Tide,2000,66 puntos con 20 menciones
Fallen Angels,1995,65 puntos con 21 menciones
The Time to Live and the Time to Die,1985,64 puntos con 18 menciones
Happy Together,1997,63 puntos con 25 menciones
Spring in Autumn,1985,62 puntos con 17 menciones
To Live,1994,60 puntos con 17 menciones
Flowers of Shanghai,1998,56 puntos con 18 menciones
The Road Home,1999,54 puntos con 18 menciones
Evening Rain,1980,51 puntos con 16 menciones
Mountains May Depart,2015,51 puntos con 14 menciones
Legend of Tianyun Mountain,1980,45 puntos con 16 menciones
Nomad,1982,44 puntos con 14 menciones
"So Long, My Son",2019,42 puntos con 17 menciones
Days of Being Wild,1990,42 puntos con 13 menciones
Ju Dou,1990,41 puntos con 13 menciones
Exiled,2006,41 puntos con 11 menciones
Rouge,1987,39 puntos con 14 menciones
The Assassin,2015,39 puntos con 14 menciones
Romancing in Thin Air,2012,39 puntos con 11 menciones
My Heart Is That Eternal Rose,1989,38 puntos con 14 menciones
Mahjong,1996,38 puntos con 8 menciones
Pickpocket,1997,37 puntos con 16 menciones
A Moment of Romance,1990,36 puntos con 15 menciones
Ash Is Purest White,2018,36 puntos con 9 menciones
A Better Tomorrow,1986,35 puntos con 14 menciones
The World,2004,34 puntos con 11 menciones
Legend of the Mountain,1979,34 puntos con 9 menciones
Yellow Earth,1984,33 puntos con 12 menciones
Election 2,2006,32 puntos con 12 menciones
Hero,2002,32 puntos con 11 menciones
"Lust, Caution",2007,32 puntos con 10 menciones
Infernal Affairs,2002,32 puntos con 9 menciones
Made in Hong Kong,1997,31 puntos con 13 menciones
Limbo,2021,31 puntos con 12 menciones
Kaili Blues,2015,30 puntos con 12 menciones
A Touch of Sin,2013,30 puntos con 11 menciones
The Herdsman,1982,30 puntos con 11 menciones
Return to Dust,2022,29 puntos con 11 menciones
The Wild Goose Lake,2019,28 puntos con 9 menciones
What Time Is It There?,2001,27 puntos con 10 menciones
Three Times,2005,27 puntos con 9 menciones
Farewell My Concubine,1993,27 puntos con 8 menciones
Stray Dogs,2013,26 puntos con 9 menciones
Election,2005,26 puntos con 7 menciones
House of Flying Daggers,2004,25 puntos con 10 menciones
The Mission,1999,25 puntos con 10 menciones
Drug War,2012,24 puntos con 9 menciones
Dust in the Wind,1986,23 puntos con 8 menciones
"Goodbye South, Goodbye",1996,23 puntos con 7 menciones
The Red Detachment of Women,1961,22 puntos con 6 menciones
Better Days,2019,21 puntos con 7 menciones
Daughter of the Nile,1987,21 puntos con 7 menciones
Sacrificed Youth,1985,21 puntos con 7 menciones
A Confucian Confusion,1994,21 puntos con 6 menciones
Dirty Ho,1979,21 puntos con 6 menciones
The 36th Chamber of Shaolin,1978,20 puntos con 8 menciones
Ashima,1964,20 puntos con 6 menciones
The Big Road,1935,20 puntos con 6 menciones
The Wayward Cloud,2005,20 puntos con 6 menciones
"Black Coal, Thin Ice",2014,19 puntos con 11 menciones
Not One Less,1999,19 puntos con 7 menciones
SPL 2: A Time for Consequences,2015,19 puntos con 7 menciones
Love Massacre,1981,19 puntos con 6 menciones
Center Stage,1991,18 puntos con 7 menciones
The Blue Kite,1993,18 puntos con 5 menciones
A Chinese Ghost Story,1987,17 puntos con 6 menciones
Dangerous Encounters of the First Kind,1980,17 puntos con 6 menciones
Days,2020,17 puntos con 5 menciones
New Women,1935,17 puntos con 5 menciones
Shaolin Soccer,2001,16 puntos con 7 menciones
Taipei Suicide Story,2020,16 puntos con 6 menciones
The Hole,1998,16 puntos con 5 menciones
Blue Gate Crossing,2002,15 puntos con 6 menciones
Café Lumière,2003,15 puntos con 4 menciones
The Sword,1980,14 puntos con 7 menciones
Love in the Time of Twilight,1995,14 puntos con 5 menciones
Street Angel,1937,14 puntos con 5 menciones
Devils on the Doorstep,2000,14 puntos con 4 menciones
Dislocation,1986,14 puntos con 4 menciones
PTU,2003,14 puntos con 4 menciones
Raining in the Mountain,1979,14 puntos con 4 menciones
Woman Basketball Player No. 5,1957,13 puntos con 8 menciones
'Til Madness Do Us Part,2013,13 puntos con 6 menciones
Unknown Pleasures,2002,13 puntos con 5 menciones
After This Our Exile,2006,13 puntos con 4 menciones
The Wedding Banquet,1993,13 puntos con 4 menciones
Song of the Exile,1990,12 puntos con 6 menciones
City on Fire,1987,12 puntos con 5 menciones
Wild Rose,1932,12 puntos con 5 menciones
Oxhide,2005,12 puntos con 4 menciones
The East Is Red,1965,12 puntos con 3 menciones
The Hand,2020,12 puntos con 3 menciones
The Kingdom and the Beauty,1959,12 puntos con 3 menciones
Fuck Cinema,2004,12 puntos con 2 menciones
Boat People,1982,11 puntos con 4 menciones
Pedicab Driver,1989,11 puntos con 4 menciones
A Dog Barking at the Moon,2019,11 puntos con 3 menciones
A Summer at Grandpa's,1984,11 puntos con 3 menciones
Mama,1990,11 puntos con 3 menciones
Police Story,1985,11 puntos con 3 menciones
The Horse Thief,1986,11 puntos con 2 menciones
Crossroads,1937,10 puntos con 5 menciones
Murmur of Youth,1997,10 puntos con 5 menciones
Peking Opera Blues,1986,10 puntos con 5 menciones
Final Victory,1987,10 puntos con 4 menciones
Kung Fu Hustle,2004,10 puntos con 4 menciones
Running on Karma,2003,10 puntos con 4 menciones
The Arch,1968,10 puntos con 4 menciones
The Blade,1995,10 puntos con 4 menciones
The Way of the Dragon,1972,10 puntos con 4 menciones
Throw Down,2004,10 puntos con 4 menciones
Under the Bridge,1984,10 puntos con 4 menciones
Beijing 2008 Olympic Opening Ceremony,2008,10 puntos con 3 menciones
"Crouching Tiger, Hidden Dragon",2000,10 puntos con 3 menciones
Night Train,2007,10 puntos con 3 menciones
Running Out of Time,1999,10 puntos con 3 menciones
City of Life and Death,2009,9 puntos con 4 menciones
Hibiscus Town,1987,9 puntos con 4 menciones
Youth (Spring),2023,9 puntos con 4 menciones
A Better Tomorrow II,1987,9 puntos con 3 menciones
Shanghai Blues,1984,9 puntos con 3 menciones
The Lovers,1994,9 puntos con 3 menciones
Love on Delivery,1994,9 puntos con 2 menciones
An Autumn's Tale,1987,8 puntos con 4 menciones
Red Sorghum,1988,8 puntos con 4 menciones
The Monkey King: Havoc in Heaven,1961,8 puntos con 4 menciones
Full Alert,1997,8 puntos con 3 menciones
Princess D,2002,8 puntos con 2 menciones
Tempting Heart,1999,7 puntos con 4 menciones
Breaking News,2004,7 puntos con 3 menciones
Fist of Fury,1972,7 puntos con 3 menciones
In the Heat of the Sun,1994,7 puntos con 3 menciones
Intimate Confessions of a Chinese Courtesan,1972,7 puntos con 3 menciones
Us and Them,2018,7 puntos con 3 menciones
Growing Up,1983,7 puntos con 2 menciones
Journey to the West,2014,7 puntos con 2 menciones
Scenes of City Life,1935,7 puntos con 2 menciones
Sparrow,2008,7 puntos con 2 menciones
The Sentimental Swordsman,1977,7 puntos con 2 menciones
A Sun,2019,6 puntos con 3 menciones
As Tears Go By,1988,6 puntos con 3 menciones
Dwelling in the Fuchun Mountains,2019,6 puntos con 3 menciones
Father and Sons,2014,6 puntos con 3 menciones
Ip Man,2008,6 puntos con 3 menciones
Raging Fire,2021,6 puntos con 3 menciones
Buddha Mountain,2010,6 puntos con 2 menciones
Bumming in Beijing: The Last Dreamers,1990,6 puntos con 2 menciones
Duel to the Death,1983,6 puntos con 2 menciones
Only the River Flows,2023,6 puntos con 2 menciones
The Boys from Fengkuei,1983,6 puntos con 2 menciones
The Love Eterne,1963,6 puntos con 2 menciones
The Story of Qiu Ju,1992,6 puntos con 2 menciones
Walker,2012,6 puntos con 2 menciones
15 Hours,2017,6 puntos con 1 menciones
The Shadowless Tower,2023,5 puntos con 4 menciones
Bullet in the Head,1990,5 puntos con 3 menciones
Drunken Master,1978,5 puntos con 3 menciones
Two Stage Sisters,1964,5 puntos con 3 menciones
A Better Tomorrow III: Love and Death in Saigon,1989,5 puntos con 2 menciones
A Writer's Odyssey,2021,5 puntos con 2 menciones
Beijing Bicycle,2001,5 puntos con 2 menciones
Blue Moon,1997,5 puntos con 2 menciones
Caught by the Tides,2024,5 puntos con 2 menciones
Fengming: A Chinese Memoir,2007,5 puntos con 2 menciones
Riki-Oh: The Story of Ricky,1991,5 puntos con 2 menciones
The 8 Diagram Pole Fighter,1984,5 puntos con 2 menciones
The Heroic Trio,1993,5 puntos con 2 menciones
Wrath of Silence,2017,5 puntos con 2 menciones
Black Rain White Scars,2014,5 puntos con 1 menciones
Dream Enclosure,2014,5 puntos con 1 menciones
Fat Choi Spirit,2002,5 puntos con 1 menciones
Iron Monkey,1993,5 puntos con 1 menciones
King of the Children,1987,5 puntos con 1 menciones
Mulan: Rise of a Warrior,2009,5 puntos con 1 menciones
Postmen in the Mountains,1999,5 puntos con 1 menciones
Romance of a Fruit Peddler,1922,5 puntos con 1 menciones
Summer Snow,1995,5 puntos con 1 menciones
The Black Cannon Incident,1985,5 puntos con 1 menciones
The Days,1994,5 puntos con 1 menciones
The Great Buddha+,2017,5 puntos con 1 menciones
"The Pig, the Snake and the Pigeon",2023,5 puntos con 1 menciones
The Puppetmaster,1993,5 puntos con 1 menciones
The Spring River Flows East,1947,5 puntos con 1 menciones
Under the Hawthorn Tree,2010,5 puntos con 1 menciones
Eat Drink Man Woman,1994,4 puntos con 3 menciones
King of Comedy,1999,4 puntos con 3 menciones
