Votos;url_peli;Id_peli;Titulo;Popularidad;Rating;Fecha;Duracion;Pais;Idioma;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Guion;Montaje;DOP;Resumen
44;/film/in-the-mood-for-love/;843;In the Mood for Love;27.777;8.115;2000-09-29;98;HK;cn;150000;14204632;['Drama', 'Romance'];['Wong Kar-wai'];[2];['Tony Leung Chiu-wai', 'Maggie Cheung', 'Rebecca Pan', 'Kelly Lai Chen', 'Siu Ping-lam', 'Chin Tsi-Ang', 'Joe Cheung Tung-cho', 'Koo Kam-Wah', 'Chan Man-Lei', 'Julien Carbon', 'Charles de Gaulle', 'Laurent Courtiaud', 'Chow Po-chun'];['Wong Kar-wai'];['William Chang Suk-Ping'];['Christopher Doyle', 'Mark Lee Ping-Bing'];In Hong Kong of 1962, Mrs. Chan and Mr. Chow, a journalist, move into neighbouring apartments on the same day. Their encounters are formal and polite—until a discovery about their respective spouses creates an intimate bond between them.
33;/film/yi-yi/;25538;Yi Yi;14.031;7.9;2000-09-20;174;TW;zh;0;0;['Drama'];['Edward Yang'];[2];['Wu Nien-jen', 'Issey Ogata', 'Elaine Jin', 'Kelly Lee', 'Jonathan Chang', 'Hsi-Sheng Chen', 'Su-Yun Ko', 'Tao Chuang Cheng', 'Shu-shen Hsiao', 'Adriene Lin', 'Pang Chang Yu', 'Ru-Yun Tang', 'Hsu Shu-Yuan', 'Hsin-Yi Tseng', 'Yung-Feng Lee', 'Shi-hui Chin', 'Wu Jie', 'Kuo-Chih Shu', 'Leon Dai', 'Mei-Yun Yu', 'Chi-Tung Yu', 'Lawrence Ko Yu-Luen', 'Liang-Tso Liu', 'Li-Hua Chen', 'Chen Yi-wen', 'Shau-Ching Sung', 'Luo Bei An', 'Antonio Lee', 'Danny Deng', 'Ray Fan', 'Chien-Hsiung Cheng', 'Cheng Yuan-Cheng', 'Ju-Yin Tsai', 'Jerry Sun', 'Tzu-chieh Miao', 'Tang Tsung Sheng', 'Wang Chi-tsan', 'Jianchang Li', 'Kenjiro Tsuda', 'Wei-Ning Wu', 'Hui-Ling Chang', 'Hsu Kuei-ying', 'Allen Lu', 'Yang Shih-ping', 'Tzu-Yen Yeh', 'Cheryl Yang', 'Wan-Yun Lee', 'Hsiao-Wei Lin', 'Yiting Wu', 'Cheng-Kai Wang', 'Nien-Chu Hsieh', 'Shi-Chi Chen', 'Kuang-Ting Hsiang', 'Yen-Chun Lin', 'Hsin-yi Wen', 'An-yi Wen', 'Tzu-Ai Tsai', 'Yao-Wen Liu', 'Wei-Chun Wu', 'Szu-Chia Huang', 'Ming-Min Yeh', 'Yilian He', 'Katherine Lee', 'Tricia Chen', 'Christine Cheng', 'Fiona Chen', 'Cheng-Wan Pieh', 'Kate Yeung', 'Shih-hue Tu', 'Yu-Lung Yin', 'Lien-Lien Hsiao', 'Xianghua Ye', 'Sharon Mao', 'Liang-Hsin Hsieh', 'Mitsu Sudo', 'Kiyotaka Ueno', 'Norihiko Hashimoto', 'Christian Storms', 'Azusa Naito', 'Hui-Hui Chiang', 'Stephanie Michelle Lord', 'Morgan Reynolds', 'Tamara Robertson', 'Song-en Hu', 'Shou-yao Liu', 'Kai-Li Peng', 'Edward Yang'];[];['Chen Po-Wen'];['Yang Wei-han'];Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions.
26;/film/a-brighter-summer-day/;15804;A Brighter Summer Day;18.348;8.3;1991-07-27;237;TW;zh;0;0;['Crime', 'Drama', 'Romance'];['Edward Yang'];[2];['Chang Chen', 'Lisa Yang', 'Kuo-Chu Chang', 'Elaine Jin', 'Chuan Wang', 'Chang Han', 'Chiang Hsiu-Chiung', 'Stephanie Lai', 'Wang Chi-tsan', 'Lawrence Ko Yu-Luen', 'Tan Chih-Kang', 'Chang Ming-Hsin', 'Jung Chun-Lung', 'Hui-Kuo Chou', 'Chi-Chung Liu', 'Ching-Hsiang Ho', 'Chang-Ta Tsai', 'Tsung-Ming Lee', 'Hsiao-Tsui Tang', 'Ming-Ying Chiang', 'Hung-Ming Lin', 'Wang Bosen', 'Hung-Yu Chen', 'Tien-Hsiang Yang', 'Hsiao-Wei Liao', 'Cheng-Ching Lin', 'Ming-Hsun Lee', 'Tai-song Chen', 'Ming-Che Lee', 'Yi-Cheng Chung', 'Chia-Hsien Ho', 'Kang-Nien Cheng', 'Hsien-Liang Hsu', 'Chih-Chien Tang', 'Chien-Hung Tseng', 'Yiwen Cao', 'Martin Liu', 'Yi-Chun Chang', 'Yuan Ling', 'Alex Yang', 'Joyce Ni Shu-Chun', 'Weiming Wang', 'Ye-Ming Wang', 'Chien-Hsiung Cheng', 'De-Hai Chu', 'Pei-Min Shih', 'Liang-Tso Liu', 'Hang Shen', 'Yang-Yeh Fu', 'Lee Ching-Foo', 'Chen Yi-wen', 'Jen-Chieh Lin', 'Cheng Yuan-Cheng', 'Yi-Chin Tsai', 'Feng Guoqiang', 'Yu-Lung Yin', 'Hsu Ming', 'Chin Tsai', 'Cho Ming', 'Wen-Yen Chang', 'Lien-Lien Hsiao', 'Emily Y. Chang', 'King Shih-Chieh', 'Lih-Ching Lin', 'Ru-Yun Tang', 'Chiu-Yun Lu', 'Chin Ling Tsao', 'Hsiao Chih-wen', 'Liang-Yueh Chen', 'Li-Hua Chen', 'Ko-Chung Chang', 'Te-Ming Lu', 'Hsiao Ai', 'Hsi-Sheng Chen', 'Shu-Chuan Huang', 'Hung-Shen Shen', 'Meng Chi-Liang', 'Yen Hung-ya', 'Ting-Ni Ma', 'Hu Hsiang-Ping', 'Pao-Kuei Sun', 'Vicky Chiang', 'Ming-Yang Shih', 'Li-Mei Chen', 'Chen Shiang-Chyi', 'Lai Te-Nan', 'Ju-Ping Lin', 'Danny Deng', 'Ming-Yu Shih', 'Heng-Cheng Lin', 'Yi-Hua Shih', 'Kuo-Chih Shu', 'Chang-Ju Kuo', 'Miao-hui Kao', 'Chang-Hao Liu', 'Hsieh Chung-Mou', 'Chung-Chang Tuan', 'Te-chien Hou', 'Tsu-Yun Lang', 'Tang Shiang-Chu', 'Lai-Fu Chen', 'Min-Nen Lee', 'Yu Wei-Yen', 'Wang Dao Nan', 'Chuang Wu', 'Le-Chin Wu', 'Tzu-Chiang Lee', 'Liping Yang', 'Katherine Hui-ling Chou', 'Yuen Ming-Hung', 'Bo Yuan'];[];['Chen Po-Wen'];['Chang Hui-kung', 'Longyu Zhang'];A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.
22;/film/raise-the-red-lantern/;10404;Raise the Red Lantern;98.867;7.943;1991-12-18;125;CN;zh;1000000;16600000;['Drama'];['Zhang Yimou'];[2];['Gong Li', 'Ma Jingwu', 'He Saifei', 'Cao Cuifen', 'Kong Lin', 'Shuyuan Jin', 'Chu Xiao', 'Ding Weimin', 'Cao Zengyin', 'Cui Zhigang', 'Espérance Pham Thai Lan', 'Zhou Qi'];[];['Du Yuan'];['Zhao Fei', 'Lun Yang'];In 1920s China, nineteen-year-old Songlian becomes a concubine of a powerful lord and is forced to compete with his three wives for the privileges gained.
22;/film/an-elephant-sitting-still/;499556;An Elephant Sitting Still;13.422;7.7;2018-12-14;234;CN;zh;2500000;0;['Drama'];['Hu Bo'];[2];['Peng Yuchang', 'Wang Yuwen', 'Zhang Yu', 'Li Congxi', 'Zhenghui Ling', 'Xiaolong Zhang', 'Li Danyi', 'Kong Wei', 'Kong Yixin', 'Chaobei Wang', 'Wang Xueyang', 'Zhu Yanmanzi', 'Zhaoyan Guozhang', 'Li Su Yun', 'Huang Ximan', 'Li Qing', 'He Miaomiao', 'Li Binyuan', 'Shunzi', 'Xiangrong Dong', 'Zhang Shuai', 'Zhou Yinglong', 'Zhao Weimin', 'Hao Shimin', 'Chang Wukui', 'Liu Xiaohui', 'Zhu Jianliang', 'Zhang Jinzhong', 'Li Hongmei', 'Liu Jianmin', '3502 tenant', 'Ember Yu', 'Zhang Zhouqiang', 'Wang Gang', 'Wang Longlong', 'Gao Xuepeng', 'Ma Heping', 'Yan Hao', 'Zhao Shihui', 'Wang Ning', 'Zhao Tao', 'Liu Xiwen', 'He Lei', 'Jing Guo', '郝贵祥'];['Hu Bo'];['Hu Bo'];['Fan Chao'];In the northern Chinese city of Manzhouli, they say there is an elephant that simply sits and ignores the world. Manzhouli becomes an obsession for the protagonists of this film, a longed-for escape from the downward spiral in which they find themselves.
22;/film/still-life/;2346;Still Life;13.03;7.2;2006-11-16;108;CN;zh;0;0;['Drama', 'Romance'];['Jia Zhangke'];[2];['Han Sanming', 'Zhao Tao', 'Wang Hongwei', 'Zhubin Li', 'Haiyu Xiang', 'Lin Zhou', 'Lizhen Ma', 'Zhou Lan', 'Yong Huang', 'Jingsheng Li', 'Jianlin Pan', 'Yougzhong Li', 'Yongming Zhai'];['Na Guan', 'Jia Zhangke', 'Jiamin Sun'];['Kong Jinlei'];['Nelson Yu Lik-wai'];A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes.
19;/film/2046/;844;2046;14.986;7.216;2004-10-29;128;CN;zh;12000000;20205757;['Drama', 'Science Fiction', 'Romance'];['Wong Kar-wai'];[2];['Tony Leung Chiu-wai', 'Gong Li', 'Faye Wong', 'Takuya Kimura', 'Zhang Ziyi', 'Carina Lau', 'Chang Chen', 'Dong Jie', 'Maggie Cheung', 'Thongchai McIntyre', 'Wang Sum', 'Siu Ping-lam', 'Akina Hong Wah', 'Farini Cheung Yui-ling', 'Sabrina Cheung', 'Jiang Xinyu', 'Benz Kong To-Hoi', 'Alice Lee', 'Fei-lin Miao', 'Berg Ng', 'Ben Yuen Foo-Wah', 'Ronny Ching Siu-Lung', 'Li Hsiao-Ming'];['Wong Kar-wai'];['William Chang Suk-Ping'];['Kwan Pung-Leung', 'Christopher Doyle'];Women enter and exit a science fiction author's life over the course of a few years after the author loses the woman he considers his one true love.
18;/film/a-touch-of-zen/;44154;A Touch of Zen;14.654;7.699;1971-11-18;180;TW;zh;0;0;['Action', 'Adventure', 'Fantasy'];['King Hu'];[2];['Hsu Feng', 'Shih Chun', 'Pai Ying', 'Tian Peng', 'Roy Chiao', 'Tsao Chien', 'Miao Tian', 'Melvin Chang Yun-Wen', 'Hsieh Han', 'Hsieh Han', 'Han Ying-Chieh', 'Sammo Hung', 'Chang Ping-Yu', 'Jui Wang', 'Wan Chung-Shan', 'Chang Yi-Kuai', 'Pan Yao-Kun', 'You Pin Liu', 'Lam Ching-Ying', 'Billy Chan', 'Lung Fei', 'Shan Mao', 'Hao Li-Jen', 'Chu Liu', 'Kao Ming', 'Chia Lu-Shih', 'Chan Ming-Wai', 'Kei Ho-Chiu', 'Yeung Sai-Gwan', 'Jacky Chen Shao-Lung', 'Chui Hing-Chun', 'Men Chu-Hua', 'Ng Ming-Choi'];['King Hu'];['Wang Chin-Chen', 'King Hu'];['Hua Hui-Ying'];Ku Shen Chai, an artist in his early 30s, still lives with his mother, but he is suddenly shaken by the arrival of Yang Hui-ching, a mysterious princess on the run. Yang brings Ku into her circle of protectors, including a nameless monk whose spiritual guidance transforms him into a valiant fighter.
18;/film/chungking-express/;11104;Chungking Express;51.655;7.987;1994-07-14;103;HK;cn;160000;0;['Drama', 'Comedy', 'Romance'];['Wong Kar-wai'];[2];['Takeshi Kaneshiro', 'Brigitte Lin', 'Tony Leung Chiu-wai', 'Faye Wong', 'Valerie Chow', 'Piggy Chan Kam-Chuen', 'Kwan Lee-na', 'Wong Chi-Ming', 'Leung San', 'Zhiming Huang', 'Songshen Zuo', 'Liang Zhen', 'Rico Chu', 'Vickie Eng', 'Lynne Langdon', 'Thom Baker'];['Wong Kar-wai'];['Eric Kwong Chi-Leung', 'Hai Kit-Wai', 'William Chang Suk-Ping'];['Christopher Doyle', 'Andrew Lau Wai-Keung'];Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.
18;/film/exiled/;13807;Exiled;12.992;7.291;2006-09-06;110;HK;cn;4800000;0;['Action', 'Crime', 'Thriller'];['Johnnie To'];[2];['Anthony Wong Chau-Sang', 'Francis Ng', 'Nick Cheung', 'Richie Jen', 'Josie Ho', 'Roy Cheung', 'Lam Suet', 'Simon Yam', 'Lam Ka-tung', 'Eddie Cheung', 'Hui Shiu-Hung', 'Tam Bing-Man', 'Ronald Yan Mau-Keung', 'Ellen Chan Nga-Lun', 'Wong Chi-Wai', 'Jimmy Wong Wa-Wo', 'Chiu Chi-Shing', 'Lu Ching-Ting', 'Luk Man-Wai', 'Vincent Chi Mo-Chun', 'Tam Kon-Chung', 'Tong Pau-Chung', 'Leung Kei-Hei', 'Jeff Cheung Ka-Kit'];[];['David M. Richardson'];['Cheng Siu-keung'];A friendship is formed between an ex-gangster, and two groups of hitmen - those who want to protect him and those who were sent to kill him.
