,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,Autumn Days,1963,/film/autumn-days-1963/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,6
1,2,Beyond Oblivion,1956,/film/beyond-oblivion/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,5
2,3,Pueblerina,1949,/film/pueblerina/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,5
3,4,La Flor,2018,/film/la-flor/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,5
4,5,Memories of Underdevelopment,1968,/film/memories-of-underdevelopment/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,5
5,6,Johnny Chicano,1981,/film/johnny-chicano/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,4
6,7,Entranced Earth,1967,/film/entranced-earth/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,4
7,8,Calle Santa Fe,2007,/film/calle-santa-fe/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,4
8,9,Buccaneer Soul,1993,/film/buccaneer-soul/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,4
9,10,Twenty Years Later,1984,/film/twenty-years-later/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,4
10,11,One Hundred Children Waiting for a Train,1988,/film/one-hundred-children-waiting-for-a-train/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,3
11,12,Juan: As If Nothing Ever Happened,1987,/film/juan-as-if-nothing-ever-happened/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,3
12,13,Araya,1959,/film/araya/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,3
13,14,Another Dawn,1943,/film/another-dawn-1943/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,3
14,15,The Option,1981,/film/the-option/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,3
15,16,"Rio, Northern Zone",1957,/film/rio-northern-zone/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,2
16,17,The Circus Cavalcade,1945,/film/the-circus-cavalcade/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,2
17,18,One Way or Another,1975,/film/one-way-or-another-1975/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,2
18,19,Mirage,1972,/film/mirage-1972/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,2
19,20,Arroz con leche,1950,/film/arroz-con-leche/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,2
20,21,A Letter of Love,1943,/film/a-letter-of-love/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,1
21,22,The Passion of Berenice,1976,/film/the-passion-of-berenice/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,1
22,23,The Romance of Aniceto and Francisca,1967,/film/the-romance-of-aniceto-and-francisca/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,1
23,24,The Vampires of Poverty,1977,/film/the-vampires-of-poverty/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,1
24,25,Él,1953,/film/el/,https://letterboxd.com/paloma55/list/tft-latinoamerica/detail,1
25,1,The Battle of Chile: Part I,1975,/film/the-battle-of-chile-part-i/,https://letterboxd.com/marioiglesias/list/tftlatam/detail,6
