url_peli,Title,Year,tmdb_type,tmdb_id
/film/entranced-earth/,Entranced Earth,1967,movie,67062.0
/film/el/,Él,1953,movie,43344.0
/film/enamorada/,Enamorada,1946,movie,115301.0
/film/beyond-oblivion/,Beyond Oblivion,1956,movie,335486.0
/film/the-exterminating-angel/,The Exterminating Angel,1962,movie,29264.0
/film/one-way-or-another-1975/,One Way or Another,1975,movie,162505.0
/film/memories-of-underdevelopment/,Memories of Underdevelopment,1968,movie,47576.0
/film/extraordinary-stories/,Extraordinary Stories,2008,movie,111188.0
/film/limite/,Limite,1931,movie,8353.0
/film/the-young-and-the-damned/,The Young and the Damned,1950,movie,800.0
/film/autumn-days-1963/,Autumn Days,1963,movie,342590.0
/film/twenty-years-later/,Twenty Years Later,1984,movie,86320.0
/film/trenque-lauquen/,Trenque Lauquen,2022,movie,715742.0
/film/araya/,Araya,1959,movie,89688.0
/film/la-flor/,La Flor,2018,movie,423778.0
/film/one-hundred-children-waiting-for-a-train/,One Hundred Children Waiting for a Train,1988,movie,130269.0
/film/death-of-a-bureaucrat/,Death of a Bureaucrat,1966,movie,43778.0
/film/the-criminal-life-of-archibaldo-de-la-cruz/,The Criminal Life of Archibaldo de la Cruz,1955,movie,37628.0
/film/invasion-1969/,Invasion,1969,movie,163924.0
/film/juan-as-if-nothing-ever-happened/,Juan: As If Nothing Ever Happened,1987,movie,427387.0
/film/la-cienaga/,La Ciénaga,2001,movie,58429.0
/film/rosaura-at-10-oclock/,Rosaura at 10 O'Clock,1958,movie,128489.0
/film/nazarin/,Nazarín,1959,movie,35124.0
/film/the-romance-of-aniceto-and-francisca/,The Romance of Aniceto and Francisca,1967,movie,214487.0
/film/chronicle-of-a-boy-alone/,Chronicle of a Boy Alone,1965,movie,47142.0
/film/pueblerina/,Pueblerina,1949,movie,116588.0
/film/the-age-of-the-earth/,The Age of the Earth,1980,movie,76816.0
/film/the-hour-of-the-furnaces/,The Hour of the Furnaces,1968,movie,89681.0
/film/city-of-god/,City of God,2002,movie,598.0
/film/pure-blood-1982/,Pure Blood,1982,movie,134245.0
/film/rio-northern-zone/,"Rio, Northern Zone",1957,movie,146904.0
/film/the-secret-in-their-eyes/,The Secret in Their Eyes,2009,movie,25376.0
/film/amores-perros/,Amores Perros,2000,movie,55.0
/film/macario/,Macario,1960,movie,122019.0
/film/black-wind/,Black Wind,1965,movie,240628.0
/film/movie-dementia/,Movie Dementia,1986,movie,167468.0
/film/the-battle-of-chile-part-i/,The Battle of Chile: Part I,1975,movie,132144.0
/film/black-god-white-devil/,"Black God, White Devil",1964,movie,67612.0
/film/metal-and-melancholy/,Metal and Melancholy,1994,movie,216095.0
/film/another-dawn-1943/,Another Dawn,1943,movie,118011.0
/film/mirage-1972/,Mirage,1972,movie,267676.0
/film/the-skeleton-of-mrs-morales/,The Skeleton of Mrs. Morales,1960,movie,118007.0
/film/jauja/,Jauja,2014,movie,266031.0
/film/now/,Now!,1965,movie,145762.0
/film/my-son-the-hero-1961/,"My Son, the Hero",1961,movie,116986.0
/film/the-terrace-1963/,The Terrace,1963,movie,202541.0
/film/a-place-in-the-world/,A Place in the World,1992,movie,32635.0
/film/rio-100-degrees-f/,"Rio, 100 Degrees F°",1955,movie,146075.0
/film/santa-sangre/,Santa Sangre,1989,movie,19236.0
/film/shark-hunters/,Shark Hunters,1963,movie,118010.0
/film/the-bitter-stems/,The Bitter Stems,1956,movie,185250.0
/film/passacaglia-and-fugue/,Passacaglia and Fugue,1975,movie,400331.0
/film/arabian-coffee/,Arabian Coffee,1968,movie,262024.0
/film/nine-queens/,Nine Queens,2000,movie,18079.0
/film/two-monks/,Two Monks,1934,movie,170296.0
/film/the-boy-and-the-wind/,The Boy and the Wind,1967,movie,258109.0
/film/the-holy-girl/,The Holy Girl,2004,movie,44413.0
/film/the-circus-cavalcade/,The Circus Cavalcade,1945,movie,335279.0
/film/arroz-con-leche/,Arroz con leche,1950,movie,403297.0
/film/silvia-prieto/,Silvia Prieto,1999,movie,49984.0
/film/aventurera/,Aventurera,1950,movie,114896.0
/film/if-i-should-die-before-i-wake-1952/,If I Should Die Before I Wake,1952,movie,30909.0
/film/pinochets-women/,Pinochet's Women,2005,movie,485050.0
/film/the-margin/,The Margin,1967,movie,183678.0
/film/a-family-like-many-others/,A Family Like Many Others,1949,movie,115107.0
/film/embrace-of-the-serpent/,Embrace of the Serpent,2015,movie,336808.0
/film/wild-tales/,Wild Tales,2014,movie,265195.0
/film/the-official-story/,The Official Story,1985,movie,29263.0
/film/buccaneer-soul/,Buccaneer Soul,1993,movie,183023.0
/film/fake-blonde/,Fake Blonde,2007,movie,169497.0
/film/our-land-2025-1/,Our Land,2025,movie,661603.0
/film/the-guns/,The Guns,1964,movie,194853.0
/film/isabelita/,Isabelita,1940,movie,485068.0
/film/edad-dificil/,Edad difícil,1956,movie,486027.0
/film/the-battle-of-chile-part-ii/,The Battle of Chile: Part II,1976,movie,1752899.0
/film/memoria-2021/,Memoria,2021,movie,511819.0
/film/the-other-1946/,The Other,1946,movie,119806.0
/film/que-viva-mexico/,¡Qué Viva México!,1979,movie,63107.0
/film/anhell69/,Anhell69,2022,movie,1004598.0
/film/el-topo/,El Topo,1970,movie,13041.0
/film/the-holy-mountain/,The Holy Mountain,1973,movie,8327.0
/film/the-net-1953-1/,The Net,1953,movie,199481.0
/film/the-vampires-of-poverty/,The Vampires of Poverty,1977,movie,129075.0
/film/victims-of-sin/,Victims of Sin,1951,movie,118009.0
/film/the-beginning-and-the-end/,The Beginning and the End,1993,movie,133757.0
/film/habeas-corpus-1986/,Habeas Corpus,1986,movie,364940.0
/film/the-south/,The South,1988,movie,46770.0
/film/spelling-love/,Spelling Love,1984,movie,528337.0
/film/the-passion-of-berenice/,The Passion of Berenice,1976,movie,120297.0
/film/the-red-light-bandit/,The Red Light Bandit,1968,movie,186738.0
/film/time-to-die-1966/,Time to Die,1966,movie,246749.0
/film/calle-santa-fe/,Calle Santa Fe,2007,movie,49765.0
/film/no-way-spider/,"No Way, Spider",1970,movie,186735.0
/film/anacrusa-1979/,Anacrusa,1979,movie,584998.0
/film/gueros/,Güeros,2014,movie,256057.0
/film/boy-the-world/,Boy & the World,2013,movie,223706.0
/film/deep-crimson/,Deep Crimson,1996,movie,47007.0
/film/never-open-that-door/,Never Open That Door,1952,movie,252695.0
/film/brief-heaven/,Brief Heaven,1969,movie,335489.0
/film/dreams-of-ice/,Dreams of Ice,1994,movie,438793.0
/film/in-the-palm-of-your-hand/,In the Palm of Your Hand,1951,movie,240585.0
/film/post-tenebras-lux/,Post Tenebras Lux,2012,movie,103689.0
/film/women-who-work/,Women Who Work,1938,movie,427803.0
/film/zama/,Zama,2017,movie,326382.0
/film/japon/,Japón,2002,movie,36211.0
/film/litoral-2008/,Litoral,2008,tv,43472.0
/film/little-white-dove/,Little White Dove,1992,movie,238268.0
/film/mexican-bus-ride/,Mexican Bus Ride,1952,movie,44804.0
/film/crosses-over-the-wasteland/,Crosses Over the Wasteland,1967,movie,169381.0
/film/the-delinquents-2023/,The Delinquents,2023,movie,714889.0
/film/altiplano-2018/,Altiplano,2018,movie,521074.0
/film/blood-of-the-condor/,Blood of the Condor,1969,movie,157319.0
/film/rough-gang/,Rough Gang,1933,movie,188346.0
/film/whisky/,Whisky,2004,movie,36971.0
/film/johnny-chicano/,Johnny Chicano,1981,movie,674115.0
/film/los-muertos-2004/,Los Muertos,2004,movie,36241.0
/film/sentimental-education-2013/,Sentimental Education,2013,movie,225836.0
/film/the-dependent/,The Dependent,1969,movie,36785.0
/film/the-last-supper-1976/,The Last Supper,1976,movie,47113.0
/film/valparaiso-1963/,Valparaiso,1963,movie,79423.0
