Title,Year,Review
Entranced Earth,1967,136 puntos con 30 menciones
Él,1953,121 puntos con 29 menciones
Enamorada,1946,104 puntos con 25 menciones
Beyond Oblivion,1956,101 puntos con 26 menciones
The Exterminating Angel,1962,80 puntos con 18 menciones
One Way or Another,1975,76 puntos con 24 menciones
Memories of Underdevelopment,1968,75 puntos con 22 menciones
Extraordinary Stories,2008,73 puntos con 21 menciones
Limite,1931,70 puntos con 17 menciones
The Young and the Damned,1950,68 puntos con 15 menciones
Autumn Days,1963,61 puntos con 17 menciones
Twenty Years Later,1984,61 puntos con 17 menciones
Trenque Lauquen,2022,61 puntos con 16 menciones
Araya,1959,60 puntos con 21 menciones
La Flor,2018,58 puntos con 13 menciones
One Hundred Children Waiting for a Train,1988,49 puntos con 18 menciones
Death of a Bureaucrat,1966,45 puntos con 14 menciones
The Criminal Life of Archibaldo de la Cruz,1955,45 puntos con 11 menciones
Invasion,1969,44 puntos con 15 menciones
Juan: As If Nothing Ever Happened,1987,42 puntos con 14 menciones
La Ciénaga,2001,41 puntos con 12 menciones
Rosaura at 10 O'Clock,1958,38 puntos con 11 menciones
Nazarín,1959,38 puntos con 9 menciones
The Romance of Aniceto and Francisca,1967,36 puntos con 13 menciones
Chronicle of a Boy Alone,1965,35 puntos con 9 menciones
Pueblerina,1949,33 puntos con 8 menciones
The Age of the Earth,1980,31 puntos con 8 menciones
The Hour of the Furnaces,1968,30 puntos con 8 menciones
City of God,2002,29 puntos con 7 menciones
Pure Blood,1982,28 puntos con 10 menciones
"Rio, Northern Zone",1957,27 puntos con 11 menciones
The Secret in Their Eyes,2009,27 puntos con 10 menciones
Amores Perros,2000,27 puntos con 9 menciones
Macario,1960,27 puntos con 9 menciones
Black Wind,1965,27 puntos con 7 menciones
Movie Dementia,1986,27 puntos con 7 menciones
The Battle of Chile: Part I,1975,27 puntos con 7 menciones
"Black God, White Devil",1964,27 puntos con 6 menciones
Metal and Melancholy,1994,24 puntos con 7 menciones
Another Dawn,1943,23 puntos con 11 menciones
Mirage,1972,22 puntos con 8 menciones
The Skeleton of Mrs. Morales,1960,22 puntos con 8 menciones
Jauja,2014,22 puntos con 7 menciones
Now!,1965,22 puntos con 7 menciones
"My Son, the Hero",1961,21 puntos con 10 menciones
The Terrace,1963,21 puntos con 8 menciones
A Place in the World,1992,21 puntos con 6 menciones
"Rio, 100 Degrees F°",1955,20 puntos con 6 menciones
Santa Sangre,1989,20 puntos con 5 menciones
Shark Hunters,1963,19 puntos con 6 menciones
The Bitter Stems,1956,18 puntos con 9 menciones
Passacaglia and Fugue,1975,18 puntos con 6 menciones
Arabian Coffee,1968,18 puntos con 5 menciones
Nine Queens,2000,18 puntos con 5 menciones
Two Monks,1934,17 puntos con 9 menciones
The Boy and the Wind,1967,17 puntos con 5 menciones
The Holy Girl,2004,17 puntos con 5 menciones
The Circus Cavalcade,1945,16 puntos con 7 menciones
Arroz con leche,1950,16 puntos con 6 menciones
Silvia Prieto,1999,16 puntos con 5 menciones
Aventurera,1950,15 puntos con 6 menciones
If I Should Die Before I Wake,1952,15 puntos con 6 menciones
Pinochet's Women,2005,15 puntos con 6 menciones
The Margin,1967,15 puntos con 4 menciones
A Family Like Many Others,1949,14 puntos con 4 menciones
Embrace of the Serpent,2015,13 puntos con 6 menciones
Wild Tales,2014,13 puntos con 6 menciones
The Official Story,1985,13 puntos con 5 menciones
Buccaneer Soul,1993,13 puntos con 4 menciones
Fake Blonde,2007,13 puntos con 4 menciones
Our Land,2025,13 puntos con 4 menciones
The Guns,1964,13 puntos con 4 menciones
Isabelita,1940,13 puntos con 3 menciones
Edad difícil,1956,12 puntos con 5 menciones
The Battle of Chile: Part II,1976,12 puntos con 5 menciones
Memoria,2021,12 puntos con 4 menciones
The Other,1946,12 puntos con 4 menciones
¡Qué Viva México!,1979,12 puntos con 4 menciones
Anhell69,2022,12 puntos con 3 menciones
El Topo,1970,12 puntos con 3 menciones
The Holy Mountain,1973,12 puntos con 3 menciones
The Net,1953,12 puntos con 3 menciones
The Vampires of Poverty,1977,11 puntos con 6 menciones
Victims of Sin,1951,11 puntos con 4 menciones
The Beginning and the End,1993,11 puntos con 3 menciones
Habeas Corpus,1986,11 puntos con 2 menciones
The South,1988,10 puntos con 5 menciones
Spelling Love,1984,10 puntos con 4 menciones
The Passion of Berenice,1976,10 puntos con 4 menciones
The Red Light Bandit,1968,10 puntos con 4 menciones
Time to Die,1966,10 puntos con 4 menciones
Calle Santa Fe,2007,10 puntos con 3 menciones
"No Way, Spider",1970,10 puntos con 3 menciones
Anacrusa,1979,10 puntos con 2 menciones
Güeros,2014,10 puntos con 2 menciones
Boy & the World,2013,9 puntos con 4 menciones
Deep Crimson,1996,9 puntos con 4 menciones
Never Open That Door,1952,9 puntos con 4 menciones
Brief Heaven,1969,9 puntos con 3 menciones
Dreams of Ice,1994,9 puntos con 3 menciones
In the Palm of Your Hand,1951,9 puntos con 3 menciones
Post Tenebras Lux,2012,9 puntos con 3 menciones
Women Who Work,1938,9 puntos con 3 menciones
Zama,2017,9 puntos con 3 menciones
Japón,2002,9 puntos con 2 menciones
Litoral,2008,9 puntos con 2 menciones
Little White Dove,1992,9 puntos con 2 menciones
Mexican Bus Ride,1952,9 puntos con 2 menciones
Crosses Over the Wasteland,1967,8 puntos con 5 menciones
The Delinquents,2023,8 puntos con 5 menciones
Altiplano,2018,8 puntos con 4 menciones
Blood of the Condor,1969,8 puntos con 4 menciones
Rough Gang,1933,8 puntos con 4 menciones
Whisky,2004,8 puntos con 4 menciones
Johnny Chicano,1981,8 puntos con 3 menciones
Los Muertos,2004,8 puntos con 3 menciones
Sentimental Education,2013,8 puntos con 3 menciones
The Dependent,1969,8 puntos con 3 menciones
The Last Supper,1976,8 puntos con 3 menciones
Valparaiso,1963,8 puntos con 3 menciones
I Am Cuba,1964,8 puntos con 2 menciones
Simon of the Desert,1965,8 puntos con 2 menciones
Terminal Young,2023,8 puntos con 2 menciones
The Secret Agent,2025,8 puntos con 2 menciones
A-Dios,1989,7 puntos con 3 menciones
Bacurau,2019,7 puntos con 3 menciones
Strawberry and Chocolate,1993,7 puntos con 3 menciones
The Beast Must Die,1952,7 puntos con 3 menciones
The Turning Wind,1962,7 puntos con 3 menciones
The Wolf House,2018,7 puntos con 3 menciones
Time for Revenge,1981,7 puntos con 3 menciones
Intimidad de los parques,1965,7 puntos con 2 menciones
Lucía,1968,7 puntos con 2 menciones
Martin (Hache),1997,7 puntos con 2 menciones
Neruda,2016,7 puntos con 2 menciones
Poison for the Fairies,1986,7 puntos con 2 menciones
The House of the Angel,1957,7 puntos con 2 menciones
Wild Flower,1943,7 puntos con 2 menciones
Women's Things,1979,7 puntos con 2 menciones
Back to Stay,2011,6 puntos con 3 menciones
Nostalgia for the Light,2010,6 puntos con 3 menciones
The Mole Agent,2020,6 puntos con 3 menciones
Camila,1984,6 puntos con 2 menciones
Copacabana Mon Amour,1970,6 puntos con 2 menciones
Dark River,1952,6 puntos con 2 menciones
La calesita,1963,6 puntos con 2 menciones
Playing,2007,6 puntos con 2 menciones
Prisoners of the Land,1939,6 puntos con 2 menciones
Silent Light,2007,6 puntos con 2 menciones
Soledad's Shawl,1952,6 puntos con 2 menciones
Stolen Heaven,1951,6 puntos con 2 menciones
Three Sad Tigers,1968,6 puntos con 2 menciones
Viola,2012,6 puntos con 2 menciones
Y Tu Mamá También,2001,6 puntos con 2 menciones
Luz's Motives,1985,6 puntos con 1 menciones
The Secret Formula,1965,6 puntos con 1 menciones
The Shadow of the Tyrant,1960,6 puntos con 1 menciones
Aquarius,2016,5 puntos con 3 menciones
Serpents of the Pirate Moon,1973,5 puntos con 3 menciones
About Thirty,2023,5 puntos con 2 menciones
Barren Lives,1963,5 puntos con 2 menciones
Come Out,1971,5 puntos con 2 menciones
Desde la Habana ¡1969! Recordar,1969,5 puntos con 2 menciones
Dialogues of the Exiles,1975,5 puntos con 2 menciones
Duelo en las montañas,1950,5 puntos con 2 menciones
Hermia & Helena,2016,5 puntos con 2 menciones
In the Intense Now,2017,5 puntos con 2 menciones
La libertad,2001,5 puntos con 2 menciones
Light in the Tropics,2020,5 puntos con 2 menciones
Madagascar,1995,5 puntos con 2 menciones
Rebellion in Patagonia,1974,5 puntos con 2 menciones
Roma,2018,5 puntos con 2 menciones
Suite Habana,2003,5 puntos con 2 menciones
The Dark Side of the Heart,1992,5 puntos con 2 menciones
The Green Wall,1970,5 puntos con 2 menciones
The Idea of a Lake,2016,5 puntos con 2 menciones
The Night Is Fading Away,2025,5 puntos con 2 menciones
The Option,1981,5 puntos con 2 menciones
The Secret Nation,1989,5 puntos con 2 menciones
Wuthering Heights,1954,5 puntos con 2 menciones
Allá en el Rancho Grande,1936,5 puntos con 1 menciones
Anselmo,1967,5 puntos con 1 menciones
Casa Particular,1990,5 puntos con 1 menciones
Cosas de mi vida,1976,5 puntos con 1 menciones
Eternity,2017,5 puntos con 1 menciones
Fernando has Returned,1998,5 puntos con 1 menciones
Greatest Hits,2012,5 puntos con 1 menciones
Invisible Life,2019,5 puntos con 1 menciones
Machuca,2004,5 puntos con 1 menciones
Silent Witnesses,2023,5 puntos con 1 menciones
The Abandoned,1945,5 puntos con 1 menciones
The Dance of Reality,2013,5 puntos con 1 menciones
The Deceased,1965,5 puntos con 1 menciones
The Given Word,1962,5 puntos con 1 menciones
The Motorcycle Diaries,2004,5 puntos con 1 menciones
The Place Without Limits,1978,5 puntos con 1 menciones
The Unloved Woman,1949,5 puntos con 1 menciones
The Wick,2003,5 puntos con 1 menciones
This Night I'll Possess Your Corpse,1967,5 puntos con 1 menciones
Untouched,1954,5 puntos con 1 menciones
A Letter of Love,1943,4 puntos con 3 menciones
Alucarda,1977,4 puntos con 2 menciones
And So It Is,1966,4 puntos con 2 menciones
Brasil,1981,4 puntos con 2 menciones
"Safo, historia de una pasión",1943,4 puntos con 2 menciones
Surcos de sangre,1950,4 puntos con 2 menciones
The Princess of France,2014,4 puntos con 2 menciones
¡Que vivan los crotos!,1990,4 puntos con 2 menciones
Antonio One Two Three,2017,4 puntos con 1 menciones
Bitter Cane,1983,4 puntos con 1 menciones
Bordando la frontera,1986,4 puntos con 1 menciones
Chuquiago,1977,4 puntos con 1 menciones
Communiqué From Argentina,1978,4 puntos con 1 menciones
Cronos,1992,4 puntos con 1 menciones
Endless Poetry,2016,4 puntos con 1 menciones
God Bless You,1948,4 puntos con 1 menciones
Guanabacoa: Chronicle of My Family,1966,4 puntos con 1 menciones
I'm Still Here,2024,4 puntos con 1 menciones
Identifying Features,2020,4 puntos con 1 menciones
Killed the Family and Went to the Movies,1969,4 puntos con 1 menciones
Longitud de Guerra,1976,4 puntos con 1 menciones
Mata Atlântica,2016,4 puntos con 1 menciones
Miss Mary,1986,4 puntos con 1 menciones
Neighboring Sounds,2012,4 puntos con 1 menciones
Orpheus and Eurydice,1976,4 puntos con 1 menciones
Pixote,1980,4 puntos con 1 menciones
Puchuncaví,2014,4 puntos con 1 menciones
Spectrum Restoration,2022,4 puntos con 1 menciones
Stories of the Revolution,1960,4 puntos con 1 menciones
Story of a Great Love,1942,4 puntos con 1 menciones
Teat Monteok: The Tale of the God of Lightning,1985,4 puntos con 1 menciones
The Enemy Blood,1971,4 puntos con 1 menciones
The Hand in the Trap,1961,4 puntos con 1 menciones
The Heiresses,2018,4 puntos con 1 menciones
The Man from Maisinicu,1973,4 puntos con 1 menciones
The Mouth of the Wolf,1988,4 puntos con 1 menciones
The Reasons of the Heart,2011,4 puntos con 1 menciones
The Rose Seller,1998,4 puntos con 1 menciones
Thresholds,1980,4 puntos con 1 menciones
Tlayucan,1962,4 puntos con 1 menciones
To Each His Own Life,1960,4 puntos con 1 menciones
Valentin de las Sierras,1968,4 puntos con 1 menciones
Yanco,1961,4 puntos con 1 menciones
brazil is thee haiti is (t)here,2020,4 puntos con 1 menciones
"São Paulo, Incorporated",1965,3 puntos con 3 menciones
Central Station,1998,3 puntos con 2 menciones
Hardly a Criminal,1949,3 puntos con 2 menciones
Odd Number,1962,3 puntos con 2 menciones
Runan Caycu,1973,3 puntos con 2 menciones
The Circular Scene,1982,3 puntos con 2 menciones
The Great Movement,2021,3 puntos con 2 menciones
Through the Ruins,1982,3 puntos con 2 menciones
79 Springs,1969,3 puntos con 1 menciones
Autopsy of a Ghost,1968,3 puntos con 1 menciones
Bang Bang,1971,3 puntos con 1 menciones
Chewing Gum,1968,3 puntos con 1 menciones
Colombia 70,1970,3 puntos con 1 menciones
