Title,Year,url_peli,Review
Pride,1955,/film/pride-1955/,106
The Sound of the Shaking Earth,1990,/film/the-sound-of-the-shaking-earth/,76
The Days When I Don’t Exist,2003,/film/the-days-when-i-dont-exist/,59
I've Always Loved You,1946,/film/ive-always-loved-you/,57
Night Function,1981,/film/night-function/,55
To Die... To Sleep... Perchance to Dream,1976,/film/to-die-to-sleep-perchance-to-dream/,54
"Wait Till the Sun Shines, Nellie",1952,/film/wait-till-the-sun-shines-nellie-1952/,52
Lou Didn't Say No,1994,/film/lou-didnt-say-no/,44
An Injury to One,2002,/film/an-injury-to-one/,42
Children of the Beehive,1948,/film/children-of-the-beehive/,42
Two People,1945,/film/two-people/,37
The Trail of the Lonesome Pine,1936,/film/the-trail-of-the-lonesome-pine/,33
The Other Woman,1961,/film/the-other-woman-1961/,32
Condemned,1953,/film/condemned-1953/,32
Poem of the Sea,1958,/film/poem-of-the-sea/,31
Next Time We Love,1936,/film/next-time-we-love/,31
Route One/USA,1989,/film/route-one-usa/,31
Ray of Sunshine,1933,/film/ray-of-sunshine-1933/,30
The House in the Woods,1971,/film/the-house-in-the-woods-1971/,30
Lacrima Christi,1980,/film/lacrima-christi/,30
The Good Love,1963,/film/the-good-love/,29
Enoch Arden,1911,/film/enoch-arden-1911/,29
Visions in Meditation,1990,/film/visions-in-meditation/,28
Summer Clouds,1958,/film/summer-clouds/,27
s01e03,2020,/film/s01e03/,27
Smilin' Through,1941,/film/smilin-through-1941/,27
I Did Not Die,2008,/film/i-did-not-die/,25
Masquerade in Vienna,1934,/film/masquerade-in-vienna/,25
Nine Letters to Berta,1966,/film/nine-letters-to-berta/,25
Cartesius,1974,/film/cartesius/,25
Red Fish,1955,/film/red-fish/,25
The Childhood of Maxim Gorky,1938,/film/the-childhood-of-maxim-gorky/,23
Spirit Quest,2016,/film/spirit-quest/,23
Wild Innocence,2001,/film/wild-innocence/,22
The Iron Mask,1929,/film/the-iron-mask/,22
Before My Eyes,1989,/film/before-my-eyes/,21
La vida en un hilo,1945,/film/la-vida-en-un-hilo/,21
The Letter,1999,/film/the-letter-1999/,21
Beloved Infidel,1959,/film/beloved-infidel/,21
Después de… Primera parte: no se os puede dejar solos,1981,/film/despues-de-primera-parte-no-se-os-puede-dejar-solos/,20
The Next Voice You Hear...,1950,/film/the-next-voice-you-hear/,20
Home for Christmas,1978,/film/home-for-christmas-1978/,19
The Future,2013,/film/the-future-2013-1/,19
Uncle Hyacynth,1956,/film/uncle-hyacynth/,19
Blue Black Permanent,1992,/film/blue-black-permanent/,19
Children in the Wind,1937,/film/children-in-the-wind/,19
Scénario du film Passion,1982,/film/scenario-du-film-passion/,19
A Perfect Couple,2005,/film/a-perfect-couple-2005/,18
Coming Attractions,2010,/film/coming-attractions/,18
Black Sky,1951,/film/black-sky/,18
Milestones,1975,/film/milestones/,18
Frisco Jenny,1932,/film/frisco-jenny/,18
The Search for Emak Bakia,2012,/film/the-search-for-emak-bakia/,18
The Mirage,1992,/film/the-mirage-1992/,17
Hand Held Day,1975,/film/hand-held-day/,17
Passacaglia and Fugue,1975,/film/passacaglia-and-fugue/,17
"Romeo, Juliet and Darkness",1960,/film/romeo-juliet-and-darkness/,17
Alaya,1987,/film/alaya/,17
