,Pos,Titulo,Anio,url_peli,url,Puntos
0,1,"I Was, I Am, I Will Be",2019,/film/i-was-i-am-i-will-be/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,6
1,2,The Girl in the Yellow Jumper,2020,/film/the-girl-in-the-yellow-jumper/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,5
2,3,Chris the Swiss,2018,/film/chris-the-swiss/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,5
3,4,Cinema Sabaya,2021,/film/cinema-sabaya/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,5
4,5,The Swimsuit Issue,2008,/film/the-swimsuit-issue/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,5
5,6,"I Am Nojoom, Age 10 and Divorced",2014,/film/i-am-nojoom-age-10-and-divorced/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,4
6,7,Black Is Beltza,2018,/film/black-is-beltza/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,4
7,8,Under the Sun,1998,/film/under-the-sun/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,4
8,9,The Reports on Sarah and Saleem,2018,/film/the-reports-on-sarah-and-saleem/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,4
9,10,Here We Are,2020,/film/here-we-are-2021/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,4
10,11,Dancing Arabs,2014,/film/dancing-arabs/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,3
11,12,The Violin Player,2018,/film/the-violin-player-2018/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,3
12,13,Wallay,2017,/film/wallay/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,3
13,14,Word of God,2017,/film/word-of-god/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,3
14,15,Dog Eat Dog,2008,/film/dog-eat-dog-2008/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,3
15,16,Monsieur Vincent,1947,/film/monsieur-vincent/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,2
16,17,Honokaa Boy,2009,/film/honokaa-boy/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,2
17,18,Ghadi,2013,/film/ghadi/,https://letterboxd.com/1dia1peli/list/tftdescubrimientos/detail,2
